,Unnamed: 0.1,Unnamed: 0,Classification,Disposition,datetime,Year,DayOfYear,Month,DayOfWeek,time_period,Building,Location,Longtitude,Latitude,Incidents
24,24,24,Assault,Closed,2019-01-28 07:27:00,2019,28,1,0,day_weekday,YALE EAST CORE,UTown,1.305538246,103.7720734,DAMAGED PROPERTY
25,25,25,Theft: Bias Incident,Judicial Referral,2019-04-29 21:47:00,2019,119,4,0,day_weekday,YUSOF ISHAK HOUSE,YIH,1.29851672,103.7749707,LOST AND FOUND
26,26,26,Extortion,Open Investigation,2019-10-08 14:23:00,2019,281,10,1,day_weekday,KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,LOST AND FOUND
27,27,27,Attempted Fraud,Open Investigation,2019-03-14 18:55:00,2019,73,3,3,day_weekday,PGP RESIDENCES (BLOCK 25),PGP,1.290200342,103.7806037,LOST AND FOUND
28,28,28,Shoplifting,Closed,2019-10-10 18:01:00,2019,283,10,3,day_weekday,PGP RESIDENCES (BLOCK 16),PGP,1.291523732,103.7801396,STOLEN ITEMS
29,29,29,Theft,Open Investigation,2019-02-07 17:50:00,2019,38,2,3,day_weekday,KENT RIDGE (COMMUNAL HALL),HALL,1.29179854,103.7747805,LOST AND FOUND
30,30,30,Trespass,Unfounded,2018-12-07 17:09:00,2018,341,12,4,day_weekday,NUHS-MAIN BUILDING,FOS,1.294399964,103.7835039,EMERGENCY INCIDENTS
31,31,31,Harassment: Bias Incident,Open Investigation,2019-01-31 00:33:00,2019,31,1,3,day_weekday,SUB-STATION 4 (NEAR KEVII),PGP,1.292213805,103.7814032,LOST AND FOUND
32,32,32,False Public Alarm,Open Investigation,2019-11-26 20:06:00,2019,330,11,1,day_weekday,CTR FOR THE ARTS,YIH,1.29917139,103.7737631,LOST AND FOUND
33,33,33,Shoplifting,Open Investigation,2019-06-19 02:33:00,2019,170,6,2,day_weekday,5 KR BUNGALOW,KR,1.294572999,103.7796455,STOLEN ITEMS
34,34,34,Assault,Open Investigation,2019-10-03 12:30:00,2019,276,10,3,day_weekday,9 PGP BUNGALOW,PGP,1.293962325,103.7773228,DAMAGED PROPERTY
35,35,35,Trespass, Closed,2019-06-18 02:24:00,2019,169,6,1,day_weekday,SCIENCE BLOCK 7,FOS,1.296276183,103.7788705,EMERGENCY INCIDENTS
36,36,36,Criminal Mischief,Arrest,2019-03-26 13:09:00,2019,85,3,1,day_weekday,LKC NATURAL HISTORY MUSEUM,UCC,1.301379227,103.7730057,STOLEN ITEMS
37,37,37,Harassment,Open Investigation,2019-07-10 13:34:00,2019,191,7,2,day_weekday,DESIGN & ENVIRONMENT BLOCK 1,CDE,1.297243627,103.7706028,DAMAGED PROPERTY
38,38,38,Criminal Mischief,Open Investigation,2019-06-01 16:25:00,2019,152,6,5,weekend,TMSI-ST JOHN'S ISLAND,OTH,1.217102975,103.8501062,STOLEN ITEMS
39,39,39,Theft,Open Investigation,2019-09-19 21:26:00,2019,262,9,3,day_weekday,ENGINEERING BLOCK 3A,CDE,1.300324497,103.7714214,LOST AND FOUND
40,40,40,Fraud,Open Investigation,2019-03-23 19:15:00,2019,82,3,5,weekend,PGP RESIDENCES (BLOCK 18),PGP,1.291099609,103.7804155,DAMAGED PROPERTY
41,41,41,Shoplifting,Closed,2019-04-08 19:16:00,2019,98,4,0,day_weekday,LECTURE THEATRE 26,FOS,1.296796994,103.781201,STOLEN ITEMS
42,42,42,Trespassing,Unfounded,2019-09-03 01:23:00,2019,246,9,1,day_weekday,LECTURE THEATRE 18,SOC,1.293522481,103.7745083,DAMAGED PROPERTY
43,43,43,Theft, Arrest,2019-05-23 07:33:00,2019,143,5,3,day_weekday,MULTI-PURPOSE HALL 5 & 6,YIH,1.300997486,103.7757629,LOST AND FOUND
44,44,44,Theft,Open Investigation,2019-04-02 16:30:00,2019,92,4,1,day_weekday,PGP RESIDENCES (BLOCK 8),PGP,1.291036666,103.7798218,LOST AND FOUND
45,45,45,Disorderly Conduct,Open Investigation,2019-10-21 07:09:00,2019,294,10,0,day_weekday,PGP RESIDENCES (BLOCK 23),PGP,1.290527203,103.7807137,SEXUAL INCIDENTS
46,46,46,Trespassing,Open Investigation,2019-09-19 04:30:00,2019,262,9,3,day_weekday,4 PGP BUNGALOW,PGP,1.292756725,103.7793448,DAMAGED PROPERTY
47,47,47,Harassment: Fraud,Closed,2019-06-12 11:22:00,2019,163,6,2,day_weekday,PGP RESIDENCES (BLOCK 24),PGP,1.290409214,103.7806802,LOST AND FOUND
48,48,48,Trespass,Closed,2019-01-07 22:13:00,2019,7,1,0,day_weekday,KE VII HALL (BLOCK H),PGP,1.293037911,103.7801553,EMERGENCY INCIDENTS
49,49,49,Attempted Trespass 2,Open Investigation,2019-03-12 12:03:00,2019,71,3,1,day_weekday,ENGINEERING BLOCK 4,CDE,1.298397303,103.7723018,LOST AND FOUND
50,50,50,Theft,Open Investigation,2019-11-21 07:34:00,2019,325,11,3,day_weekday,DECOM SUB-STATION 1 (NEAR LKCNHM),UCC,1.302031823,103.7736227,LOST AND FOUND
51,51,51,Theft, Open Investigation,2019-03-15 23:29:00,2019,74,3,4,day_weekday,18 PGP BUNGALOW,PGP,1.292335925,103.7795173,LOST AND FOUND
52,52,52,Trespassing,Arrest,2019-03-01 22:03:00,2019,60,3,4,day_weekday,PGP RESIDENCES (BLOCK 9),PGP,1.291154226,103.7797307,DAMAGED PROPERTY
53,53,53,Theft,Open Investigation,2019-01-15 10:37:00,2019,15,1,1,day_weekday,PGP RESIDENCES (BLOCK 6),PGP,1.291222487,103.7799887,LOST AND FOUND
54,54,54,Fraud,Open Investigation,2019-07-12 19:55:00,2019,193,7,4,day_weekday,RIDGE VIEW RESIDENCE (BLOCK A),YIH,1.297474982,103.776628,DAMAGED PROPERTY
55,55,55,Harassment,Arrest,2019-01-24 01:57:00,2019,24,1,3,day_weekday,TEMASEK HALL (BLOCK B),HALL,1.292689235,103.7705357,DAMAGED PROPERTY
56,56,56,Criminal Mischief,Arrest,2019-01-25 09:17:00,2019,25,1,4,day_weekday,UTOWN RESIDENCE-NORTH TOWER,UTown,1.305337891,103.7737981,STOLEN ITEMS
57,57,57,False Public Alarm,Open Investigation,2018-09-29 16:30:00,2018,272,9,5,weekend,LECTURE THEATRE 1,CDE,1.299442762,103.7711115,LOST AND FOUND
58,58,58,Harassment: Bias Incident, Open Investigation,2019-04-04 17:32:00,2019,94,4,3,day_weekday,PGP RESIDENCES RESTAURANT,PGP,1.290570399,103.7813784,LOST AND FOUND
59,59,59,Theft,Open Investigation,2019-12-01 09:34:00,2019,335,12,6,weekend,18A PGP BUNGALOW,PGP,1.292325199,103.7795281,LOST AND FOUND
60,60,60,Assault,Unfounded,2019-11-11 12:54:00,2019,315,11,0,day_weekday,RAFFLES HALL (BLOCK B),YIH,1.300180358,103.7734463,DAMAGED PROPERTY
61,61,61,Criminal Mischief,unfounded,2019-04-26 15:06:00,2019,116,4,4,day_weekday,RAFFLES HALL (BLOCK D),YIH,1.300301709,103.7726668,STOLEN ITEMS
62,62,62,Shoplifting,Open Investigation,2019-01-12 14:32:00,2019,12,1,5,weekend,KE VII HALL (BLOCK E),PGP,1.29305545,103.7807199,STOLEN ITEMS
63,63,63,Assault: Domestic Violence,,2018-09-05 16:20:00,2018,248,9,2,day_weekday,NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE,FOS,1.2959965,103.7832118,LOST AND FOUND
64,64,64,Trespassing,Open Investigation,2019-03-04 13:30:00,2019,63,3,0,day_weekday,ENGINEERING BLOCK 4,CDE,1.298397303,103.7723018,DAMAGED PROPERTY
65,65,65,Attempted Fraud,Judicial Referral,2019-03-10 07:58:00,2019,69,3,6,weekend,SCIENCE BLOCK 8,FOS,1.296070989,103.7793013,LOST AND FOUND
66,66,66,Domestic Violence: Harassment,Open Investigation,2019-11-11 17:09:00,2019,315,11,0,day_weekday,PGP RESIDENCES (BLOCK 15),PGP,1.291668827,103.7801396,LOST AND FOUND
67,67,67,Bias Intimidation,Open Investigation,2019-04-19 05:05:00,2019,109,4,4,day_weekday,TEMASEK HALL (BLOCK C),HALL,1.292732285,103.7709504,LOST AND FOUND
68,68,68,Shoplifting, Closed,2019-06-19 13:37:00,2019,170,6,2,day_weekday,FOS - SHED B-NEXT TO S3&S4,FOS,1.29582005,103.7789548,STOLEN ITEMS
69,69,69,Extortion,Open Investigation,2019-04-06 17:05:00,2019,96,4,5,weekend,KE VII HALL (BLOCK D),PGP,1.293315344,103.7803833,LOST AND FOUND
70,70,70,Fraud, Open Investigation,2018-10-14 03:48:00,2018,287,10,6,weekend,SHEARES HALL (BLOCK A),HALL,1.291577534,103.7754185,DAMAGED PROPERTY
71,71,71,Trespassing,Unfounded,2019-06-15 03:16:00,2019,166,6,5,weekend,UNIVERSITY SPORT CENTRE,YIH,1.299832654,103.7753454,DAMAGED PROPERTY
72,72,72,Theft,Open Investigation,2018-12-27 09:41:00,2018,361,12,3,day_weekday,KE VII HALL (BLOCK A),PGP,1.292733372,103.7806752,LOST AND FOUND
73,73,73,Fraud,Open Investigation,2019-01-10 01:20:00,2019,10,1,3,day_weekday,ENGINEERING WORKSHOP 1,CDE,1.298988688,103.7705945,DAMAGED PROPERTY
74,74,74,Burglary,Open Investigation,2019-04-05 17:06:00,2019,95,4,4,day_weekday,PGP RESIDENCES (BLOCK 19),PGP,1.290999159,103.7805255,LOST AND FOUND
75,75,75,Trespassing,Open Investigation,2019-10-15 20:34:00,2019,288,10,1,day_weekday,RIDGE VIEW RESIDENCE (BLOCK E),YIH,1.298622717,103.7762558,DAMAGED PROPERTY
76,76,76,Theft: Bias Incident,Open Investigation,2018-10-07 09:10:00,2018,280,10,6,weekend,SHEARES HALL (BLOCK E),HALL,1.291117652,103.7758047,LOST AND FOUND
77,77,77,Harassment,Open Investigation,2019-07-22 22:23:00,2019,203,7,0,day_weekday,BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,DAMAGED PROPERTY
78,78,78,Harassment: Fraud,Unfounded,2018-12-17 16:09:00,2018,351,12,0,day_weekday,ARTS & SOCIAL SCIENCES BLOCK 8,FASS,1.294061185,103.7720122,LOST AND FOUND
79,79,79,Theft,Open Investigation,2019-01-01 21:34:00,2019,1,1,1,day_weekday,DATA-CENTRE-NUS HIGH SCHOOL,SOC,1.296769604,103.7802964,LOST AND FOUND
80,80,80,Trespass,Open Investigation,2018-12-29 19:00:00,2018,363,12,5,weekend,RIDGE VIEW RESIDENCE (BLOCK D),YIH,1.297921449,103.7758882,EMERGENCY INCIDENTS
81,81,81,Trespass,Closed,2019-08-14 02:36:00,2019,226,8,2,day_weekday,MD BLK 6 (CTR FOR TRANS  MED),FOS,1.295320036,103.7816808,EMERGENCY INCIDENTS
82,82,82,Criminal Mischief,Unfounded,2019-05-05 02:53:00,2019,125,5,6,weekend,DESIGN & ENVIRONMENT BLOCK 3,CDE,1.297825387,103.7705126,STOLEN ITEMS
83,83,83,Defiant Trespass,Arrest,2019-04-06 20:38:00,2019,96,4,5,weekend,PGP RESIDENCES (BLOCK 21),PGP,1.290472992,103.7804283,LOST AND FOUND
84,84,84,Terroristic Threats,Open Investigation,2019-02-15 05:52:00,2019,46,2,4,day_weekday,DUKE-NUS MEDSH-KHOOTECKPUAT BG,FOS,1.293420222,103.7828813,LOST AND FOUND
85,85,85,Trespassing, Closed,2019-05-02 00:13:00,2019,122,5,3,day_weekday,14 KR BUNGALOW,KR,1.297439351,103.7744566,DAMAGED PROPERTY
86,86,86,Trespassing,Open Investigation,2018-12-20 14:22:00,2018,354,12,3,day_weekday,5 PGP BUNGALOW,PGP,1.293103799,103.7786261,DAMAGED PROPERTY
87,87,87,Theft,Open Investigation,2019-08-19 02:53:00,2019,231,8,0,day_weekday,BTC-LI KA SHING BUILDING,BTC,1.319621613,103.8175738,LOST AND FOUND
88,88,88,Theft,Unfounded,2019-01-23 08:37:00,2019,23,1,2,day_weekday,RAFFLES HALL (BLOCK A),YIH,1.299677886,103.7732472,LOST AND FOUND
89,89,89,Theft: Criminal Mischief,Closed,2019-08-23 00:22:00,2019,235,8,4,day_weekday,ENGINEERING BLOCK 2A (EDIC),CDE,1.29880703,103.7713411,LOST AND FOUND
90,90,90,Shoplifting,Open Investigation,2019-09-15 15:19:00,2019,258,9,6,weekend,KE VII HALL (BLOCK H),PGP,1.293037911,103.7801553,STOLEN ITEMS
91,91,91,Criminal Mischief,Judicial Referral,2019-10-08 12:49:00,2019,281,10,1,day_weekday,EUSOFF HALL (BLOCK C),HALL,1.293426406,103.7701612,STOLEN ITEMS
92,92,92,Criminal Mischief,Open Investigation,2019-02-14 06:14:00,2019,45,2,3,day_weekday,BTC-SUB-STATION,BTC,1.318793146,103.8179381,STOLEN ITEMS
93,93,93,Harassment: Bias Incident,Open Investigation,2019-07-08 10:49:00,2019,189,7,0,day_weekday,KENT RIDGE HALL (BLOCK B),HALL,1.291333703,103.7747351,LOST AND FOUND
94,94,94,Theft,,2019-11-04 08:57:00,2019,308,11,0,day_weekday,EL SERVICE RESERVOIRS 1&2,CDE,1.299643981,103.7721483,LOST AND FOUND
95,95,95,Theft,Open Investigation,2019-03-22 06:43:00,2019,81,3,4,day_weekday,BTC-OEI TIONG HAM,BTC,1.319309565,103.8180432,LOST AND FOUND
96,96,96,Harassment,Open Investigation,2019-10-10 07:50:00,2019,283,10,3,day_weekday,PGP RESIDENCES (BLOCK 6),PGP,1.291222487,103.7799887,DAMAGED PROPERTY
97,97,97,Theft,Open Investigation,2019-08-11 10:56:00,2019,223,8,6,weekend,KENT RIDGE HALL (BLOCK A),HALL,1.29166438,103.7749714,LOST AND FOUND
98,98,98,Fraud,Open Investigation,2019-03-19 06:32:00,2019,78,3,1,day_weekday,COMPUTING BLOCK 1,SOC,1.294771346,103.773839,DAMAGED PROPERTY
99,99,99,Trespassing,Open Investigation,2019-04-26 04:34:00,2019,116,4,4,day_weekday,FOS-RICE SHED C-NEXT TO S3&S4,FOS,1.296022174,103.7792963,DAMAGED PROPERTY
100,100,100,Theft,Open Investigation,2019-08-31 06:58:00,2019,243,8,5,weekend,ENGINEERING BLOCK 6,CDE,1.299181543,103.7730982,LOST AND FOUND
101,101,101,Shoplifting,Open Investigation,2019-06-03 08:39:00,2019,154,6,0,day_weekday,LECTURE THEATRE 13,FASS,1.295043651,103.7709322,STOLEN ITEMS
102,102,102,Burglary, Arrest,2019-06-16 14:50:00,2019,167,6,6,weekend,UNIVERSITY HEALTH CENTRE,YIH,1.299028198,103.776488,LOST AND FOUND
103,103,103,Trespass,Open Investigation,2019-10-03 02:12:00,2019,276,10,3,day_weekday,LKC NATURAL HISTORY MUSEUM,UCC,1.301379227,103.7730057,EMERGENCY INCIDENTS
104,104,104,Theft: Criminal Mischief,Open Investigation,2019-09-04 18:58:00,2019,247,9,2,day_weekday,PGP RESIDENCES (BLOCK 5),PGP,1.291343839,103.7799128,LOST AND FOUND
105,105,105,Trespassing, Closed,2019-04-01 16:31:00,2019,91,4,0,day_weekday,3 PGP BUNGALOW,PGP,1.292651799,103.7797184,DAMAGED PROPERTY
106,106,106,Shoplifting,Open Investigation,2018-12-01 19:05:00,2018,335,12,5,weekend,BTC-CAFE,BTC,1.319623502,103.8174052,STOLEN ITEMS
107,107,107,Trespass,Closed,2019-06-03 08:19:00,2019,154,6,0,day_weekday,SCIENCE BLOCK 5,FOS,1.295676384,103.7790261,EMERGENCY INCIDENTS
108,108,108,Defiant Trespass: Aggravated Assault,Arrest,2019-09-19 08:53:00,2019,262,9,3,day_weekday,HON SUI SEN MEMORIAL LIBRARY,BIZ,1.293089851,103.7745597,LOST AND FOUND
109,109,109,Shoplifting ,Judicial Referral,2019-08-23 02:28:00,2019,235,8,4,day_weekday,MEDICINE BLOCK 2,FOS,1.295071999,103.7815094,LOST AND FOUND
110,110,110,Trespass, Closed,2019-07-02 20:35:00,2019,183,7,1,day_weekday,YSTCM CARPARK,UCC,1.302406233,103.7720861,EMERGENCY INCIDENTS
111,111,111,Shoplifting,Arrest,2019-04-28 22:28:00,2019,118,4,6,weekend,PGP RESIDENCES (BLOCK 2),PGP,1.291369071,103.7826626,STOLEN ITEMS
112,112,112,Terroristic Threats,Open Investigation,2019-10-08 17:41:00,2019,281,10,1,day_weekday,INFORMATION TECHNOLOGY,CDE,1.29755262,103.7725433,LOST AND FOUND
113,113,113,Shoplifting,Open Investigation,2019-06-15 02:51:00,2019,166,6,5,weekend,TEMASEK LAB,CDE,1.299556652,103.7722094,STOLEN ITEMS
114,114,114,Theft,Open Investigation,2018-11-29 13:42:00,2018,333,11,3,day_weekday,YALE SPORTS HALL,UTown,1.307810335,103.7726519,LOST AND FOUND
115,115,115,Theft,Open Investigation,2018-12-12 17:50:00,2018,346,12,2,day_weekday,LECTURE THEATRE 32,FOS,1.296130118,103.778317,LOST AND FOUND
116,116,116,Harassment,Open Investigation,2018-09-27 10:57:00,2018,270,9,3,day_weekday,LECTURE THEATRE 6,CDE,1.298683923,103.7718929,DAMAGED PROPERTY
117,117,117,Shoplifting,Open Investigation,2019-04-18 21:15:00,2019,108,4,3,day_weekday,DNMS CARPARK,DNMS,1.281499226,103.8334517,STOLEN ITEMS
118,118,118,Attempted Extortion, Open Investigation,2018-09-07 18:06:00,2018,250,9,4,day_weekday,ENGINEERING BLOCK 8,CDE,1.299003113,103.7726879,LOST AND FOUND
119,119,119,Harassment,Open Investigation,2018-11-26 08:09:00,2018,330,11,0,day_weekday,SCIENCE BLOCK 4A,FOS,1.295813932,103.7788299,DAMAGED PROPERTY
120,120,120,Theft,Open Investigation,2019-01-21 11:30:00,2019,21,1,0,day_weekday,CREATE CARPARK,UTown,1.303909748,103.7733772,LOST AND FOUND
121,121,121,Theft,Open Investigation,2019-03-27 12:19:00,2019,86,3,2,day_weekday,LECTURE THEATRE 36 (ALICE AND PETER TAN),FOS,1.295172313,103.7814043,LOST AND FOUND
122,122,122,Trespassing,Open Investigation,2019-09-03 04:28:00,2019,246,9,1,day_weekday,SCIENCE BLOCK 2,FOS,1.295509523,103.7782367,DAMAGED PROPERTY
123,123,123,Criminal Mischief,Open Investigation,2019-01-17 13:30:00,2019,17,1,3,day_weekday,NUS SOCIETY-GUILD HOUSE,BIZ,1.293333299,103.7730449,STOLEN ITEMS
124,124,124,Theft,Open Investigation,2019-05-30 19:56:00,2019,150,5,3,day_weekday,MD BLK 1  (TAHIR FDN BLDG),FOS,1.295504947,103.7804244,LOST AND FOUND
125,125,125,Rape,Arrest,2018-11-09 10:08:00,2018,313,11,4,day_weekday,PGP RESIDENCES (BLOCK 1),PGP,1.291477493,103.7828939,SEXUAL INCIDENTS
126,126,126,Theft,Open Investigation,2019-03-15 01:18:00,2019,74,3,4,day_weekday,SCIENCE BLOCK 14,FOS,1.296848923,103.7798471,LOST AND FOUND
127,127,127,Trespassing,Arrest,2019-10-18 01:30:00,2019,291,10,4,day_weekday,CINNAMON COLLEGE -MAIN BLK,UTown,1.306506139,103.7736295,DAMAGED PROPERTY
128,128,128,Theft,Open Investigation,2019-10-30 16:38:00,2019,303,10,2,day_weekday,5 KR BUNGALOW,KR,1.294572999,103.7796455,LOST AND FOUND
129,129,129,Harassment: Domestic Violence,Open Investigation,2018-11-03 05:45:00,2018,307,11,5,weekend,14A PGP BUNGALOW,PGP,1.293265034,103.7774589,LOST AND FOUND
130,130,130,Harassment,Arrest,2018-11-09 11:38:00,2018,313,11,4,day_weekday,PGP RESIDENCES (BLOCK 20),PGP,1.290472992,103.7802401,DAMAGED PROPERTY
131,131,131,Theft,Open Investigation,2018-11-23 16:36:00,2018,327,11,4,day_weekday,PGP RESIDENCES (BLOCK 10),PGP,1.290733171,103.7799493,LOST AND FOUND
132,132,132,Theft, Closed,2018-12-07 23:53:00,2018,341,12,4,day_weekday,ALICE LEE PLAZA,UCC,1.301676507,103.7722053,LOST AND FOUND
133,133,133,Shoplifting,Arrest,2019-09-12 17:38:00,2019,255,9,3,day_weekday,KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,STOLEN ITEMS
134,134,134,Trespass,Open Investigation,2019-02-22 22:38:00,2019,53,2,4,day_weekday,TEMASEK HALL (BLOCK C),HALL,1.292732285,103.7709504,EMERGENCY INCIDENTS
135,135,135,Criminal Mischief,Arrest,2019-06-08 11:59:00,2019,159,6,5,weekend,PGP RESIDENCES (BLOCK 10),PGP,1.290733171,103.7799493,STOLEN ITEMS
136,136,136,False Public Alarm,Closed,2018-12-11 03:55:00,2018,345,12,1,day_weekday,RAFFLES HALL (BLOCK B),YIH,1.300180358,103.7734463,LOST AND FOUND
137,137,137,Criminal Mischief,Arrest,2019-08-14 18:56:00,2019,226,8,2,day_weekday,LECTURE THEATRE 13,FASS,1.295043651,103.7709322,STOLEN ITEMS
138,138,138,Theft,Open Investigation,2018-11-23 08:05:00,2018,327,11,4,day_weekday,BRENNER CTR FOR MOLECULAR MED,FOS,1.294813169,103.7806383,LOST AND FOUND
139,139,139,Trespassing,Closed,2019-03-10 01:45:00,2019,69,3,6,weekend,DUKE-NUS MEDSH-KHOOTECKPUAT BG,FOS,1.293420222,103.7828813,DAMAGED PROPERTY
140,140,140,Harassment,Arrest,2018-10-13 06:49:00,2018,286,10,5,weekend,YALE FITNESS CENTER,UTown,1.307478693,103.7725849,DAMAGED PROPERTY
141,141,141,Lewdness,unfounded,2019-05-30 21:41:00,2019,150,5,3,day_weekday,CANTEEN 1 (TECHNO EDGE),CDE,1.297995633,103.7717593,SEXUAL INCIDENTS
142,142,142,Theft,Closed,2019-03-18 22:21:00,2019,77,3,0,day_weekday,RAFFLES HALL (BLOCK A),YIH,1.299677886,103.7732472,LOST AND FOUND
143,143,143,Harassment,Open Investigation,2018-10-10 17:13:00,2018,283,10,2,day_weekday,TEMASEK HALL (BLOCK E),HALL,1.292584001,103.7722725,DAMAGED PROPERTY
144,144,144,Theft,Arrest,2019-04-22 04:43:00,2019,112,4,0,day_weekday,KENT VALE GUARDHOUSE,HALL,1.302213361,103.7692536,LOST AND FOUND
145,145,145,Burglary, Closed,2019-04-29 00:05:00,2019,119,4,0,day_weekday,UNIVERSITY CULTURAL CENTRE,UCC,1.301613834,103.7722703,LOST AND FOUND
146,146,146,Shoplifting,Open Investigation,2019-05-16 11:12:00,2019,136,5,3,day_weekday,6 KR BUNGALOW,KR,1.294604043,103.7789697,STOLEN ITEMS
147,147,147,Trespassing,Arrest,2019-01-28 17:19:00,2019,28,1,0,day_weekday,PGP RESIDENCES (BLOCK 12),PGP,1.290852627,103.780192,DAMAGED PROPERTY
148,148,148,Theft,Arrest,2019-10-25 04:16:00,2019,298,10,4,day_weekday,CINNAMON LEARN LOBE,UTown,1.306550432,103.7731181,LOST AND FOUND
149,149,149,Theft,Open Investigation,2019-05-02 01:22:00,2019,122,5,3,day_weekday,SCIENCE BLOCK 5,FOS,1.295676384,103.7790261,LOST AND FOUND
150,150,150,Trespass,Closed,2019-07-22 00:21:00,2019,203,7,0,day_weekday,TLL CARPARK,CDE,1.29940048,103.7721367,EMERGENCY INCIDENTS
151,151,151,Trespassing,Closed,2019-02-24 21:11:00,2019,55,2,6,weekend,INNOVATION 4.0,PGP,1.294254531,103.775948,DAMAGED PROPERTY
