"IncidentID","Classification","Disposition","Open","Add","Close","Year","DayOfYear","Month","DayOfWeek","time_period","Building","Location","Longtitude","Latitude","Incidents"
35,"Assault","Open Investigation",2019-10-03 12:30:00,7.44895062867947,2019-10-10 23:16:29,2019,276,10,3,"day_weekday","9 PGP BUNGALOW","PGP",1.293962325,103.7773228,"DAMAGED PROPERTY"
36,"Trespass","Closed",2019-06-18 02:24:00,0.878619305428336,2019-06-18 23:29:13,2019,169,6,1,"day_weekday","SCIENCE BLOCK 7","FOS",1.296276183,103.7788705,"EMERGENCY INCIDENTS"
37,"Criminal Mischief","Arrest",2019-03-26 13:09:00,2.42439079137242,2019-03-28 23:20:07,2019,85,3,1,"day_weekday","LKC NATURAL HISTORY MUSEUM","UCC",1.301379227,103.7730057,"STOLEN ITEMS"
38,"Harassment","Open Investigation",2019-07-10 13:34:00,8.06934438718789,2019-07-18 15:13:51,2019,191,7,2,"day_weekday","DESIGN & ENVIRONMENT BLOCK 1","CDE",1.297243627,103.7706028,"DAMAGED PROPERTY"
39,"Criminal Mischief","Open Investigation",2019-06-01 16:25:00,1.9153963090521,2019-06-03 14:23:10,2019,152,6,5,"weekend","TMSI-ST JOHN'S ISLAND","OTH",1.217102975,103.8501062,"STOLEN ITEMS"
40,"Theft","Open Investigation",2019-09-19 21:26:00,2.74035145879797,2019-09-22 15:12:06,2019,262,9,3,"day_weekday","ENGINEERING BLOCK 3A","CDE",1.300324497,103.7714214,"LOST AND FOUND"
41,"Fraud","Open Investigation",2019-03-23 19:15:00,9.84657395731979,2019-04-02 15:34:04,2019,82,3,5,"weekend","PGP RESIDENCES (BLOCK 18)","PGP",1.291099609,103.7804155,"DAMAGED PROPERTY"
42,"Shoplifting","Closed",2019-04-08 19:16:00,1.37069477453294,2019-04-10 04:09:48,2019,98,4,0,"day_weekday","LECTURE THEATRE 26","FOS",1.296796994,103.781201,"STOLEN ITEMS"
43,"Trespassing","Unfounded",2019-09-03 01:23:00,5.24021667330089,2019-09-08 07:08:55,2019,246,9,1,"day_weekday","LECTURE THEATRE 18","SOC",1.293522481,103.7745083,"DAMAGED PROPERTY"
44,"Theft","Arrest",2019-05-23 07:33:00,2.15447377588277,2019-05-25 11:15:27,2019,143,5,3,"day_weekday","MULTI-PURPOSE HALL 5 & 6","YIH",1.300997486,103.7757629,"LOST AND FOUND"
45,"Theft","Open Investigation",2019-04-02 16:30:00,3.84231350550609,2019-04-06 12:42:56,2019,92,4,1,"day_weekday","PGP RESIDENCES (BLOCK 8)","PGP",1.291036666,103.7798218,"LOST AND FOUND"
46,"Disorderly Conduct","Open Investigation",2019-10-21 07:09:00,7.5868316294511,2019-10-28 21:14:02,2019,294,10,0,"day_weekday","PGP RESIDENCES (BLOCK 23)","PGP",1.290527203,103.7807137,"SEXUAL INCIDENTS"
47,"Trespassing","Open Investigation",2019-09-19 04:30:00,2.74358524939636,2019-09-21 22:20:46,2019,262,9,3,"day_weekday","4 PGP BUNGALOW","PGP",1.292756725,103.7793448,"DAMAGED PROPERTY"
48,"Harassment: Fraud","Closed",2019-06-12 11:22:00,2.38108747714802,2019-06-14 20:30:46,2019,163,6,2,"day_weekday","PGP RESIDENCES (BLOCK 24)","PGP",1.290409214,103.7806802,"LOST AND FOUND"
49,"Trespass","Closed",2019-01-07 22:13:00,3.47601723848349,2019-01-11 09:38:28,2019,7,1,0,"day_weekday","KE VII HALL (BLOCK H)","PGP",1.293037911,103.7801553,"EMERGENCY INCIDENTS"
50,"Attempted Trespass 2","Open Investigation",2019-03-12 12:03:00,1.97295972413079,2019-03-14 11:24:04,2019,71,3,1,"day_weekday","ENGINEERING BLOCK 4","CDE",1.298397303,103.7723018,"LOST AND FOUND"
51,"Theft","Open Investigation",2019-11-21 07:34:00,3.16858722894588,2019-11-24 11:36:46,2019,325,11,3,"day_weekday","DECOM SUB-STATION 1 (NEAR LKCNHM)","UCC",1.302031823,103.7736227,"LOST AND FOUND"
52,"Theft","Open Investigation",2019-03-15 23:29:00,3.02469931403695,2019-03-19 00:04:34,2019,74,3,4,"day_weekday","18 PGP BUNGALOW","PGP",1.292335925,103.7795173,"LOST AND FOUND"
53,"Trespassing","Arrest",2019-03-01 22:03:00,8.04697500856457,2019-03-09 23:10:39,2019,60,3,4,"day_weekday","PGP RESIDENCES (BLOCK 9)","PGP",1.291154226,103.7797307,"DAMAGED PROPERTY"
54,"Theft","Open Investigation",2019-01-15 10:37:00,2.9808635983145,2019-01-18 10:09:27,2019,15,1,1,"day_weekday","PGP RESIDENCES (BLOCK 6)","PGP",1.291222487,103.7799887,"LOST AND FOUND"
55,"Fraud","Open Investigation",2019-07-12 19:55:00,5.89342969061106,2019-07-18 17:21:32,2019,193,7,4,"day_weekday","RIDGE VIEW RESIDENCE (BLOCK A)","YIH",1.297474982,103.776628,"DAMAGED PROPERTY"
56,"Harassment","Arrest",2019-01-24 01:57:00,5.36165706192766,2019-01-29 10:37:47,2019,24,1,3,"day_weekday","TEMASEK HALL (BLOCK B)","HALL",1.292689235,103.7705357,"DAMAGED PROPERTY"
57,"Criminal Mischief","Arrest",2019-01-25 09:17:00,2.10224112061464,2019-01-27 11:44:14,2019,25,1,4,"day_weekday","UTOWN RESIDENCE-NORTH TOWER","UTown",1.305337891,103.7737981,"STOLEN ITEMS"
58,"False Public Alarm","Open Investigation",2018-09-29 16:30:00,3.60631657130942,2018-10-03 07:03:06,2018,272,9,5,"weekend","LECTURE THEATRE 1","CDE",1.299442762,103.7711115,"LOST AND FOUND"
59,"Harassment: Bias Incident","Open Investigation",2019-04-04 17:32:00,2.91070806482242,2019-04-07 15:23:25,2019,94,4,3,"day_weekday","PGP RESIDENCES RESTAURANT","PGP",1.290570399,103.7813784,"LOST AND FOUND"
60,"Theft","Open Investigation",2019-12-01 09:34:00,2.17449926185742,2019-12-03 13:45:17,2019,335,12,6,"weekend","18A PGP BUNGALOW","PGP",1.292325199,103.7795281,"LOST AND FOUND"
61,"Assault","Unfounded",2019-11-11 12:54:00,3.00483718813347,2019-11-14 13:00:58,2019,315,11,0,"day_weekday","RAFFLES HALL (BLOCK B)","YIH",1.300180358,103.7734463,"DAMAGED PROPERTY"
62,"Criminal Mischief","unfounded",2019-04-26 15:06:00,1.27893603270509,2019-04-27 21:47:40,2019,116,4,4,"day_weekday","RAFFLES HALL (BLOCK D)","YIH",1.300301709,103.7726668,"STOLEN ITEMS"
63,"Shoplifting","Open Investigation",2019-01-12 14:32:00,1.2520841442168,2019-01-13 20:35:00,2019,12,1,5,"weekend","KE VII HALL (BLOCK E)","PGP",1.29305545,103.7807199,"STOLEN ITEMS"
64,"Assault: Domestic Violence",NA,2018-09-05 16:20:00,3.11656676641933,2018-09-08 19:07:51,2018,248,9,2,"day_weekday","NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE","FOS",1.2959965,103.7832118,"LOST AND FOUND"
65,"Trespassing","Open Investigation",2019-03-04 13:30:00,9.25093714924549,2019-03-13 19:31:21,2019,63,3,0,"day_weekday","ENGINEERING BLOCK 4","CDE",1.298397303,103.7723018,"DAMAGED PROPERTY"
66,"Attempted Fraud","Judicial Referral",2019-03-10 07:58:00,2.09325963765544,2019-03-12 10:12:18,2019,69,3,6,"weekend","SCIENCE BLOCK 8","FOS",1.296070989,103.7793013,"LOST AND FOUND"
67,"Domestic Violence: Harassment","Open Investigation",2019-11-11 17:09:00,2.50261962952977,2019-11-14 05:12:46,2019,315,11,0,"day_weekday","PGP RESIDENCES (BLOCK 15)","PGP",1.291668827,103.7801396,"LOST AND FOUND"
68,"Bias Intimidation","Open Investigation",2019-04-19 05:05:00,3.23730562563419,2019-04-22 10:46:43,2019,109,4,4,"day_weekday","TEMASEK HALL (BLOCK C)","HALL",1.292732285,103.7709504,"LOST AND FOUND"
69,"Shoplifting","Closed",2019-06-19 13:37:00,2.27526218681481,2019-06-21 20:13:23,2019,170,6,2,"day_weekday","FOS - SHED B-NEXT TO S3&S4","FOS",1.29582005,103.7789548,"STOLEN ITEMS"
70,"Extortion","Open Investigation",2019-04-06 17:05:00,2.92393001105304,2019-04-09 15:15:28,2019,96,4,5,"weekend","KE VII HALL (BLOCK D)","PGP",1.293315344,103.7803833,"LOST AND FOUND"
71,"Fraud","Open Investigation",2018-10-14 03:48:00,7.24551934128771,2018-10-21 09:41:33,2018,287,10,6,"weekend","SHEARES HALL (BLOCK A)","HALL",1.291577534,103.7754185,"DAMAGED PROPERTY"
72,"Trespassing","Unfounded",2019-06-15 03:16:00,8.09646300099524,2019-06-23 05:34:54,2019,166,6,5,"weekend","UNIVERSITY SPORT CENTRE","YIH",1.299832654,103.7753454,"DAMAGED PROPERTY"
73,"Theft","Open Investigation",2018-12-27 09:41:00,3.88195999657938,2018-12-31 06:51:01,2018,361,12,3,"day_weekday","KE VII HALL (BLOCK A)","PGP",1.292733372,103.7806752,"LOST AND FOUND"
74,"Fraud","Open Investigation",2019-01-10 01:20:00,5.55008687494211,2019-01-15 14:32:08,2019,10,1,3,"day_weekday","ENGINEERING WORKSHOP 1","CDE",1.298988688,103.7705945,"DAMAGED PROPERTY"
75,"Burglary","Open Investigation",2019-04-05 17:06:00,2.81640628842979,2019-04-08 12:41:38,2019,95,4,4,"day_weekday","PGP RESIDENCES (BLOCK 19)","PGP",1.290999159,103.7805255,"LOST AND FOUND"
76,"Trespassing","Open Investigation",2019-10-15 20:34:00,9.63990036340617,2019-10-25 11:55:27,2019,288,10,1,"day_weekday","RIDGE VIEW RESIDENCE (BLOCK E)","YIH",1.298622717,103.7762558,"DAMAGED PROPERTY"
77,"Theft: Bias Incident","Open Investigation",2018-10-07 09:10:00,2.79095137519575,2018-10-10 04:08:58,2018,280,10,6,"weekend","SHEARES HALL (BLOCK E)","HALL",1.291117652,103.7758047,"LOST AND FOUND"
78,"Harassment","Open Investigation",2019-07-22 22:23:00,7.3776140339047,2019-07-30 07:26:46,2019,203,7,0,"day_weekday","BTC-MANASSEH MEYER","BTC",1.319098649,103.8176172,"DAMAGED PROPERTY"
79,"Harassment: Fraud","Unfounded",2018-12-17 16:09:00,3.63751790942467,2018-12-21 07:27:02,2018,351,12,0,"day_weekday","ARTS & SOCIAL SCIENCES BLOCK 8","FASS",1.294061185,103.7720122,"LOST AND FOUND"
80,"Theft","Open Investigation",2019-01-01 21:34:00,3.2190261891443,2019-01-05 02:49:24,2019,1,1,1,"day_weekday","DATA-CENTRE-NUS HIGH SCHOOL","SOC",1.296769604,103.7802964,"LOST AND FOUND"
81,"Trespass","Open Investigation",2018-12-29 19:00:00,3.22363765005844,2019-01-02 00:22:02,2018,363,12,5,"weekend","RIDGE VIEW RESIDENCE (BLOCK D)","YIH",1.297921449,103.7758882,"EMERGENCY INCIDENTS"
82,"Trespass","Closed",2019-08-14 02:36:00,2.44563039887813,2019-08-16 13:17:42,2019,226,8,2,"day_weekday","MD BLK 6 (CTR FOR TRANS  MED)","FOS",1.295320036,103.7816808,"EMERGENCY INCIDENTS"
83,"Criminal Mischief","Unfounded",2019-05-05 02:53:00,1.81757081428991,2019-05-06 22:30:18,2019,125,5,6,"weekend","DESIGN & ENVIRONMENT BLOCK 3","CDE",1.297825387,103.7705126,"STOLEN ITEMS"
84,"Defiant Trespass","Arrest",2019-04-06 20:38:00,3.79976107944488,2019-04-10 15:49:39,2019,96,4,5,"weekend","PGP RESIDENCES (BLOCK 21)","PGP",1.290472992,103.7804283,"LOST AND FOUND"
85,"Terroristic Threats","Open Investigation",2019-02-15 05:52:00,2.48248962807254,2019-02-17 17:26:47,2019,46,2,4,"day_weekday","DUKE-NUS MEDSH-KHOOTECKPUAT BG","FOS",1.293420222,103.7828813,"LOST AND FOUND"
86,"Trespassing","Closed",2019-05-02 00:13:00,5.26517751228106,2019-05-07 06:34:51,2019,122,5,3,"day_weekday","14 KR BUNGALOW","KR",1.297439351,103.7744566,"DAMAGED PROPERTY"
87,"Trespassing","Open Investigation",2018-12-20 14:22:00,4.42386023438571,2018-12-25 00:32:22,2018,354,12,3,"day_weekday","5 PGP BUNGALOW","PGP",1.293103799,103.7786261,"DAMAGED PROPERTY"
88,"Theft","Open Investigation",2019-08-19 02:53:00,2.83332435939481,2019-08-21 22:52:59,2019,231,8,0,"day_weekday","BTC-LI KA SHING BUILDING","BTC",1.319621613,103.8175738,"LOST AND FOUND"
89,"Theft","Unfounded",2019-01-23 08:37:00,2.69414654564346,2019-01-26 01:16:34,2019,23,1,2,"day_weekday","RAFFLES HALL (BLOCK A)","YIH",1.299677886,103.7732472,"LOST AND FOUND"
90,"Theft: Criminal Mischief","Closed",2019-08-23 00:22:00,3.05526458177231,2019-08-26 01:41:35,2019,235,8,4,"day_weekday","ENGINEERING BLOCK 2A (EDIC)","CDE",1.29880703,103.7713411,"LOST AND FOUND"
91,"Shoplifting","Open Investigation",2019-09-15 15:19:00,2.09229477763105,2019-09-17 17:31:54,2019,258,9,6,"weekend","KE VII HALL (BLOCK H)","PGP",1.293037911,103.7801553,"STOLEN ITEMS"
92,"Criminal Mischief","Judicial Referral",2019-10-08 12:49:00,2.10480242211712,2019-10-10 15:19:55,2019,281,10,1,"day_weekday","EUSOFF HALL (BLOCK C)","HALL",1.293426406,103.7701612,"STOLEN ITEMS"
93,"Criminal Mischief","Open Investigation",2019-02-14 06:14:00,1.75295926370504,2019-02-16 00:18:16,2019,45,2,3,"day_weekday","BTC-SUB-STATION","BTC",1.318793146,103.8179381,"STOLEN ITEMS"
94,"Harassment: Bias Incident","Open Investigation",2019-07-08 10:49:00,3.28213683733541,2019-07-11 17:35:17,2019,189,7,0,"day_weekday","KENT RIDGE HALL (BLOCK B)","HALL",1.291333703,103.7747351,"LOST AND FOUND"
95,"Theft",NA,2019-11-04 08:57:00,2.78215805846705,2019-11-07 03:43:18,2019,308,11,0,"day_weekday","EL SERVICE RESERVOIRS 1&2","CDE",1.299643981,103.7721483,"LOST AND FOUND"
96,"Theft","Open Investigation",2019-03-22 06:43:00,3.26928222607451,2019-03-25 13:10:46,2019,81,3,4,"day_weekday","BTC-OEI TIONG HAM","BTC",1.319309565,103.8180432,"LOST AND FOUND"
97,"Harassment","Open Investigation",2019-10-10 07:50:00,4.33592706224594,2019-10-14 15:53:44,2019,283,10,3,"day_weekday","PGP RESIDENCES (BLOCK 6)","PGP",1.291222487,103.7799887,"DAMAGED PROPERTY"
98,"Theft","Open Investigation",2019-08-11 10:56:00,2.75893555291107,2019-08-14 05:08:52,2019,223,8,6,"weekend","KENT RIDGE HALL (BLOCK A)","HALL",1.29166438,103.7749714,"LOST AND FOUND"
99,"Fraud","Open Investigation",2019-03-19 06:32:00,7.83650804590803,2019-03-27 02:36:34,2019,78,3,1,"day_weekday","COMPUTING BLOCK 1","SOC",1.294771346,103.773839,"DAMAGED PROPERTY"
100,"Trespassing","Open Investigation",2019-04-26 04:34:00,5.73063927853042,2019-05-01 22:06:07,2019,116,4,4,"day_weekday","FOS-RICE SHED C-NEXT TO S3&S4","FOS",1.296022174,103.7792963,"DAMAGED PROPERTY"
101,"Theft","Open Investigation",2019-08-31 06:58:00,3.7954266754338,2019-09-04 02:03:25,2019,243,8,5,"weekend","ENGINEERING BLOCK 6","CDE",1.299181543,103.7730982,"LOST AND FOUND"
102,"Shoplifting","Open Investigation",2019-06-03 08:39:00,1.67980046674231,2019-06-05 00:57:55,2019,154,6,0,"day_weekday","LECTURE THEATRE 13","FASS",1.295043651,103.7709322,"STOLEN ITEMS"
103,"Burglary","Arrest",2019-06-16 14:50:00,2.60864016309488,2019-06-19 05:26:27,2019,167,6,6,"weekend","UNIVERSITY HEALTH CENTRE","YIH",1.299028198,103.776488,"LOST AND FOUND"
104,"Trespass","Open Investigation",2019-10-03 02:12:00,2.97855623279672,2019-10-06 01:41:07,2019,276,10,3,"day_weekday","LKC NATURAL HISTORY MUSEUM","UCC",1.301379227,103.7730057,"EMERGENCY INCIDENTS"
105,"Theft: Criminal Mischief","Open Investigation",2019-09-04 18:58:00,3.84720066339794,2019-09-08 15:17:58,2019,247,9,2,"day_weekday","PGP RESIDENCES (BLOCK 5)","PGP",1.291343839,103.7799128,"LOST AND FOUND"
106,"Trespassing","Closed",2019-04-01 16:31:00,5.40509696440987,2019-04-07 02:14:20,2019,91,4,0,"day_weekday","3 PGP BUNGALOW","PGP",1.292651799,103.7797184,"DAMAGED PROPERTY"
107,"Shoplifting","Open Investigation",2018-12-01 19:05:00,2.47151182229064,2018-12-04 06:23:59,2018,335,12,5,"weekend","BTC-CAFE","BTC",1.319623502,103.8174052,"STOLEN ITEMS"
108,"Trespass","Closed",2019-06-03 08:19:00,1.55038405041899,2019-06-04 21:31:33,2019,154,6,0,"day_weekday","SCIENCE BLOCK 5","FOS",1.295676384,103.7790261,"EMERGENCY INCIDENTS"
109,"Defiant Trespass: Aggravated Assault","Arrest",2019-09-19 08:53:00,3.66543769903386,2019-09-23 00:51:14,2019,262,9,3,"day_weekday","HON SUI SEN MEMORIAL LIBRARY","BIZ",1.293089851,103.7745597,"LOST AND FOUND"
110,"Shoplifting","Judicial Referral",2019-08-23 02:28:00,3.47238936318776,2019-08-26 13:48:14,2019,235,8,4,"day_weekday","MEDICINE BLOCK 2","FOS",1.295071999,103.7815094,"LOST AND FOUND"
111,"Trespass","Closed",2019-07-02 20:35:00,0.264839519665229,2019-07-03 02:56:22,2019,183,7,1,"day_weekday","YSTCM CARPARK","UCC",1.302406233,103.7720861,"EMERGENCY INCIDENTS"
112,"Shoplifting","Arrest",2019-04-28 22:28:00,2.324325785874,2019-05-01 06:15:02,2019,118,4,6,"weekend","PGP RESIDENCES (BLOCK 2)","PGP",1.291369071,103.7826626,"STOLEN ITEMS"
113,"Terroristic Threats","Open Investigation",2019-10-08 17:41:00,3.29129152863704,2019-10-12 00:40:28,2019,281,10,1,"day_weekday","INFORMATION TECHNOLOGY","CDE",1.29755262,103.7725433,"LOST AND FOUND"
114,"Shoplifting","Open Investigation",2019-06-15 02:51:00,2.26955496433629,2019-06-17 09:19:10,2019,166,6,5,"weekend","TEMASEK LAB","CDE",1.299556652,103.7722094,"STOLEN ITEMS"
115,"Theft","Open Investigation",2018-11-29 13:42:00,2.60200913433457,2018-12-02 04:08:54,2018,333,11,3,"day_weekday","YALE SPORTS HALL","UTown",1.307810335,103.7726519,"LOST AND FOUND"
116,"Theft","Open Investigation",2018-12-12 17:50:00,2.45619554973348,2018-12-15 04:46:55,2018,346,12,2,"day_weekday","LECTURE THEATRE 32","FOS",1.296130118,103.778317,"LOST AND FOUND"
117,"Harassment","Open Investigation",2018-09-27 10:57:00,6.63657166502059,2018-10-04 02:13:40,2018,270,9,3,"day_weekday","LECTURE THEATRE 6","CDE",1.298683923,103.7718929,"DAMAGED PROPERTY"
118,"Shoplifting","Open Investigation",2019-04-18 21:15:00,2.09971592916219,2019-04-20 23:38:35,2019,108,4,3,"day_weekday","DNMS CARPARK","DNMS",1.281499226,103.8334517,"STOLEN ITEMS"
119,"Attempted Extortion","Open Investigation",2018-09-07 18:06:00,3.64476916285317,2018-09-11 09:34:28,2018,250,9,4,"day_weekday","ENGINEERING BLOCK 8","CDE",1.299003113,103.7726879,"LOST AND FOUND"
120,"Harassment","Open Investigation",2018-11-26 08:09:00,7.90102892486249,2018-12-04 05:46:29,2018,330,11,0,"day_weekday","SCIENCE BLOCK 4A","FOS",1.295813932,103.7788299,"DAMAGED PROPERTY"
121,"Theft","Open Investigation",2019-01-21 11:30:00,2.60210251140521,2019-01-24 01:57:02,2019,21,1,0,"day_weekday","CREATE CARPARK","UTown",1.303909748,103.7733772,"LOST AND FOUND"
122,"Theft","Open Investigation",2019-03-27 12:19:00,2.46697535207072,2019-03-29 23:31:27,2019,86,3,2,"day_weekday","LECTURE THEATRE 36 (ALICE AND PETER TAN)","FOS",1.295172313,103.7814043,"LOST AND FOUND"
123,"Trespassing","Open Investigation",2019-09-03 04:28:00,8.48245267346147,2019-09-11 16:02:44,2019,246,9,1,"day_weekday","SCIENCE BLOCK 2","FOS",1.295509523,103.7782367,"DAMAGED PROPERTY"
