datetime,Year,DayOfYear,Month,DayOfWeek,time_period,Building,Location,Longtitude,Latitude,Incidents
26/3/19 13:09,2019,85,3,1,day_weekday,LKC NATURAL HISTORY MUSEUM,UCC,1.301379227,103.7730057,STOLEN ITEMS
10/7/19 13:34,2019,191,7,2,day_weekday,DESIGN & ENVIRONMENT BLOCK 1,CDE,1.297243627,103.7706028,DAMAGED PROPERTY
1/6/19 16:25,2019,152,6,5,weekend,TMSI-ST JOHN'S ISLAND,OTH,1.217102975,103.8501062,STOLEN ITEMS
19/9/19 21:26,2019,262,9,3,day_weekday,ENGINEERING BLOCK 3A,CDE,1.300324497,103.7714214,LOST AND FOUND
23/3/19 19:15,2019,82,3,5,weekend,PGP RESIDENCES (BLOCK 18),PGP,1.291099609,103.7804155,DAMAGED PROPERTY
8/4/19 19:16,2019,98,4,0,day_weekday,LECTURE THEATRE 26,FOS,1.296796994,103.781201,STOLEN ITEMS
3/9/19 1:23,2019,246,9,1,day_weekday,LECTURE THEATRE 18,SOC,1.293522481,103.7745083,DAMAGED PROPERTY
23/5/19 7:33,2019,143,5,3,day_weekday,MULTI-PURPOSE HALL 5 & 6,YIH,1.300997486,103.7757629,LOST AND FOUND
2/4/19 16:30,2019,92,4,1,day_weekday,PGP RESIDENCES (BLOCK 8),PGP,1.291036666,103.7798218,LOST AND FOUND
21/10/19 7:09,2019,294,10,0,day_weekday,PGP RESIDENCES (BLOCK 23),PGP,1.290527203,103.7807137,SEXUAL INCIDENTS
19/9/19 4:30,2019,262,9,3,day_weekday,4 PGP BUNGALOW,PGP,1.292756725,103.7793448,DAMAGED PROPERTY
12/6/19 11:22,2019,163,6,2,day_weekday,PGP RESIDENCES (BLOCK 24),PGP,1.290409214,103.7806802,LOST AND FOUND
7/1/19 22:13,2019,7,1,0,day_weekday,KE VII HALL (BLOCK H),PGP,1.293037911,103.7801553,EMERGENCY INCIDENTS
12/3/19 12:03,2019,71,3,1,day_weekday,ENGINEERING BLOCK 4,CDE,1.298397303,103.7723018,LOST AND FOUND
21/11/19 7:34,2019,325,11,3,day_weekday,DECOM SUB-STATION 1 (NEAR LKCNHM),UCC,1.302031823,103.7736227,LOST AND FOUND
15/3/19 23:29,2019,74,3,4,day_weekday,18 PGP BUNGALOW,PGP,1.292335925,103.7795173,LOST AND FOUND
1/3/19 22:03,2019,60,3,4,day_weekday,PGP RESIDENCES (BLOCK 9),PGP,1.291154226,103.7797307,DAMAGED PROPERTY
15/1/19 10:37,2019,15,1,1,day_weekday,PGP RESIDENCES (BLOCK 6),PGP,1.291222487,103.7799887,LOST AND FOUND
12/7/19 19:55,2019,193,7,4,day_weekday,RIDGE VIEW RESIDENCE (BLOCK A),YIH,1.297474982,103.776628,DAMAGED PROPERTY
24/1/19 1:57,2019,24,1,3,day_weekday,TEMASEK HALL (BLOCK B),HALL,1.292689235,103.7705357,DAMAGED PROPERTY
25/1/19 9:17,2019,25,1,4,day_weekday,UTOWN RESIDENCE-NORTH TOWER,UTown,1.305337891,103.7737981,STOLEN ITEMS
29/9/18 16:30,2018,272,9,5,weekend,LECTURE THEATRE 1,CDE,1.299442762,103.7711115,LOST AND FOUND
4/4/19 17:32,2019,94,4,3,day_weekday,PGP RESIDENCES RESTAURANT,PGP,1.290570399,103.7813784,LOST AND FOUND
1/12/19 9:34,2019,335,12,6,weekend,18A PGP BUNGALOW,PGP,1.292325199,103.7795281,LOST AND FOUND
11/11/19 12:54,2019,315,11,0,day_weekday,RAFFLES HALL (BLOCK B),YIH,1.300180358,103.7734463,DAMAGED PROPERTY
26/4/19 15:06,2019,116,4,4,day_weekday,RAFFLES HALL (BLOCK D),YIH,1.300301709,103.7726668,STOLEN ITEMS
12/1/19 14:32,2019,12,1,5,weekend,KE VII HALL (BLOCK E),PGP,1.29305545,103.7807199,STOLEN ITEMS
5/9/18 16:20,2018,248,9,2,day_weekday,NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE,FOS,1.2959965,103.7832118,LOST AND FOUND
4/3/19 13:30,2019,63,3,0,day_weekday,ENGINEERING BLOCK 4,CDE,1.298397303,103.7723018,DAMAGED PROPERTY
10/3/19 7:58,2019,69,3,6,weekend,SCIENCE BLOCK 8,FOS,1.296070989,103.7793013,LOST AND FOUND
11/11/19 17:09,2019,315,11,0,day_weekday,PGP RESIDENCES (BLOCK 15),PGP,1.291668827,103.7801396,LOST AND FOUND
19/4/19 5:05,2019,109,4,4,day_weekday,TEMASEK HALL (BLOCK C),HALL,1.292732285,103.7709504,LOST AND FOUND
19/6/19 13:37,2019,170,6,2,day_weekday,FOS - SHED B-NEXT TO S3&S4,FOS,1.29582005,103.7789548,STOLEN ITEMS
6/4/19 17:05,2019,96,4,5,weekend,KE VII HALL (BLOCK D),PGP,1.293315344,103.7803833,LOST AND FOUND
14/10/18 3:48,2018,287,10,6,weekend,SHEARES HALL (BLOCK A),HALL,1.291577534,103.7754185,DAMAGED PROPERTY
15/6/19 3:16,2019,166,6,5,weekend,UNIVERSITY SPORT CENTRE,YIH,1.299832654,103.7753454,DAMAGED PROPERTY
27/12/18 9:41,2018,361,12,3,day_weekday,KE VII HALL (BLOCK A),PGP,1.292733372,103.7806752,LOST AND FOUND
10/1/19 1:20,2019,10,1,3,day_weekday,ENGINEERING WORKSHOP 1,CDE,1.298988688,103.7705945,DAMAGED PROPERTY
5/4/19 17:06,2019,95,4,4,day_weekday,PGP RESIDENCES (BLOCK 19),PGP,1.290999159,103.7805255,LOST AND FOUND
15/10/19 20:34,2019,288,10,1,day_weekday,RIDGE VIEW RESIDENCE (BLOCK E),YIH,1.298622717,103.7762558,DAMAGED PROPERTY
7/10/18 9:10,2018,280,10,6,weekend,SHEARES HALL (BLOCK E),HALL,1.291117652,103.7758047,LOST AND FOUND
22/7/19 22:23,2019,203,7,0,day_weekday,BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,DAMAGED PROPERTY
17/12/18 16:09,2018,351,12,0,day_weekday,ARTS & SOCIAL SCIENCES BLOCK 8,FASS,1.294061185,103.7720122,LOST AND FOUND
1/1/19 21:34,2019,1,1,1,day_weekday,DATA-CENTRE-NUS HIGH SCHOOL,SOC,1.296769604,103.7802964,LOST AND FOUND
29/12/18 19:00,2018,363,12,5,weekend,RIDGE VIEW RESIDENCE (BLOCK D),YIH,1.297921449,103.7758882,EMERGENCY INCIDENTS
14/8/19 2:36,2019,226,8,2,day_weekday,MD BLK 6 (CTR FOR TRANS  MED),FOS,1.295320036,103.7816808,EMERGENCY INCIDENTS
5/5/19 2:53,2019,125,5,6,weekend,DESIGN & ENVIRONMENT BLOCK 3,CDE,1.297825387,103.7705126,STOLEN ITEMS
6/4/19 20:38,2019,96,4,5,weekend,PGP RESIDENCES (BLOCK 21),PGP,1.290472992,103.7804283,LOST AND FOUND
15/2/19 5:52,2019,46,2,4,day_weekday,DUKE-NUS MEDSH-KHOOTECKPUAT BG,FOS,1.293420222,103.7828813,LOST AND FOUND
2/5/19 0:13,2019,122,5,3,day_weekday,14 KR BUNGALOW,KR,1.297439351,103.7744566,DAMAGED PROPERTY
20/12/18 14:22,2018,354,12,3,day_weekday,5 PGP BUNGALOW,PGP,1.293103799,103.7786261,DAMAGED PROPERTY
19/8/19 2:53,2019,231,8,0,day_weekday,BTC-LI KA SHING BUILDING,BTC,1.319621613,103.8175738,LOST AND FOUND
23/1/19 8:37,2019,23,1,2,day_weekday,RAFFLES HALL (BLOCK A),YIH,1.299677886,103.7732472,LOST AND FOUND
23/8/19 0:22,2019,235,8,4,day_weekday,ENGINEERING BLOCK 2A (EDIC),CDE,1.29880703,103.7713411,LOST AND FOUND
15/9/19 15:19,2019,258,9,6,weekend,KE VII HALL (BLOCK H),PGP,1.293037911,103.7801553,STOLEN ITEMS
8/10/19 12:49,2019,281,10,1,day_weekday,EUSOFF HALL (BLOCK C),HALL,1.293426406,103.7701612,STOLEN ITEMS
14/2/19 6:14,2019,45,2,3,day_weekday,BTC-SUB-STATION,BTC,1.318793146,103.8179381,STOLEN ITEMS
8/7/19 10:49,2019,189,7,0,day_weekday,KENT RIDGE HALL (BLOCK B),HALL,1.291333703,103.7747351,LOST AND FOUND
4/11/19 8:57,2019,308,11,0,day_weekday,EL SERVICE RESERVOIRS 1&2,CDE,1.299643981,103.7721483,LOST AND FOUND
22/3/19 6:43,2019,81,3,4,day_weekday,BTC-OEI TIONG HAM,BTC,1.319309565,103.8180432,LOST AND FOUND
10/10/19 7:50,2019,283,10,3,day_weekday,PGP RESIDENCES (BLOCK 6),PGP,1.291222487,103.7799887,DAMAGED PROPERTY
11/8/19 10:56,2019,223,8,6,weekend,KENT RIDGE HALL (BLOCK A),HALL,1.29166438,103.7749714,LOST AND FOUND
19/3/19 6:32,2019,78,3,1,day_weekday,COMPUTING BLOCK 1,SOC,1.294771346,103.773839,DAMAGED PROPERTY
26/4/19 4:34,2019,116,4,4,day_weekday,FOS-RICE SHED C-NEXT TO S3&S4,FOS,1.296022174,103.7792963,DAMAGED PROPERTY
31/8/19 6:58,2019,243,8,5,weekend,ENGINEERING BLOCK 6,CDE,1.299181543,103.7730982,LOST AND FOUND
3/6/19 8:39,2019,154,6,0,day_weekday,LECTURE THEATRE 13,FASS,1.295043651,103.7709322,STOLEN ITEMS
16/6/19 14:50,2019,167,6,6,weekend,UNIVERSITY HEALTH CENTRE,YIH,1.299028198,103.776488,LOST AND FOUND
3/10/19 2:12,2019,276,10,3,day_weekday,LKC NATURAL HISTORY MUSEUM,UCC,1.301379227,103.7730057,EMERGENCY INCIDENTS
4/9/19 18:58,2019,247,9,2,day_weekday,PGP RESIDENCES (BLOCK 5),PGP,1.291343839,103.7799128,LOST AND FOUND
1/4/19 16:31,2019,91,4,0,day_weekday,3 PGP BUNGALOW,PGP,1.292651799,103.7797184,DAMAGED PROPERTY
1/12/18 19:05,2018,335,12,5,weekend,BTC-CAFE,BTC,1.319623502,103.8174052,STOLEN ITEMS
3/6/19 8:19,2019,154,6,0,day_weekday,SCIENCE BLOCK 5,FOS,1.295676384,103.7790261,EMERGENCY INCIDENTS
19/9/19 8:53,2019,262,9,3,day_weekday,HON SUI SEN MEMORIAL LIBRARY,BIZ,1.293089851,103.7745597,LOST AND FOUND
23/8/19 2:28,2019,235,8,4,day_weekday,MEDICINE BLOCK 2,FOS,1.295071999,103.7815094,LOST AND FOUND
2/7/19 20:35,2019,183,7,1,day_weekday,YSTCM CARPARK,UCC,1.302406233,103.7720861,EMERGENCY INCIDENTS
28/4/19 22:28,2019,118,4,6,weekend,PGP RESIDENCES (BLOCK 2),PGP,1.291369071,103.7826626,STOLEN ITEMS
8/10/19 17:41,2019,281,10,1,day_weekday,INFORMATION TECHNOLOGY,CDE,1.29755262,103.7725433,LOST AND FOUND
15/6/19 2:51,2019,166,6,5,weekend,TEMASEK LAB,CDE,1.299556652,103.7722094,STOLEN ITEMS
29/11/18 13:42,2018,333,11,3,day_weekday,YALE SPORTS HALL,UTown,1.307810335,103.7726519,LOST AND FOUND
12/12/18 17:50,2018,346,12,2,day_weekday,LECTURE THEATRE 32,FOS,1.296130118,103.778317,LOST AND FOUND
27/9/18 10:57,2018,270,9,3,day_weekday,LECTURE THEATRE 6,CDE,1.298683923,103.7718929,DAMAGED PROPERTY
18/4/19 21:15,2019,108,4,3,day_weekday,DNMS CARPARK,DNMS,1.281499226,103.8334517,STOLEN ITEMS
7/9/18 18:06,2018,250,9,4,day_weekday,ENGINEERING BLOCK 8,CDE,1.299003113,103.7726879,LOST AND FOUND
26/11/18 8:09,2018,330,11,0,day_weekday,SCIENCE BLOCK 4A,FOS,1.295813932,103.7788299,DAMAGED PROPERTY
21/1/19 11:30,2019,21,1,0,day_weekday,CREATE CARPARK,UTown,1.303909748,103.7733772,LOST AND FOUND
27/3/19 12:19,2019,86,3,2,day_weekday,LECTURE THEATRE 36 (ALICE AND PETER TAN),FOS,1.295172313,103.7814043,LOST AND FOUND
3/9/19 4:28,2019,246,9,1,day_weekday,SCIENCE BLOCK 2,FOS,1.295509523,103.7782367,DAMAGED PROPERTY
17/1/19 13:30,2019,17,1,3,day_weekday,NUS SOCIETY-GUILD HOUSE,BIZ,1.293333299,103.7730449,STOLEN ITEMS
30/5/19 19:56,2019,150,5,3,day_weekday,MD BLK 1  (TAHIR FDN BLDG),FOS,1.295504947,103.7804244,LOST AND FOUND
9/11/18 10:08,2018,313,11,4,day_weekday,PGP RESIDENCES (BLOCK 1),PGP,1.291477493,103.7828939,SEXUAL INCIDENTS
15/3/19 1:18,2019,74,3,4,day_weekday,SCIENCE BLOCK 14,FOS,1.296848923,103.7798471,LOST AND FOUND
18/10/19 1:30,2019,291,10,4,day_weekday,CINNAMON COLLEGE -MAIN BLK,UTown,1.306506139,103.7736295,DAMAGED PROPERTY
30/10/19 16:38,2019,303,10,2,day_weekday,5 KR BUNGALOW,KR,1.294572999,103.7796455,LOST AND FOUND
3/11/18 5:45,2018,307,11,5,weekend,14A PGP BUNGALOW,PGP,1.293265034,103.7774589,LOST AND FOUND
9/11/18 11:38,2018,313,11,4,day_weekday,PGP RESIDENCES (BLOCK 20),PGP,1.290472992,103.7802401,DAMAGED PROPERTY
23/11/18 16:36,2018,327,11,4,day_weekday,PGP RESIDENCES (BLOCK 10),PGP,1.290733171,103.7799493,LOST AND FOUND
7/12/18 23:53,2018,341,12,4,day_weekday,ALICE LEE PLAZA,UCC,1.301676507,103.7722053,LOST AND FOUND
12/9/19 17:38,2019,255,9,3,day_weekday,KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,STOLEN ITEMS
22/2/19 22:38,2019,53,2,4,day_weekday,TEMASEK HALL (BLOCK C),HALL,1.292732285,103.7709504,EMERGENCY INCIDENTS
8/6/19 11:59,2019,159,6,5,weekend,PGP RESIDENCES (BLOCK 10),PGP,1.290733171,103.7799493,STOLEN ITEMS
11/12/18 3:55,2018,345,12,1,day_weekday,RAFFLES HALL (BLOCK B),YIH,1.300180358,103.7734463,LOST AND FOUND
14/8/19 18:56,2019,226,8,2,day_weekday,LECTURE THEATRE 13,FASS,1.295043651,103.7709322,STOLEN ITEMS
23/11/18 8:05,2018,327,11,4,day_weekday,BRENNER CTR FOR MOLECULAR MED,FOS,1.294813169,103.7806383,LOST AND FOUND
10/3/19 1:45,2019,69,3,6,weekend,DUKE-NUS MEDSH-KHOOTECKPUAT BG,FOS,1.293420222,103.7828813,DAMAGED PROPERTY
13/10/18 6:49,2018,286,10,5,weekend,YALE FITNESS CENTER,UTown,1.307478693,103.7725849,DAMAGED PROPERTY
30/5/19 21:41,2019,150,5,3,day_weekday,CANTEEN 1 (TECHNO EDGE),CDE,1.297995633,103.7717593,SEXUAL INCIDENTS
18/3/19 22:21,2019,77,3,0,day_weekday,RAFFLES HALL (BLOCK A),YIH,1.299677886,103.7732472,LOST AND FOUND
10/10/18 17:13,2018,283,10,2,day_weekday,TEMASEK HALL (BLOCK E),HALL,1.292584001,103.7722725,DAMAGED PROPERTY
22/4/19 4:43,2019,112,4,0,day_weekday,KENT VALE GUARDHOUSE,HALL,1.302213361,103.7692536,LOST AND FOUND
29/4/19 0:05,2019,119,4,0,day_weekday,UNIVERSITY CULTURAL CENTRE,UCC,1.301613834,103.7722703,LOST AND FOUND
16/5/19 11:12,2019,136,5,3,day_weekday,6 KR BUNGALOW,KR,1.294604043,103.7789697,STOLEN ITEMS
28/1/19 17:19,2019,28,1,0,day_weekday,PGP RESIDENCES (BLOCK 12),PGP,1.290852627,103.780192,DAMAGED PROPERTY
25/10/19 4:16,2019,298,10,4,day_weekday,CINNAMON LEARN LOBE,UTown,1.306550432,103.7731181,LOST AND FOUND
2/5/19 1:22,2019,122,5,3,day_weekday,SCIENCE BLOCK 5,FOS,1.295676384,103.7790261,LOST AND FOUND
22/7/19 0:21,2019,203,7,0,day_weekday,TLL CARPARK,CDE,1.29940048,103.7721367,EMERGENCY INCIDENTS
24/2/19 21:11,2019,55,2,6,weekend,INNOVATION 4.0,PGP,1.294254531,103.775948,DAMAGED PROPERTY
8/2/19 9:48,2019,39,2,4,day_weekday,ENGINEERING BLOCK 2A (EDIC),CDE,1.29880703,103.7713411,LOST AND FOUND
16/4/19 7:14,2019,106,4,1,day_weekday,"KENT VALE APARTMENT BLK G, 115",KV,1.30249388,103.7703148,STOLEN ITEMS
4/2/19 5:04,2019,35,2,0,day_weekday,UHALL CARPARK,UTown,1.297316736,103.7777968,LOST AND FOUND
1/2/19 4:37,2019,32,2,4,day_weekday,SEA-TO-SPACE (18KR BUNGALOW),KR,1.297559311,103.774216,STOLEN ITEMS
20/12/18 7:38,2018,354,12,3,day_weekday,BTC-CAFE,BTC,1.319623502,103.8174052,LOST AND FOUND
2/10/18 21:14,2018,275,10,1,day_weekday,LECTURE THEATRE 33,FOS,1.29776785,103.7808098,STOLEN ITEMS
11/4/19 10:58,2019,101,4,3,day_weekday,"KENT VALE APARTMENT BLK D, 113",KV,1.302189396,103.7678817,EMERGENCY INCIDENTS
30/6/19 13:24,2019,181,6,6,weekend,PGP RESIDENCES (BLOCK 5),PGP,1.291343839,103.7799128,LOST AND FOUND
25/8/18 0:54,2018,237,8,5,weekend,PGP RESIDENCES (BLOCK 5),PGP,1.291343839,103.7799128,DAMAGED PROPERTY
7/4/19 6:47,2019,97,4,6,weekend,BTC-BLOCK B,BTC,1.319007737,103.8169549,LOST AND FOUND
7/12/18 13:10,2018,341,12,4,day_weekday,7 PGP BUNGALOW,PGP,1.293238399,103.7780367,DAMAGED PROPERTY
23/7/19 17:41,2019,204,7,1,day_weekday,ENGINEERING BLOCK 8,CDE,1.299003113,103.7726879,SEXUAL INCIDENTS
10/5/19 19:42,2019,130,5,4,day_weekday,17 PGP BUNGALOW,PGP,1.292575481,103.7792351,DAMAGED PROPERTY
30/12/18 10:38,2018,364,12,6,weekend,12A KR BUNGALOW,KR,1.29723462,103.7747589,LOST AND FOUND
17/4/19 19:42,2019,107,4,2,day_weekday,KE VII HALL (COMMUNAL HALL),PGP,1.292402899,103.7810646,DAMAGED PROPERTY
22/8/19 16:53,2019,234,8,3,day_weekday,BTC-FEDERAL,BTC,1.318374465,103.8173933,LOST AND FOUND
14/3/19 14:06,2019,73,3,3,day_weekday,ARTS & SOCIAL SCIENCES BLOCK 1,FASS,1.29414275,103.7711509,LOST AND FOUND
16/12/18 8:12,2018,350,12,6,weekend,PGP RESIDENCES CANTEEN 2,PGP,1.290619681,103.7816946,DAMAGED PROPERTY
10/12/19 19:53,2019,344,12,1,day_weekday,I3,SOC,1.292406056,103.7755806,STOLEN ITEMS
10/7/19 10:06,2019,191,7,2,day_weekday,SCIENCE BLOCK 15,FOS,1.297049608,103.7801538,LOST AND FOUND
9/9/19 2:54,2019,252,9,0,day_weekday,MEDICINE BLOCK 9,FOS,1.296451987,103.7810899,DAMAGED PROPERTY
22/8/19 18:11,2019,234,8,3,day_weekday,DECOM SUB-STATION 2 (NEAR TEM HALL),HALL,1.292688302,103.773122,LOST AND FOUND
7/8/18 4:58,2018,219,8,1,day_weekday,ENGINEERING BLOCK 1,CDE,1.298761566,103.7710794,LOST AND FOUND
23/11/18 10:09,2018,327,11,4,day_weekday,DATA-CENTRE-NUS HIGH SCHOOL,SOC,1.296769604,103.7802964,LOST AND FOUND
15/1/19 9:24,2019,15,1,1,day_weekday,PGP RESIDENCES CANTEEN 2,PGP,1.290619681,103.7816946,LOST AND FOUND
15/3/19 14:32,2019,74,3,4,day_weekday,LECTURE THEATRE 34,FOS,1.297758283,103.7810123,EMERGENCY INCIDENTS
16/9/19 9:03,2019,259,9,0,day_weekday,ELECTRICAL SUB-STATION,UTown,1.306222002,103.7727161,LOST AND FOUND
23/11/18 20:38,2018,327,11,4,day_weekday,9 KR BUNGALOW,KR,1.294339477,103.7782597,LOST AND FOUND
7/10/19 0:22,2019,280,10,0,day_weekday,RAFFLES HALL (BLOCK E),YIH,1.300036252,103.7737858,LOST AND FOUND
26/7/19 5:07,2019,207,7,4,day_weekday,PGP RESIDENCES (BLOCK 12),PGP,1.290852627,103.780192,LOST AND FOUND
22/2/19 1:45,2019,53,2,4,day_weekday,SCIENCE BLOCK 5,FOS,1.295676384,103.7790261,LOST AND FOUND
20/9/18 17:24,2018,263,9,3,day_weekday,STORE 1 (NEAR KEVII HALL),PGP,1.29274033,103.7812672,LOST AND FOUND
11/1/19 23:28,2019,11,1,4,day_weekday,HOUSE 5 ANNEX,HALL,1.291945118,103.77433,LOST AND FOUND
20/8/19 15:50,2019,232,8,1,day_weekday,LECTURE THEATRE 7A,CDE,1.300437448,103.7708888,LOST AND FOUND
17/9/19 0:09,2019,260,9,1,day_weekday,UTOWN RESIDENCE-NORTH TOWER,UTown,1.305337891,103.7737981,EMERGENCY INCIDENTS
7/9/19 10:04,2019,250,9,5,weekend,RIDGE VIEW RESIDENCE (BLOCK A),YIH,1.297474982,103.776628,DAMAGED PROPERTY
10/6/19 10:40,2019,161,6,0,day_weekday,RAFFLES HALL (COMMUNAL HALL),YIH,1.300002869,103.7739354,LOST AND FOUND
15/9/19 21:39,2019,258,9,6,weekend,PGP RESIDENCES (BLOCK 29),PGP,1.290130186,103.7816738,STOLEN ITEMS
27/10/19 14:13,2019,300,10,6,weekend,MEDICINE BLOCK 7,FOS,1.295550034,103.7817394,DAMAGED PROPERTY
13/9/19 7:36,2019,256,9,4,day_weekday,"KENT VALE APARTMENT BLK A,103",KV,1.301286274,103.7690165,LOST AND FOUND
9/12/18 22:05,2018,343,12,6,weekend,18A PGP BUNGALOW,PGP,1.292325199,103.7795281,DAMAGED PROPERTY
2/8/19 12:53,2019,214,8,4,day_weekday,KE VII HALL (BLOCK A),PGP,1.292733372,103.7806752,SEXUAL INCIDENTS
12/8/19 6:43,2019,224,8,0,day_weekday,MULTI-PURPOSE HALL 5 & 6,YIH,1.300997486,103.7757629,DAMAGED PROPERTY
2/4/19 7:14,2019,92,4,1,day_weekday,14 KR BUNGALOW,KR,1.297439351,103.7744566,LOST AND FOUND
6/4/19 15:50,2019,96,4,5,weekend,STORE 2 (NEAR KEVII HALL),PGP,1.29243592,103.7806357,STOLEN ITEMS
1/1/19 15:16,2019,1,1,1,day_weekday,COMPUTING BLOCK 3,SOC,1.294839606,103.77459,DAMAGED PROPERTY
17/3/19 1:04,2019,76,3,6,weekend,PGP RESIDENCES (BLOCK 4),PGP,1.291208032,103.7822304,LOST AND FOUND
23/7/19 8:01,2019,204,7,1,day_weekday,18 EVANS BUNGALOW,BTC,1.317911647,103.8197614,DAMAGED PROPERTY
6/7/19 1:54,2019,187,7,5,weekend,14 KR BUNGALOW,KR,1.297439351,103.7744566,LOST AND FOUND
