,Classification,Disposition,datetime
221,Shoplifting ,Judicial Referral,2022-11-29 06:11:40
222,Trespassing,Arrest,2023-05-10 18:50:50
223,Assault: Domestic Violence,Arrest,2023-01-15 19:35:00
224,Attempted Extortion,Open Investigation,2023-04-18 20:38:39
225,Trespassing,,2023-06-13 12:05:17
226,Criminal Mischief,Open Investigation,2023-03-03 09:55:15
227,Theft,Open Investigation,2022-11-05 23:46:00
228,Theft,Unfounded,2023-03-10 06:02:16
229,Theft,Unfounded,2023-02-12 18:31:33
230,Theft,Open Investigation,2023-05-11 18:28:03
231,Theft,Unfounded,2022-11-01 13:23:29
232,Harassment,Open Investigation,2023-05-16 11:50:18
233,Theft,Unfounded,2023-02-21 19:12:44
234,Trespassing,Open Investigation,2023-04-06 04:35:30
235,Theft,Unfounded,2022-09-19 20:17:47
236,Theft,Unfounded,2022-12-09 21:45:45
237,Theft,Open Investigation,2023-03-07 20:55:08
238,Theft,Arrest,2023-02-11 18:29:33
239,Theft,Unfounded,2022-11-22 00:27:57
240,Theft,Unfounded,2022-12-09 09:52:12
241,Trespass,Closed,2022-11-15 05:11:36
242,Theft,Open Investigation,2023-09-27 16:48:59
243,Trespass, Closed,2023-01-05 04:29:18
244,Theft,Unfounded,2022-10-16 01:18:36
245,Trespassing,Arrest,2023-02-09 00:31:02
246,Theft,Open Investigation,2023-10-29 12:17:16
247,Trespassing,Arrest,2023-07-28 18:42:24
248,Trespassing,Arrest,2023-03-11 22:41:49
249,Trespassing,Arrest,2022-12-24 03:08:46
250,Theft,Unfounded,2023-08-18 05:05:36
251,Trespass,Closed,2022-10-13 22:16:31
252,Trespassing,Closed,2023-06-24 03:40:50
253,Stalking,Closed,2022-09-20 20:14:55
254,Theft,Unfounded,2022-12-11 23:46:22
255,Harassment,Open Investigation,2023-09-27 07:16:34
256,Theft,Open Investigation,2023-02-08 20:39:29
257,Harassment,Open Investigation,2023-06-13 13:20:41
258,Assault,Arrest,2023-02-06 02:58:56
259,Stalking,Closed,2022-12-02 10:18:48
260,Trespassing, Arrest,2022-10-24 07:32:30
261,Theft,Unfounded,2023-03-13 18:14:51
262,Harassment: Trespassing,Arrest,2023-05-13 23:01:24
263,Trespass,Unfounded,2023-01-26 06:27:27
264,Criminal Mischief,Open Investigation,2023-05-03 03:17:22
265,Criminal Mischief,Open Investigation,2023-07-13 18:52:22
266,Theft,Unfounded,2023-02-06 05:59:03
267,Theft,Unfounded,2022-10-06 15:22:41
268,Theft,Unfounded,2022-09-13 18:23:59
269,Trespassing,Arrest,2023-03-28 00:59:16
270,False Public Alarm,Closed,2023-02-26 11:10:10
271,Theft,Open Investigation,2023-06-25 02:02:11
272,Criminal Mischief,Open Investigation,2023-04-25 15:46:49
273,Theft,Unfounded,2023-03-07 20:24:23
274,Fraud,Open Investigation,2023-04-15 12:11:56
275,Theft,Open Investigation,2023-09-09 05:33:12
276,Fraud,Open Investigation,2023-10-08 14:56:18
277,Theft,Unfounded,2023-08-19 20:59:09
278,Fraud,Open Investigation,2023-03-24 23:36:54
279,Theft,Unfounded,2022-12-27 12:03:07
280,Stalking,Closed,2023-01-18 13:35:32
281,Theft,Open Investigation,2023-07-07 01:18:10
282,Criminal Mischief,Open Investigation,2023-04-10 22:04:17
283,Theft,Unfounded,2022-12-02 16:05:54
284,Harassment,Open Investigation,2022-12-14 19:02:04
285,Theft,Unfounded,2022-11-09 00:30:51
286,Theft,Open Investigation,2023-03-06 02:56:23
287,Trespassing, Arrest,2022-11-25 13:07:41
288,Theft,Unfounded,2022-10-09 14:38:30
289,Trespassing,,2023-09-15 04:22:35
290,Trespass,Closed,2023-01-19 02:19:47
291,Theft,Unfounded,2023-04-03 00:09:53
292,Theft,Open Investigation,2023-02-26 02:19:13
293,Trespassing,,2023-11-01 15:07:17
294,Shoplifting,Unfounded,2023-07-12 11:10:20
295,Trespassing,,2023-09-22 09:42:26
296,Trespassing,Closed,2023-07-02 16:34:40
297,False Public Alarm,Arrest,2023-03-30 05:01:06
298,Liquor Law Violation,Closed,2023-05-26 11:17:02
299,Criminal Mischief,Open Investigation,2023-02-11 11:54:20
300,Theft,Open Investigation,2023-02-23 13:45:24
301,Theft,Unfounded,2023-01-06 10:41:15
302,Theft,Open Investigation,2023-03-10 14:24:40
303,Theft,Unfounded,2023-03-27 13:25:54
304,Theft: Criminal Mischief,Open Investigation,2023-02-23 12:48:31
305,Theft,Unfounded,2023-02-24 08:10:56
306,Criminal Mischief,Open Investigation,2023-05-17 07:53:11
307,Trespassing,Arrest,2023-02-13 15:34:11
308,Theft,Open Investigation,2023-03-05 03:57:28
309,Theft,Unfounded,2022-09-06 03:39:30
310,Theft,Open Investigation,2023-08-02 01:58:19
311,Theft,Unfounded,2022-11-19 10:08:40
312,False Public Alarm,Open Investigation,2023-05-22 14:37:34
313,Harassment,Open Investigation,2023-09-28 14:37:34
314,Theft,Unfounded,2023-08-12 10:21:04
315,Trespassing,Closed,2023-06-04 13:14:52
316,Harassment,Open Investigation,2023-01-01 00:12:26
317,Trespassing,Open Investigation,2023-04-13 18:29:42
318,Criminal Mischief,Open Investigation,2023-05-14 15:31:05
319,False Public Alarm,Open Investigation,2023-03-07 10:36:31
320,Theft,Open Investigation,2023-06-05 02:37:13
321,Theft,Open Investigation,2023-03-22 09:16:38
322,Theft,Unfounded,2022-12-12 20:46:12
323,Trespassing, Arrest,2022-10-08 18:30:22
324,Criminal Mischief,Open Investigation,2023-04-16 01:04:11
325,Theft,Open Investigation,2023-08-31 07:35:58
326,False Public Alarm,Arrest,2022-12-09 05:55:25
327,Theft,Unfounded,2022-11-02 23:32:42
328,Criminal Mischief,Open Investigation,2023-02-19 17:22:16
329,Shoplifting,Arrest,2022-12-21 10:20:26
330,Theft,Unfounded,2023-01-24 04:57:50
331,Theft,Unfounded,2023-04-05 16:18:38
332,Shoplifting,Open Investigation,2023-03-28 08:46:53
333,Rape,Open Investigation,2023-06-12 14:39:27
334,Criminal Mischief,Open Investigation,2023-02-01 07:39:43
335,Theft: Criminal Mischief,Open Investigation,2022-11-16 03:54:07
336,Criminal Mischief,Open Investigation,2023-02-09 19:49:14
337,Theft,Unfounded,2023-04-07 01:11:26
338,Trespassing,Arrest,2022-11-26 21:32:03
339,Theft,Open Investigation,2023-03-02 05:31:22
340,Stalking,Closed,2023-01-13 10:17:55
341,Shoplifting,Open Investigation,2023-05-22 00:21:41
342,Theft,Unfounded,2022-10-23 08:58:40
343,Theft,Unfounded,2022-11-03 18:15:30
344,Criminal Mischief,Open Investigation,2023-06-05 06:24:32
345,Theft,Open Investigation,2023-04-02 04:55:11
346,False Public Alarm,Closed,2023-02-16 00:54:12
347,Theft,Open Investigation,2023-05-22 18:11:06
348,Theft,Open Investigation,2023-01-05 11:58:50
349,Harassment,Open Investigation,2022-12-26 23:16:29
350,Theft,Open Investigation,2023-09-07 00:33:02
351,Theft,Open Investigation,2023-04-02 19:39:41
352,Criminal Mischief,Open Investigation,2023-09-15 11:20:01
353,Theft,Open Investigation,2023-05-11 01:21:51
354,Disorderly Conduct,Closed,2023-01-22 21:45:23
355,Trespass,Closed,2022-12-07 10:22:27
356,Disorderly Conduct,Arrest,2023-03-18 02:37:04
357,Criminal Mischief,Open Investigation,2023-05-29 11:49:26
358,Theft,Unfounded,2023-01-29 12:12:00
359,Disorderly Conduct,Open Investigation,2023-04-07 08:03:06
360,Trespassing,Closed,2023-04-21 23:30:00
361,Theft,Open Investigation,2023-01-28 03:28:42
362,Criminal Mischief,Open Investigation,2023-01-19 20:50:45
363,Criminal Mischief,Open Investigation,2023-01-08 11:09:28
364,Theft,Arrest,2023-02-16 20:19:20
365,Theft,Open Investigation,2023-01-15 12:47:21
366,Fraud,Open Investigation,2023-04-26 06:49:52
367,Fraud,Open Investigation,2023-02-02 03:00:01
368,Theft,Open Investigation,2023-02-18 18:52:03
369,Criminal Mischief,Open Investigation,2023-03-19 02:20:25
370,Harassment,Open Investigation,2023-01-28 02:06:07
371,Theft,Unfounded,2023-01-02 17:09:11
372,Theft,Unfounded,2023-02-07 10:45:11
373,Harassment: Domestic Violence,Open Investigation,2023-05-16 12:52:22
374,False Public Alarm,Closed,2023-06-26 23:28:36
375,Trespassing,Open Investigation,2023-08-28 19:53:17
376,Trespassing,Arrest,2023-03-10 11:52:38
377,Trespassing,Closed,2023-04-03 22:52:20
378,Theft,Unfounded,2022-11-27 19:30:18
379,Rape,Open Investigation,2023-04-18 09:12:49
380,Theft,Open Investigation,2023-02-10 02:30:30
381,Theft,Unfounded,2023-07-17 20:03:54
382,Trespass,Closed,2022-12-24 12:56:25
383,Theft,Unfounded,2022-10-28 18:48:09
384,Trespassing,,2023-09-10 08:11:39
385,Fraud,Open Investigation,2023-04-26 23:35:19
386,Theft,Open Investigation,2023-04-16 06:54:09
387,Rape,Closed,2023-04-07 17:03:17
388,Trespassing,,2023-09-13 07:22:34
389,Harassment,Open Investigation,2023-07-08 06:01:16
390,Criminal Mischief,Open Investigation,2023-04-06 22:46:12
391,Harassment: Bias Incident,Arrest,2023-03-08 11:14:21
392,Theft,Unfounded,2023-04-02 16:45:47
393,Shoplifting,Judicial Referral,2023-04-06 07:32:20
394,Theft,Open Investigation,2022-12-28 14:00:05
395,Harassment,Open Investigation,2023-08-12 03:23:50
396,Rape,Closed,2022-12-06 22:05:18
397,Theft,Unfounded,2023-04-11 17:48:34
398,Theft,Open Investigation,2023-09-16 02:16:42
399,Theft,Unfounded,2022-12-05 20:27:45
400,Theft,Unfounded,2022-11-03 16:20:12
401,Theft,Unfounded,2022-10-29 23:58:55
402,Shoplifting,Arrest,2022-11-18 12:52:12
403,Assault,Arrest,2023-04-26 05:50:44
404,Theft,Open Investigation,2023-03-02 12:32:15
405,Trespass,Closed,2023-02-17 06:36:43
406,Harassment,Open Investigation,2023-08-30 21:21:36
407,Theft: Bias Incident,Open Investigation,2022-11-16 06:35:42
408,Criminal Mischief,Open Investigation,2023-04-03 23:32:31
409,Theft,Unfounded,2022-12-06 09:48:14
410,Theft,Unfounded,2023-03-27 05:12:03
411,Criminal Mischief,Open Investigation,2023-03-30 09:22:00
412,Trespassing,,2023-09-09 16:43:59
413,Theft,Arrest,2023-01-21 23:03:19
414,Harassment,Open Investigation,2023-08-07 08:17:17
415,Theft,Unfounded,2023-08-06 13:56:57
416,Harassment,Open Investigation,2023-03-09 01:25:38
417,Theft,Open Investigation,2023-03-20 03:49:37
418,Possession of Burglary Tools 2,Arrest,2023-08-13 22:14:31
419,Trespassing,Arrest,2023-01-24 01:12:20
420,Fraud,Open Investigation,2023-08-26 07:31:19
421,Assault: Domestic Violence,Arrest,2023-01-28 21:42:00
422,False Public Alarm,Closed,2023-01-27 04:54:30
423,Theft,Open Investigation,2023-05-06 10:59:43
424,Harassment,Open Investigation,2023-02-26 13:26:42
425,Theft,Open Investigation,2022-11-27 07:03:00
426,Harassment: Stalking,Open Investigation,2023-01-29 20:31:20
427,Shoplifting,Arrest,2023-02-19 10:37:25
428,Criminal Mischief,Open Investigation,2023-09-25 11:12:00
429,Criminal Mischief,Open Investigation,2023-05-20 00:18:48
430,Shoplifting,Open Investigation,2023-01-29 04:07:49
431,Trespassing, Arrest,2022-09-22 19:46:24
432,Fraud,Open Investigation,2023-07-06 10:17:50
433,Trespassing,Closed,2023-05-27 04:15:48
434,Theft,Unfounded,2023-02-15 12:50:09
435,Rape,Closed,2023-04-22 21:04:20
436,Trespassing,Closed,2023-03-04 15:13:44
437,Harassment,Open Investigation,2023-04-03 10:24:30
438,Theft,Unfounded,2022-11-22 02:51:27
439,Theft,Open Investigation,2023-04-29 01:22:27
440,Theft,Open Investigation,2023-03-11 20:49:36
441,Theft,Arrest,2023-02-09 21:56:26
442,Attempted Extortion,Closed,2023-03-05 21:28:16
443,Trespassing,,2023-09-10 06:20:38
444,Harassment: Bias Incident,Open Investigation,2023-04-07 01:20:28
445,Trespassing,,2023-10-11 02:04:54
446,Theft,unfounded,2022-11-22 09:07:45
447,Trespassing,Arrest,2023-08-22 05:35:57
448,Trespassing,Arrest,2023-05-02 06:21:26
449,Theft,Unfounded,2023-04-13 01:28:04
450,Criminal Mischief,Open Investigation,2023-04-14 13:08:46
451,Theft,Unfounded,2022-11-01 05:21:21
452,Theft,Unfounded,2022-09-21 20:43:46
453,Trespassing,Open Investigation,2023-05-13 12:23:20
454,Trespassing,Open Investigation,2023-07-09 01:32:43
455,Defiant Trespass,Arrest,2023-04-05 16:15:54
456,Theft,Open Investigation,2023-05-25 07:27:59
457,Liquor Law Violation,Closed,2023-02-10 01:47:31
458,Harassment: Trespassing,Open Investigation,2023-04-15 23:53:42
459,Theft,Unfounded,2022-12-26 21:01:42
460,Trespassing,,2023-09-15 09:52:54
461,Liquor Law Violation,Closed,2023-01-31 13:33:54
462,Harassment,Open Investigation,2023-04-26 18:47:26
463,Criminal Mischief,Open Investigation,2023-05-18 06:01:08
464,Theft,Open Investigation,2022-12-13 00:00:52
465,Theft,Unfounded,2023-09-06 01:16:55
466,Trespassing, Arrest,2022-12-06 02:10:48
467,Criminal Mischief,Open Investigation,2022-12-31 07:38:18
468,Theft,Open Investigation,2023-05-11 03:14:40
469,Theft,Unfounded,2022-11-18 00:42:37
470,Liquor Law Violation,Closed,2023-07-04 14:08:23
471,Theft,Open Investigation,2023-01-25 00:44:33
472,Fraud,Open Investigation,2023-09-05 22:08:13
473,Trespassing,Arrest,2023-08-16 00:37:09
474,Trespass,Closed,2023-01-12 07:31:30
475,Theft,Unfounded,2023-03-27 22:42:59
476,Shoplifting,Open Investigation,2023-09-27 05:36:43
477,Theft,Unfounded,2022-11-02 16:46:22
478,Theft,Arrest,2023-04-19 07:02:40
479,Criminal Mischief,Open Investigation,2023-04-12 19:25:57
480,Theft,Open Investigation,2023-09-27 06:18:35
481,Theft,Open Investigation,2023-04-15 16:29:55
482,Theft,Open Investigation,2023-02-15 03:32:31
483,Criminal Mischief,Open Investigation,2023-05-09 01:18:32
484,Stalking,Closed,2023-04-19 19:33:26
485,Trespassing,Open Investigation,2023-04-27 09:27:53
486,Criminal Mischief,Open Investigation,2023-05-28 09:10:38
487,Theft,Open Investigation,2023-08-09 05:33:24
488,Trespassing,Closed,2023-04-03 23:11:25
489,Theft,Open Investigation,2023-04-19 10:24:42
490,Theft,Unfounded,2022-11-06 02:40:33
491,Harassment: Bias Incident,Open Investigation,2023-03-24 14:52:40
492,Fraud,Open Investigation,2023-03-08 11:24:49
493,Trespassing,Closed,2023-03-14 12:10:41
494,Liquor Law Violation,Closed,2023-04-15 10:02:44
495,Fraud,Open Investigation,2023-02-06 21:13:23
496,Theft,Open Investigation,2022-12-26 17:45:46
497,Theft,Unfounded,2023-01-07 00:46:30
498,Theft,Unfounded,2022-09-24 13:46:33
499,Criminal Mischief,Open Investigation,2023-07-26 08:02:25
