IncidentID,Open,Add,Close,Year,DayOfYear,Month,DayOfWeek,time_period,Building,Location,Latitude,Longitude,Incidents,User
11,2019-01-21 19:40:00,2.26470811999107,2019-01-24 02:01:11,2019,21,1,0,day_weekday,"KENT VALE APARTMENT BLK A,103",KV,1.301286274,103.7690165,EMERGENCY INCIDENTS,sec1
12,2019-05-19 05:07:00,3.46312406421675,2019-05-22 16:13:54,2019,139,5,6,weekend,KENT VALE GUARDHOUSE,HALL,1.302213361,103.7692536,LOST AND FOUND,sec3
13,2019-06-14 02:03:00,6.75408223949661,2019-06-20 20:08:53,2019,165,6,4,day_weekday,INNOVATION 4.0,PGP,1.294254531,103.775948,DAMAGED PROPERTY,sec3
14,2019-04-16 13:11:00,2.9418947497594,2019-04-19 11:47:20,2019,106,4,1,day_weekday,COMMUNAL BLK B,KV,1.302552874,103.7685982,LOST AND FOUND,sec3
15,2019-01-04 05:29:00,2.82019025059694,2019-01-07 01:10:04,2019,4,1,4,day_weekday,CINNAMON UNI SCH PROG (USP),UTown,1.306525122,103.7734295,LOST AND FOUND,sec3
16,2019-01-17 21:32:00,7.21414800266989,2019-01-25 02:40:22,2019,17,1,3,day_weekday,CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE,1.297113412,103.7714078,DAMAGED PROPERTY,sec2
17,2019-01-16 05:41:00,2.38421884196068,2019-01-18 14:54:17,2019,16,1,2,day_weekday,TECH CTR FOR OFFSHORE & MARINE,PGP,1.293515294,103.7769167,LOST AND FOUND,sec3
18,2019-04-04 19:25:00,6.32194899249765,2019-04-11 03:08:36,2019,94,4,3,day_weekday,BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,SEXUAL INCIDENTS,sec2
19,2018-11-01 14:49:00,3.11606636544404,2018-11-04 17:36:08,2018,305,11,3,day_weekday,SRC MINI GRAND STAND,YIH,1.298645794,103.7777397,LOST AND FOUND,sec1
20,2018-10-15 06:22:00,1.55500898509333,2018-10-16 19:41:13,2018,288,10,0,day_weekday,1 KR BUNGALOW,KR,1.293041343,103.7811579,STOLEN ITEMS,sec4
21,2019-06-26 16:22:00,3.1447014272963,2019-06-29 19:50:22,2019,177,6,2,day_weekday,"COMMUNAL BLK A, 121",KV,1.302400027,103.7689415,STOLEN ITEMS,sec3
22,2019-02-25 08:26:00,2.83053935196688,2019-02-28 04:21:59,2019,56,2,0,day_weekday,ENGINEERING BLOCK 2,CDE,1.299314011,103.7711967,LOST AND FOUND,sec2
23,2018-09-03 08:20:00,3.561417045448,2018-09-06 21:48:26,2018,246,9,0,day_weekday,TEMASEK HALL (COMMUNAL HALL),HALL,1.292822129,103.7714113,LOST AND FOUND,sec2
24,2018-11-12 12:38:00,0.927140820259379,2018-11-13 10:53:05,2018,316,11,0,day_weekday,BOOSTER PUMP HSE(NEXT LKCNHM),UCC,1.301382961,103.7733115,EMERGENCY INCIDENTS,sec3
25,2019-01-28 07:27:00,9.76012331751473,2019-02-07 01:41:35,2019,28,1,0,day_weekday,YALE EAST CORE,UTown,1.305538246,103.7720734,DAMAGED PROPERTY,sec4
26,2019-04-29 21:47:00,2.27048575777394,2019-05-02 04:16:30,2019,119,4,0,day_weekday,YUSOF ISHAK HOUSE,YIH,1.29851672,103.7749707,LOST AND FOUND,sec2
27,2019-10-08 14:23:00,3.28043900072689,2019-10-11 21:06:50,2019,281,10,1,day_weekday,KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,LOST AND FOUND,sec3
28,2019-03-14 18:55:00,3.9678355320192,2019-03-18 18:08:41,2019,73,3,3,day_weekday,PGP RESIDENCES (BLOCK 25),PGP,1.290200342,103.7806037,LOST AND FOUND,sec3
29,2019-10-10 18:01:00,1.43376378333947,2019-10-12 04:25:37,2019,283,10,3,day_weekday,PGP RESIDENCES (BLOCK 16),PGP,1.291523732,103.7801396,STOLEN ITEMS,sec3
30,2019-02-07 17:50:00,3.29213463544927,2019-02-11 00:50:40,2019,38,2,3,day_weekday,KENT RIDGE (COMMUNAL HALL),HALL,1.29179854,103.7747805,LOST AND FOUND,sec2
31,2018-12-07 17:09:00,2.84287354454384,2018-12-10 13:22:44,2018,341,12,4,day_weekday,NUHS-MAIN BUILDING,FOS,1.294399964,103.7835039,EMERGENCY INCIDENTS,sec2
32,2019-01-31 00:33:00,2.3809568063572,2019-02-02 09:41:35,2019,31,1,3,day_weekday,SUB-STATION 4 (NEAR KEVII),PGP,1.292213805,103.7814032,LOST AND FOUND,sec2
33,2019-11-26 20:06:00,3.93487612227828,2019-11-30 18:32:13,2019,330,11,1,day_weekday,CTR FOR THE ARTS,YIH,1.29917139,103.7737631,LOST AND FOUND,sec1
34,2019-06-19 02:33:00,2.41831712696973,2019-06-21 12:35:23,2019,170,6,2,day_weekday,5 KR BUNGALOW,KR,1.294572999,103.7796455,STOLEN ITEMS,sec5
35,2019-10-03 12:30:00,10.1300358486889,2019-10-13 15:37:15,2019,276,10,3,day_weekday,9 PGP BUNGALOW,PGP,1.293962325,103.7773228,DAMAGED PROPERTY,sec2
36,2019-06-18 02:24:00,2.0433606356446,2019-06-20 03:26:26,2019,169,6,1,day_weekday,SCIENCE BLOCK 7,FOS,1.296276183,103.7788705,EMERGENCY INCIDENTS,sec4
37,2019-03-26 13:09:00,2.29632806326839,2019-03-28 20:15:43,2019,85,3,1,day_weekday,LKC NATURAL HISTORY MUSEUM,UCC,1.301379227,103.7730057,STOLEN ITEMS,sec3
38,2019-07-10 13:34:00,6.25672090973719,2019-07-16 19:43:41,2019,191,7,2,day_weekday,DESIGN & ENVIRONMENT BLOCK 1,CDE,1.297243627,103.7706028,DAMAGED PROPERTY,sec4
39,2019-06-01 16:25:00,1.64155050307267,2019-06-03 07:48:50,2019,152,6,5,weekend,TMSI-ST JOHN'S ISLAND,OTH,1.217102975,103.8501062,STOLEN ITEMS,sec5
40,2019-09-19 21:26:00,3.88785008712081,2019-09-23 18:44:30,2019,262,9,3,day_weekday,ENGINEERING BLOCK 3A,CDE,1.300324497,103.7714214,LOST AND FOUND,sec3
41,2019-03-23 19:15:00,4.96972741518971,2019-03-28 18:31:24,2019,82,3,5,weekend,PGP RESIDENCES (BLOCK 18),PGP,1.291099609,103.7804155,DAMAGED PROPERTY,sec1
42,2019-04-08 19:16:00,2.59086426965571,2019-04-11 09:26:51,2019,98,4,0,day_weekday,LECTURE THEATRE 26,FOS,1.296796994,103.781201,STOLEN ITEMS,sec2
43,2019-09-03 01:23:00,6.8931127255292,2019-09-09 22:49:05,2019,246,9,1,day_weekday,LECTURE THEATRE 18,SOC,1.293522481,103.7745083,DAMAGED PROPERTY,sec2
44,2019-05-23 07:33:00,2.28378595626424,2019-05-25 14:21:39,2019,143,5,3,day_weekday,MULTI-PURPOSE HALL 5 & 6,YIH,1.300997486,103.7757629,LOST AND FOUND,sec1
45,2019-04-02 16:30:00,2.72641488208777,2019-04-05 09:56:02,2019,92,4,1,day_weekday,PGP RESIDENCES (BLOCK 8),PGP,1.291036666,103.7798218,LOST AND FOUND,sec1
46,2019-10-21 07:09:00,4.98294691381155,2019-10-26 06:44:27,2019,294,10,0,day_weekday,PGP RESIDENCES (BLOCK 23),PGP,1.290527203,103.7807137,SEXUAL INCIDENTS,sec2
47,2019-09-19 04:30:00,8.23522970627307,2019-09-27 10:08:44,2019,262,9,3,day_weekday,4 PGP BUNGALOW,PGP,1.292756725,103.7793448,DAMAGED PROPERTY,sec1
48,2019-06-12 11:22:00,2.00132104973142,2019-06-14 11:23:54,2019,163,6,2,day_weekday,PGP RESIDENCES (BLOCK 24),PGP,1.290409214,103.7806802,LOST AND FOUND,sec4
49,2019-01-07 22:13:00,3.4254072344131,2019-01-11 08:25:35,2019,7,1,0,day_weekday,KE VII HALL (BLOCK H),PGP,1.293037911,103.7801553,EMERGENCY INCIDENTS,sec2
50,2019-03-12 12:03:00,2.09824451317379,2019-03-14 14:24:28,2019,71,3,1,day_weekday,ENGINEERING BLOCK 4,CDE,1.298397303,103.7723018,LOST AND FOUND,sec3
51,2019-11-21 07:34:00,3.62932305204228,2019-11-24 22:40:14,2019,325,11,3,day_weekday,DECOM SUB-STATION 1 (NEAR LKCNHM),UCC,1.302031823,103.7736227,LOST AND FOUND,sec4
52,2019-03-15 23:29:00,3.03275210954884,2019-03-19 00:16:10,2019,74,3,4,day_weekday,18 PGP BUNGALOW,PGP,1.292335925,103.7795173,LOST AND FOUND,sec1
53,2019-03-01 22:03:00,5.92717338057844,2019-03-07 20:18:08,2019,60,3,4,day_weekday,PGP RESIDENCES (BLOCK 9),PGP,1.291154226,103.7797307,DAMAGED PROPERTY,sec1
54,2019-01-15 10:37:00,2.57841295470669,2019-01-18 00:29:55,2019,15,1,1,day_weekday,PGP RESIDENCES (BLOCK 6),PGP,1.291222487,103.7799887,LOST AND FOUND,sec5
55,2019-07-12 19:55:00,9.34914738702998,2019-07-22 04:17:46,2019,193,7,4,day_weekday,RIDGE VIEW RESIDENCE (BLOCK A),YIH,1.297474982,103.776628,DAMAGED PROPERTY,sec5
56,2019-01-24 01:57:00,7.79223288927688,2019-01-31 20:57:49,2019,24,1,3,day_weekday,TEMASEK HALL (BLOCK B),HALL,1.292689235,103.7705357,DAMAGED PROPERTY,sec3
57,2019-01-25 09:17:00,2.30853716792372,2019-01-27 16:41:18,2019,25,1,4,day_weekday,UTOWN RESIDENCE-NORTH TOWER,UTown,1.305337891,103.7737981,STOLEN ITEMS,sec4
58,2018-09-29 16:30:00,3.37228724455331,2018-10-03 01:26:06,2018,272,9,5,weekend,LECTURE THEATRE 1,CDE,1.299442762,103.7711115,LOST AND FOUND,sec4
59,2019-04-04 17:32:00,3.33065308081582,2019-04-08 01:28:08,2019,94,4,3,day_weekday,PGP RESIDENCES RESTAURANT,PGP,1.290570399,103.7813784,LOST AND FOUND,sec1
60,2019-12-01 09:34:00,3.25988126678154,2019-12-04 15:48:14,2019,335,12,6,weekend,18A PGP BUNGALOW,PGP,1.292325199,103.7795281,LOST AND FOUND,sec2
61,2019-11-11 12:54:00,6.12716637404425,2019-11-17 15:57:07,2019,315,11,0,day_weekday,RAFFLES HALL (BLOCK B),YIH,1.300180358,103.7734463,DAMAGED PROPERTY,sec1
62,2019-04-26 15:06:00,2.11681995905453,2019-04-28 17:54:13,2019,116,4,4,day_weekday,RAFFLES HALL (BLOCK D),YIH,1.300301709,103.7726668,STOLEN ITEMS,sec3
63,2019-01-12 14:32:00,1.80132768410397,2019-01-14 09:45:55,2019,12,1,5,weekend,KE VII HALL (BLOCK E),PGP,1.29305545,103.7807199,STOLEN ITEMS,sec2
64,2018-09-05 16:20:00,3.69089007070937,2018-09-09 08:54:53,2018,248,9,2,day_weekday,NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE,FOS,1.2959965,103.7832118,LOST AND FOUND,sec4
65,2019-03-04 13:30:00,6.41470779646528,2019-03-10 23:27:11,2019,63,3,0,day_weekday,ENGINEERING BLOCK 4,CDE,1.298397303,103.7723018,DAMAGED PROPERTY,sec3
66,2019-03-10 07:58:00,3.73046024194399,2019-03-14 01:29:52,2019,69,3,6,weekend,SCIENCE BLOCK 8,FOS,1.296070989,103.7793013,LOST AND FOUND,sec5
67,2019-11-11 17:09:00,2.81546788950073,2019-11-14 12:43:16,2019,315,11,0,day_weekday,PGP RESIDENCES (BLOCK 15),PGP,1.291668827,103.7801396,LOST AND FOUND,sec3
68,2019-04-19 05:05:00,3.35742095880739,2019-04-22 13:39:41,2019,109,4,4,day_weekday,TEMASEK HALL (BLOCK C),HALL,1.292732285,103.7709504,LOST AND FOUND,sec1
69,2019-06-19 13:37:00,3.05492560170126,2019-06-22 14:56:06,2019,170,6,2,day_weekday,FOS - SHED B-NEXT TO S3&S4,FOS,1.29582005,103.7789548,STOLEN ITEMS,sec4
70,2019-04-06 17:05:00,3.33498108510927,2019-04-10 01:07:22,2019,96,4,5,weekend,KE VII HALL (BLOCK D),PGP,1.293315344,103.7803833,LOST AND FOUND,sec1
71,2018-10-14 03:48:00,7.65724468698921,2018-10-21 19:34:26,2018,287,10,6,weekend,SHEARES HALL (BLOCK A),HALL,1.291577534,103.7754185,DAMAGED PROPERTY,sec5
72,2019-06-15 03:16:00,6.18288935201266,2019-06-21 07:39:22,2019,166,6,5,weekend,UNIVERSITY SPORT CENTRE,YIH,1.299832654,103.7753454,DAMAGED PROPERTY,sec5
73,2018-12-27 09:41:00,2.72976178321779,2018-12-30 03:11:51,2018,361,12,3,day_weekday,KE VII HALL (BLOCK A),PGP,1.292733372,103.7806752,LOST AND FOUND,sec5
74,2019-01-10 01:20:00,6.65387458753242,2019-01-16 17:01:35,2019,10,1,3,day_weekday,ENGINEERING WORKSHOP 1,CDE,1.298988688,103.7705945,DAMAGED PROPERTY,sec2
75,2019-04-05 17:06:00,2.32913566239836,2019-04-08 00:59:57,2019,95,4,4,day_weekday,PGP RESIDENCES (BLOCK 19),PGP,1.290999159,103.7805255,LOST AND FOUND,sec5
76,2019-10-15 20:34:00,8.08792321081385,2019-10-23 22:40:37,2019,288,10,1,day_weekday,RIDGE VIEW RESIDENCE (BLOCK E),YIH,1.298622717,103.7762558,DAMAGED PROPERTY,sec1
77,2018-10-07 09:10:00,4.60030811294791,2018-10-11 23:34:27,2018,280,10,6,weekend,SHEARES HALL (BLOCK E),HALL,1.291117652,103.7758047,LOST AND FOUND,sec5
78,2019-07-22 22:23:00,5.17022265287223,2019-07-28 02:28:07,2019,203,7,0,day_weekday,BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,DAMAGED PROPERTY,sec1
79,2018-12-17 16:09:00,3.30448562496435,2018-12-20 23:27:28,2018,351,12,0,day_weekday,ARTS & SOCIAL SCIENCES BLOCK 8,FASS,1.294061185,103.7720122,LOST AND FOUND,sec4
80,2019-01-01 21:34:00,4.03675551105175,2019-01-05 22:26:56,2019,1,1,1,day_weekday,DATA-CENTRE-NUS HIGH SCHOOL,SOC,1.296769604,103.7802964,LOST AND FOUND,sec1
81,2018-12-29 19:00:00,2.65966116187522,2019-01-01 10:49:55,2018,363,12,5,weekend,RIDGE VIEW RESIDENCE (BLOCK D),YIH,1.297921449,103.7758882,EMERGENCY INCIDENTS,sec2
82,2019-08-14 02:36:00,4.15403885734095,2019-08-18 06:17:49,2019,226,8,2,day_weekday,MD BLK 6 (CTR FOR TRANS  MED),FOS,1.295320036,103.7816808,EMERGENCY INCIDENTS,sec2
83,2019-05-05 02:53:00,0.946404332960987,2019-05-06 01:35:49,2019,125,5,6,weekend,DESIGN & ENVIRONMENT BLOCK 3,CDE,1.297825387,103.7705126,STOLEN ITEMS,sec5
84,2019-04-06 20:38:00,2.52927462008451,2019-04-09 09:20:09,2019,96,4,5,weekend,PGP RESIDENCES (BLOCK 21),PGP,1.290472992,103.7804283,LOST AND FOUND,sec4
85,2019-02-15 05:52:00,2.22273236397902,2019-02-17 11:12:44,2019,46,2,4,day_weekday,DUKE-NUS MEDSH-KHOOTECKPUAT BG,FOS,1.293420222,103.7828813,LOST AND FOUND,sec5
86,2019-05-02 00:13:00,5.84772318190572,2019-05-07 20:33:43,2019,122,5,3,day_weekday,14 KR BUNGALOW,KR,1.297439351,103.7744566,DAMAGED PROPERTY,sec1
87,2018-12-20 14:22:00,3.98597614749116,2018-12-24 14:01:48,2018,354,12,3,day_weekday,5 PGP BUNGALOW,PGP,1.293103799,103.7786261,DAMAGED PROPERTY,sec2
88,2019-08-19 02:53:00,2.54075588551786,2019-08-21 15:51:41,2019,231,8,0,day_weekday,BTC-LI KA SHING BUILDING,BTC,1.319621613,103.8175738,LOST AND FOUND,sec3
89,2019-01-23 08:37:00,3.89403101568466,2019-01-27 06:04:24,2019,23,1,2,day_weekday,RAFFLES HALL (BLOCK A),YIH,1.299677886,103.7732472,LOST AND FOUND,sec2
90,2019-08-23 00:22:00,2.78354496160035,2019-08-25 19:10:18,2019,235,8,4,day_weekday,ENGINEERING BLOCK 2A (EDIC),CDE,1.29880703,103.7713411,LOST AND FOUND,sec5
91,2019-09-15 15:19:00,2.26996668270044,2019-09-17 21:47:45,2019,258,9,6,weekend,KE VII HALL (BLOCK H),PGP,1.293037911,103.7801553,STOLEN ITEMS,sec3
92,2019-10-08 12:49:00,2.48598165979462,2019-10-11 00:28:49,2019,281,10,1,day_weekday,EUSOFF HALL (BLOCK C),HALL,1.293426406,103.7701612,STOLEN ITEMS,sec4
93,2019-02-14 06:14:00,2.09471008561874,2019-02-16 08:30:23,2019,45,2,3,day_weekday,BTC-SUB-STATION,BTC,1.318793146,103.8179381,STOLEN ITEMS,sec1
94,2019-07-08 10:49:00,3.55177446722556,2019-07-12 00:03:33,2019,189,7,0,day_weekday,KENT RIDGE HALL (BLOCK B),HALL,1.291333703,103.7747351,LOST AND FOUND,sec1
95,2019-11-04 08:57:00,3.40445928076795,2019-11-07 18:39:25,2019,308,11,0,day_weekday,EL SERVICE RESERVOIRS 1&2,CDE,1.299643981,103.7721483,LOST AND FOUND,sec1
96,2019-03-22 06:43:00,3.38447872182162,2019-03-25 15:56:39,2019,81,3,4,day_weekday,BTC-OEI TIONG HAM,BTC,1.319309565,103.8180432,LOST AND FOUND,sec2
97,2019-10-10 07:50:00,4.50877463167697,2019-10-14 20:02:38,2019,283,10,3,day_weekday,PGP RESIDENCES (BLOCK 6),PGP,1.291222487,103.7799887,DAMAGED PROPERTY,sec5
98,2019-08-11 10:56:00,2.54010345225741,2019-08-13 23:53:45,2019,223,8,6,weekend,KENT RIDGE HALL (BLOCK A),HALL,1.29166438,103.7749714,LOST AND FOUND,sec4
99,2019-03-19 06:32:00,8.53849734166005,2019-03-27 19:27:26,2019,78,3,1,day_weekday,COMPUTING BLOCK 1,SOC,1.294771346,103.773839,DAMAGED PROPERTY,sec1
100,2019-04-26 04:34:00,7.02500444859991,2019-05-03 05:10:00,2019,116,4,4,day_weekday,FOS-RICE SHED C-NEXT TO S3&S4,FOS,1.296022174,103.7792963,DAMAGED PROPERTY,sec5
101,2019-08-31 06:58:00,3.94055762193262,2019-09-04 05:32:24,2019,243,8,5,weekend,ENGINEERING BLOCK 6,CDE,1.299181543,103.7730982,LOST AND FOUND,sec2
102,2019-06-03 08:39:00,0.84375237699788,2019-06-04 04:54:00,2019,154,6,0,day_weekday,LECTURE THEATRE 13,FASS,1.295043651,103.7709322,STOLEN ITEMS,sec1
103,2019-06-16 14:50:00,3.04182039236453,2019-06-19 15:50:13,2019,167,6,6,weekend,UNIVERSITY HEALTH CENTRE,YIH,1.299028198,103.776488,LOST AND FOUND,sec3
104,2019-10-03 02:12:00,1.96698606450658,2019-10-05 01:24:28,2019,276,10,3,day_weekday,LKC NATURAL HISTORY MUSEUM,UCC,1.301379227,103.7730057,EMERGENCY INCIDENTS,sec1
105,2019-09-04 18:58:00,3.1950193486582,2019-09-07 23:38:50,2019,247,9,2,day_weekday,PGP RESIDENCES (BLOCK 5),PGP,1.291343839,103.7799128,LOST AND FOUND,sec5
106,2019-04-01 16:31:00,6.73620947799249,2019-04-08 10:11:08,2019,91,4,0,day_weekday,3 PGP BUNGALOW,PGP,1.292651799,103.7797184,DAMAGED PROPERTY,sec2
107,2018-12-01 19:05:00,1.92469978985298,2018-12-03 17:16:34,2018,335,12,5,weekend,BTC-CAFE,BTC,1.319623502,103.8174052,STOLEN ITEMS,sec1
108,2019-06-03 08:19:00,2.03898087440137,2019-06-05 09:15:08,2019,154,6,0,day_weekday,SCIENCE BLOCK 5,FOS,1.295676384,103.7790261,EMERGENCY INCIDENTS,sec2
109,2019-09-19 08:53:00,3.29225474135463,2019-09-22 15:53:51,2019,262,9,3,day_weekday,HON SUI SEN MEMORIAL LIBRARY,BIZ,1.293089851,103.7745597,LOST AND FOUND,sec2
110,2019-08-23 02:28:00,3.39408329213227,2019-08-26 11:55:29,2019,235,8,4,day_weekday,MEDICINE BLOCK 2,FOS,1.295071999,103.7815094,LOST AND FOUND,sec2
111,2019-07-02 20:35:00,1.09636235498963,2019-07-03 22:53:46,2019,183,7,1,day_weekday,YSTCM CARPARK,UCC,1.302406233,103.7720861,EMERGENCY INCIDENTS,sec5
112,2019-04-28 22:28:00,1.44383100009325,2019-04-30 09:07:07,2019,118,4,6,weekend,PGP RESIDENCES (BLOCK 2),PGP,1.291369071,103.7826626,STOLEN ITEMS,sec5
113,2019-10-08 17:41:00,3.19853854903324,2019-10-11 22:26:54,2019,281,10,1,day_weekday,INFORMATION TECHNOLOGY,CDE,1.29755262,103.7725433,LOST AND FOUND,sec3
114,2019-06-15 02:51:00,1.42717499108416,2019-06-16 13:06:08,2019,166,6,5,weekend,TEMASEK LAB,CDE,1.299556652,103.7722094,STOLEN ITEMS,sec2
115,2018-11-29 13:42:00,2.44421477265396,2018-12-02 00:21:40,2018,333,11,3,day_weekday,YALE SPORTS HALL,UTown,1.307810335,103.7726519,LOST AND FOUND,sec3
116,2018-12-12 17:50:00,3.55705314079849,2018-12-16 07:12:09,2018,346,12,2,day_weekday,LECTURE THEATRE 32,FOS,1.296130118,103.778317,LOST AND FOUND,sec4
117,2018-09-27 10:57:00,3.840532765974,2018-10-01 07:07:22,2018,270,9,3,day_weekday,LECTURE THEATRE 6,CDE,1.298683923,103.7718929,DAMAGED PROPERTY,sec2
118,2019-04-18 21:15:00,2.28685182863005,2019-04-21 04:08:04,2019,108,4,3,day_weekday,DNMS CARPARK,DNMS,1.281499226,103.8334517,STOLEN ITEMS,sec2
119,2018-09-07 18:06:00,2.95605569410641,2018-09-10 17:02:43,2018,250,9,4,day_weekday,ENGINEERING BLOCK 8,CDE,1.299003113,103.7726879,LOST AND FOUND,sec1
120,2018-11-26 08:09:00,4.43713031976116,2018-11-30 18:38:28,2018,330,11,0,day_weekday,SCIENCE BLOCK 4A,FOS,1.295813932,103.7788299,DAMAGED PROPERTY,sec1
121,2019-01-21 11:30:00,3.07731692221305,2019-01-24 13:21:20,2019,21,1,0,day_weekday,CREATE CARPARK,UTown,1.303909748,103.7733772,LOST AND FOUND,sec3
122,2019-03-27 12:19:00,4.03041088745793,2019-03-31 13:02:48,2019,86,3,2,day_weekday,LECTURE THEATRE 36 (ALICE AND PETER TAN),FOS,1.295172313,103.7814043,LOST AND FOUND,sec4
123,2019-09-03 04:28:00,7.90463424537481,2019-09-11 02:10:40,2019,246,9,1,day_weekday,SCIENCE BLOCK 2,FOS,1.295509523,103.7782367,DAMAGED PROPERTY,sec5
124,2019-01-17 13:30:00,3.28043674628081,2019-01-20 20:13:50,2019,17,1,3,day_weekday,NUS SOCIETY-GUILD HOUSE,BIZ,1.293333299,103.7730449,STOLEN ITEMS,sec5
125,2019-05-30 19:56:00,3.25938969341292,2019-06-03 02:09:31,2019,150,5,3,day_weekday,MD BLK 1  (TAHIR FDN BLDG),FOS,1.295504947,103.7804244,LOST AND FOUND,sec4
126,2018-11-09 10:08:00,4.73256504471073,2018-11-14 03:42:54,2018,313,11,4,day_weekday,PGP RESIDENCES (BLOCK 1),PGP,1.291477493,103.7828939,SEXUAL INCIDENTS,sec5
127,2019-03-15 01:18:00,2.70550890614369,2019-03-17 18:13:56,2019,74,3,4,day_weekday,SCIENCE BLOCK 14,FOS,1.296848923,103.7798471,LOST AND FOUND,sec1
128,2019-10-18 01:30:00,5.30868309366043,2019-10-23 08:54:30,2019,291,10,4,day_weekday,CINNAMON COLLEGE -MAIN BLK,UTown,1.306506139,103.7736295,DAMAGED PROPERTY,sec2
129,2019-10-30 16:38:00,2.51777115902275,2019-11-02 05:03:35,2019,303,10,2,day_weekday,5 KR BUNGALOW,KR,1.294572999,103.7796455,LOST AND FOUND,sec3
130,2018-11-03 05:45:00,3.24197595778761,2018-11-06 11:33:27,2018,307,11,5,weekend,14A PGP BUNGALOW,PGP,1.293265034,103.7774589,LOST AND FOUND,sec1
131,2018-11-09 11:38:00,7.51189459685444,2018-11-16 23:55:08,2018,313,11,4,day_weekday,PGP RESIDENCES (BLOCK 20),PGP,1.290472992,103.7802401,DAMAGED PROPERTY,sec2
132,2018-11-23 16:36:00,3.32624611512602,2018-11-27 00:25:48,2018,327,11,4,day_weekday,PGP RESIDENCES (BLOCK 10),PGP,1.290733171,103.7799493,LOST AND FOUND,sec1
133,2018-12-07 23:53:00,3.46230038920096,2018-12-11 10:58:43,2018,341,12,4,day_weekday,ALICE LEE PLAZA,UCC,1.301676507,103.7722053,LOST AND FOUND,sec3
134,2019-09-12 17:38:00,2.35947462340154,2019-09-15 02:15:39,2019,255,9,3,day_weekday,KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,STOLEN ITEMS,sec5
135,2019-02-22 22:38:00,0.889771849725654,2019-02-23 19:59:16,2019,53,2,4,day_weekday,TEMASEK HALL (BLOCK C),HALL,1.292732285,103.7709504,EMERGENCY INCIDENTS,sec3
136,2019-06-08 11:59:00,1.73844464355678,2019-06-10 05:42:22,2019,159,6,5,weekend,PGP RESIDENCES (BLOCK 10),PGP,1.290733171,103.7799493,STOLEN ITEMS,sec5
137,2018-12-11 03:55:00,3.70170379438294,2018-12-14 20:45:27,2018,345,12,1,day_weekday,RAFFLES HALL (BLOCK B),YIH,1.300180358,103.7734463,LOST AND FOUND,sec1
138,2019-08-14 18:56:00,1.95354000636545,2019-08-16 17:49:06,2019,226,8,2,day_weekday,LECTURE THEATRE 13,FASS,1.295043651,103.7709322,STOLEN ITEMS,sec3
139,2018-11-23 08:05:00,3.28562734180821,2018-11-26 14:56:18,2018,327,11,4,day_weekday,BRENNER CTR FOR MOLECULAR MED,FOS,1.294813169,103.7806383,LOST AND FOUND,sec3
