Buildings,Location,Latitude,Longitude,Residence
PGP RESIDENCES (BLOCK 17),PGP,1.291327615,103.7802401,TRUE
PGP RESIDENCES (BLOCK 18),PGP,1.291099609,103.7804155,TRUE
PGP RESIDENCES (BLOCK 19),PGP,1.290999159,103.7805255,TRUE
PGP RESIDENCES (BLOCK 2),PGP,1.291369071,103.7826626,TRUE
PGP RESIDENCES (BLOCK 20),PGP,1.290472992,103.7802401,TRUE
PGP RESIDENCES (BLOCK 21),PGP,1.290472992,103.7804283,TRUE
PGP RESIDENCES (BLOCK 22),PGP,1.290618087,103.780583,TRUE
PGP RESIDENCES (BLOCK 23),PGP,1.290527203,103.7807137,TRUE
PGP RESIDENCES (BLOCK 24),PGP,1.290409214,103.7806802,TRUE
PGP RESIDENCES (BLOCK 25),PGP,1.290200342,103.7806037,TRUE
PGP RESIDENCES (BLOCK 26),PGP,1.29068027,103.7815813,TRUE
PGP RESIDENCES (BLOCK 27),PGP,1.29056547,103.7816148,TRUE
PGP RESIDENCES (BLOCK 28),PGP,1.290281658,103.7817217,TRUE
PGP RESIDENCES (BLOCK 29),PGP,1.290130186,103.7816738,TRUE
PGP RESIDENCES (BLOCK 3),PGP,1.291295726,103.7824282,TRUE
PGP RESIDENCES (BLOCK 30),PGP,1.290514448,103.781795,TRUE
PGP RESIDENCES (BLOCK 4),PGP,1.291208032,103.7822304,TRUE
PGP RESIDENCES (BLOCK 5),PGP,1.291343839,103.7799128,TRUE
PGP RESIDENCES (BLOCK 6),PGP,1.291222487,103.7799887,TRUE
PGP RESIDENCES (BLOCK 7),PGP,1.291101134,103.7800076,TRUE
PGP RESIDENCES (BLOCK 8),PGP,1.291036666,103.7798218,TRUE
PGP RESIDENCES (BLOCK 9),PGP,1.291154226,103.7797307,TRUE
PGP RESIDENCES CANTEEN 2,PGP,1.290619681,103.7816946,TRUE
PGP RESIDENCES LECTURE THEATRE,PGP,1.290720131,103.7821794,TRUE
PGP RESIDENCES MPH,PGP,1.290916678,103.780617,TRUE
PGP RESIDENCES RESTAURANT,PGP,1.290570399,103.7813784,TRUE
PGP BUS-STOP (OFFICE),PGP,1.290851133,103.781384,FALSE
SPORE POWER GRID-CON SWITCH RM,CDE,1.300293893,103.7713884,FALSE
FOS-RICE SHED C-NEXT TO S3&S4,FOS,1.296022174,103.7792963,FALSE
SCIENCE BLOCK 1,FOS,1.295780109,103.7779029,FALSE
SCIENCE BLOCK 11,FOS,1.296704611,103.778796,FALSE
SCIENCE BLOCK 12,FOS,1.296959412,103.778681,FALSE
SCIENCE BLOCK 13,FOS,1.296790296,103.7791479,FALSE
SCIENCE BLOCK 14,FOS,1.296848923,103.7798471,FALSE
SCIENCE BLOCK 15,FOS,1.297049608,103.7801538,FALSE
SCIENCE BLOCK 16,FOS,1.296808335,103.7803681,FALSE
SCIENCE BLOCK 17,FOS,1.297633622,103.7804434,FALSE
SCIENCE BLOCK 1A (LEE WEE KENG),FOS,1.296422972,103.7792749,FALSE
SCIENCE BLOCK 2,FOS,1.295509523,103.7782367,FALSE
SEA-TO-SPACE (18KR BUNGALOW),KR,1.297559311,103.774216,TRUE
SCIENCE BLOCK 3,FOS,1.295514032,103.7786269,FALSE
SCIENCE BLOCK 4,FOS,1.295631286,103.7788028,FALSE
SCIENCE BLOCK 4A,FOS,1.295813932,103.7788299,FALSE
SCIENCE BLOCK 5,FOS,1.295676384,103.7790261,FALSE
SCIENCE BLOCK 6,FOS,1.295387759,103.7794885,FALSE
SCIENCE BLOCK 7,FOS,1.296276183,103.7788705,FALSE
SCIENCE BLOCK 8,FOS,1.296070989,103.7793013,FALSE
SCIENCE BLOCK 9,FOS,1.296282948,103.7796125,FALSE
DESIGN & ENVIRONMENT BLOCK 1,CDE,1.297243627,103.7706028,FALSE
DESIGN & ENVIRONMENT BLOCK 2,CDE,1.297396959,103.7711486,FALSE
DESIGN & ENVIRONMENT BLOCK 3,CDE,1.297825387,103.7705126,FALSE
DESIGN & ENVIRONMENT BLOCK 4,CDE,1.296846768,103.7702825,FALSE
SHAW FOUNDATION ALUMNI HOUSE,BIZ,1.293190699,103.7734347,FALSE
SHEARES HALL (BLOCK A),HALL,1.291577534,103.7754185,TRUE
SHEARES HALL (BLOCK B),HALL,1.291344242,103.7756961,TRUE
SHEARES HALL (BLOCK C),HALL,1.291354968,103.7760394,TRUE
SHEARES HALL (BLOCK D),HALL,1.291192735,103.7752897,TRUE
SHEARES HALL (BLOCK E),HALL,1.291117652,103.7758047,TRUE
SHEARES HALL (COMMUNAL HALL),HALL,1.291537312,103.7756853,TRUE
FOS - SHED B-NEXT TO S3&S4,FOS,1.29582005,103.7789548,FALSE
BTC-LOUNGE,BTC,1.31861386,103.8170575,FALSE
SRC MINI GRAND STAND,YIH,1.298645794,103.7777397,FALSE
MULTI-PURPOSE HALL 5 & 6,YIH,1.300997486,103.7757629,TRUE
BTC-SUB-STATION,BTC,1.318793146,103.8179381,FALSE
DECOM SUB-STATION 1 (NEAR LKCNHM),UCC,1.302031823,103.7736227,FALSE
DECOM SUB-STATION 2 (NEAR TEM HALL),HALL,1.292688302,103.773122,TRUE
SUB-STATION 3 (NEAR S13),FOS,1.296287532,103.7788929,FALSE
SUB-STATION 4 (NEAR KEVII),PGP,1.292213805,103.7814032,FALSE
SPORE SYNCHROTRON LIGHTSOURCE,COM,1.295471129,103.7749569,FALSE
STORE 1 (NEAR KEVII HALL),PGP,1.29274033,103.7812672,TRUE
STORE 2 (NEAR KEVII HALL),PGP,1.29243592,103.7806357,TRUE
TEMASEK LAB,CDE,1.299556652,103.7722094,FALSE
BTC-TOWER BLOCK,BTC,1.319418189,103.8172055,FALSE
TECH CTR FOR OFFSHORE & MARINE,PGP,1.293515294,103.7769167,FALSE
CANTEEN 2 (THE DECK),FASS,1.294612936,103.7725509,FALSE
TEMASEK LIFE SCIENCE LAB,PGP,1.294203503,103.7765942,FALSE
TMSI-ST JOHNS ISLAND,OTH,1.217102975,103.8501062,FALSE
UNIVERSITY CULTURAL CENTRE,UCC,1.301613834,103.7722703,FALSE
UNIVERSITY HALL,YIH,1.297236942,103.7779364,TRUE
UNIVERSITY HEALTH CENTRE,YIH,1.299028198,103.776488,FALSE
UNIVERSITY SPORT CENTRE,YIH,1.299832654,103.7753454,FALSE
RESIDENT COLLEGE 4 -MPH,UTown,1.30838102,103.7729823,TRUE
RESIDENT COLLEGE 4,UTown,1.308193728,103.7734166,TRUE
DINING HALL (RC4 & CAPT),UTown,1.307989409,103.7731782,TRUE
COLLEGE OF A&P TAN -TOWER,UTown,1.307597799,103.7731505,TRUE
COLLEGE OF A&P TAN -MPH,UTown,1.307802118,103.7732463,TRUE
CINNAMON COLLEGE -MPH,UTown,1.306744344,103.7734549,TRUE
CINNAMON UNI SCH PROG (USP),UTown,1.306525122,103.7734295,FALSE
CINNAMON LEARN LOBE,UTown,1.306550432,103.7731181,FALSE
CINNAMON COLLEGE -MAIN BLK,UTown,1.306506139,103.7736295,TRUE
DINNING HALL (C&T COLLEGE),UTown,1.306389713,103.7736485,TRUE
TEMBUSU COLLEGE- MAIN BLK,UTown,1.306170497,103.7737562,TRUE
TEMBUSU COLLEGE- MPH,UTown,1.305898714,103.7738473,TRUE
TEMBUSU LEARN LOBE,UTown,1.305895704,103.773492,FALSE
UTOWN RESIDENCE-NORTH TOWER,UTown,1.305337891,103.7737981,TRUE
UTOWN RESIDENCE SOUTH-TOWER,UTown,1.304988743,103.774051,TRUE
CREATE (RESEARCH),UTown,1.303674633,103.7735763,FALSE
CREATE (INNOVATION),UTown,1.303777538,103.7734082,FALSE
CREATE (ENTERPRISE),UTown,1.303612109,103.77379,FALSE
DISTRICT COOLING PLANT,UTown,1.305365366,103.7718175,FALSE
CREATE (UTOWN PLAZA),UTown,1.304638629,103.7726193,FALSE
EDUCATION RESOURCE CENTRE,UTown,1.305725982,103.7726716,FALSE
ELECTRICAL SUB-STATION,UTown,1.306222002,103.7727161,FALSE
STEPHEN RIADY CENTRE,UTown,1.304488952,103.7720712,FALSE
YALE RESIDENTIAL COLLEGE 1,UTown,1.305971181,103.7720215,TRUE
YALE RESIDENTIAL COLLEGE 2,UTown,1.307098618,103.7719809,TRUE
YALE DINNING SERVICES,UTown,1.306325197,103.7717576,FALSE
YALE ADMINISTRATION BLOCK,UTown,1.306679212,103.7724365,FALSE
YALE WEST CORE,UTown,1.308169683,103.7723937,FALSE
YALE EAST CORE,UTown,1.305538246,103.7720734,FALSE
YALE SPORTS HALL,UTown,1.307810335,103.7726519,TRUE
YALE FITNESS CENTER,UTown,1.307478693,103.7725849,FALSE
YALE SCIENCE BLOCK,UTown,1.3060437,103.7720044,FALSE
YALE RESIDENTIAL COLLEGE 3,UTown,1.30762857,103.7719629,TRUE
VENTUS (UNI CAMPUS INFRA),HALL,1.29528262,103.770217,FALSE
YUSOF ISHAK HOUSE,YIH,1.29851672,103.7749707,FALSE
YST CONSERVATORY OF MUSIC,UCC,1.302377886,103.7721105,FALSE
