,Date,Time,Crime,Location,Building
65,09/11/2022,19:44,EMERGENCY INCIDENTS,YIH,RIDGE VIEW TOWER BLK (RVF)
66,19/08/2023,8:52,LOST AND FOUND,KV,SUB-STATION/BIN CENTRE
67,11/07/2022,6:49,EMERGENCY INCIDENTS,FOS,CELS CARPARK
68,21/07/2023,19:39,EMERGENCY INCIDENTS,UTown,YALE RESIDENTIAL COLLEGE 1
69,26/03/2022,17:16,LOST AND FOUND,KR,1 KR BUNGALOW
70,22/10/2022,10:24,DAMAGED PROPERTY,PGP,4 PGP BUNGALOW
71,10/08/2022,3:57,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 1)
72,05/12/2022,17:01,LOST AND FOUND,YIH,RIDGE VIEW RESIDENCE (BLOCK B)
73,26/11/2022,22:28,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 2A (EDIC)
74,02/02/2022,21:08,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 30)
75,16/07/2022,4:31,LOST AND FOUND,UTown,YALE EAST CORE
76,05/04/2022,3:33,LOST AND FOUND,HALL,SHEARES HALL (BLOCK D)
77,20/09/2023,12:53,LOST AND FOUND,FASS,CANTEEN 2 (THE DECK)
78,28/07/2022,7:03,DAMAGED PROPERTY,UTown,YALE RESIDENTIAL COLLEGE 2
79,20/11/2022,7:16,LOST AND FOUND,PGP,2 PGP BUNGALOW
80,15/05/2022,6:40,DAMAGED PROPERTY,UTown,RESIDENT COLLEGE 4 -MPH
81,08/02/2023,17:34,DAMAGED PROPERTY,KV,KENT VALE CHILD CARE CENTRE
82,07/06/2023,16:22,LOST AND FOUND,FOS,SCIENCE BLOCK 6
83,14/04/2022,4:54,LOST AND FOUND,BTC,BTC-CJ KOH LIBRARY
84,25/02/2022,20:33,DAMAGED PROPERTY,YIH,MULTI-PURPOSE HALL 5 & 6
85,12/07/2022,3:23,DAMAGED PROPERTY,HALL,TEMASEK HALL (BLOCK C)
86,08/09/2023,0:12,DAMAGED PROPERTY,PGP,17 PGP BUNGALOW
87,22/08/2022,22:18,LOST AND FOUND,KR,SEA-TO-SPACE (18KR BUNGALOW)
88,09/01/2023,7:40,DAMAGED PROPERTY,FOS,LT 27 (LIM SENG TJOE LECTURE)
89,27/06/2023,23:44,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK A)
90,23/07/2022,5:58,EMERGENCY INCIDENTS,FASS,FASS BLK7 (SHAW FDN BLDG)
91,20/07/2022,21:58,LOST AND FOUND,HALL,HOUSE 5
92,03/11/2022,7:51,LOST AND FOUND,CDE,ENGINEERING BLOCK 5
93,11/06/2023,16:08,EMERGENCY INCIDENTS,HALL,HOUSE 5 ANNEX
94,14/02/2022,21:43,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK E)
95,31/01/2023,11:11,EMERGENCY INCIDENTS,KR,SEA-TO-SPACE (18KR BUNGALOW)
96,25/07/2022,21:29,LOST AND FOUND,SOC,COMPUTING BLOCK 2
97,14/10/2023,19:52,DAMAGED PROPERTY,KR,5 KR BUNGALOW
98,22/10/2023,20:09,DAMAGED PROPERTY,DNMS,DNMS CARPARK
99,17/07/2022,15:53,DAMAGED PROPERTY,UTown,CINNAMON UNI SCH PROG (USP)
100,08/09/2022,8:03,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 1
101,23/07/2022,2:16,LOST AND FOUND,FOS,SCIENCE BLOCK 4
102,27/11/2022,5:19,EMERGENCY INCIDENTS,FOS,BRENNER CTR FOR MOLECULAR MED
103,23/02/2023,1:24,LOST AND FOUND,KR,1 KR BUNGALOW
104,08/08/2023,23:27,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 15)
105,17/09/2023,1:12,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK E)
106,13/03/2022,17:18,DAMAGED PROPERTY,HALL,KENT VALE GUARDHOUSE
107,03/06/2023,18:09,LOST AND FOUND,PGP,KE VII HALL (COMMUNAL HALL)
108,03/03/2022,18:18,EMERGENCY INCIDENTS,UTown,UHALL CARPARK
109,26/04/2023,22:04,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 5)
110,17/08/2023,4:29,DAMAGED PROPERTY,BTC,18 EVANS BUNGALOW
111,08/05/2023,9:17,LOST AND FOUND,YIH,YUSOF ISHAK HOUSE
112,10/05/2022,0:10,EMERGENCY INCIDENTS,HALL,KENT RIDGE HALL (BLOCK C)
113,30/04/2023,6:17,DAMAGED PROPERTY,PGP,9 PGP BUNGALOW
114,17/02/2022,17:18,EMERGENCY INCIDENTS,FOS,DSO BUILDING
115,14/02/2023,15:44,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK C)
116,24/07/2022,10:45,DAMAGED PROPERTY,YIH,RAFFLES HALL (COMMUNAL HALL)
117,07/03/2022,23:51,DAMAGED PROPERTY,FOS,NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE
118,03/10/2023,3:19,LOST AND FOUND,FOS,LT 27 (LIM SENG TJOE LECTURE)
119,14/09/2022,21:10,DAMAGED PROPERTY,CDE,LECTURE THEATRE 4
120,17/12/2022,8:55,EMERGENCY INCIDENTS,FOS,CELS CARPARK
121,26/04/2022,1:30,EMERGENCY INCIDENTS,FASS,ARTS & SOCIAL SCIENCES BLOCK 6
122,22/10/2022,6:48,LOST AND FOUND,HALL,HOUSE 5
123,30/04/2023,12:46,SEXUAL INCIDENTS,FOS,SCIENCE BLOCK 1
124,09/01/2022,4:10,DAMAGED PROPERTY,BIZ,SHAW FOUNDATION ALUMNI HOUSE
125,26/10/2022,13:49,DAMAGED PROPERTY,UTown,COLLEGE OF A&P TAN -TOWER
126,24/12/2022,11:37,STOLEN ITEMS,UTown,ELECTRICAL SUB-STATION
127,10/05/2023,10:22,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 13
128,23/08/2022,23:38,DAMAGED PROPERTY,UCC,LKC NATURAL HISTORY MUSEUM
129,12/07/2023,17:26,DAMAGED PROPERTY,CDE,LECTURE THEATRE 4
130,18/08/2023,5:56,EMERGENCY INCIDENTS,HALL,SHEARES HALL (BLOCK D)
131,18/02/2023,12:17,DAMAGED PROPERTY,YIH,RIDGE VIEW RESIDENCE (BLOCK D)
132,15/10/2022,18:54,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 5
133,03/02/2022,6:52,DAMAGED PROPERTY,FOS,LECTURE THEATRE 31
134,23/06/2022,4:19,LOST AND FOUND,PGP,KE VII HALL (BLOCK H)
135,04/02/2023,3:11,STOLEN ITEMS,BTC,20 EVANS BUNGALOW
136,06/09/2022,4:40,LOST AND FOUND,BTC,16 EVANS BUNGALOW
137,04/08/2023,10:09,LOST AND FOUND,KR,SEA-TO-SPACE (18KR BUNGALOW)
138,11/04/2023,1:04,SEXUAL INCIDENTS,HALL,KENT RIDGE (COMMUNAL HALL)
139,26/07/2023,22:58,LOST AND FOUND,FOS,NUHS TOWER BLOCK
140,06/08/2022,5:29,EMERGENCY INCIDENTS,UTown,UTOWN RESIDENCE SOUTH-TOWER
141,24/03/2022,4:21,LOST AND FOUND,BTC,BTC-FEDERAL
142,15/12/2022,23:06,EMERGENCY INCIDENTS,YIH,UNIVERSITY SPORT CENTRE
143,17/03/2023,20:28,STOLEN ITEMS,YIH,RIDGE VIEW RESIDENCE (BLOCK E)
144,14/09/2023,9:55,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 7
145,22/08/2022,13:45,LOST AND FOUND,FOS,FOS-RICE SHED C-NEXT TO S3&S4
146,22/01/2022,7:24,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK I, 119"
147,03/03/2022,22:22,LOST AND FOUND,FOS,SCIENCE BLOCK 12
148,11/07/2023,1:54,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 3)
149,04/10/2023,22:48,LOST AND FOUND,UTown,EDUCATION RESOURCE CENTRE
150,05/01/2022,10:28,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK A)
151,18/02/2023,16:20,SEXUAL INCIDENTS,PGP,KE VII HALL (BLOCK C)
152,06/07/2023,11:21,DAMAGED PROPERTY,FASS,LECTURE THEATRE 12
153,17/12/2022,10:58,EMERGENCY INCIDENTS,CDE,DESIGN & ENVIRONMENT BLOCK 4
154,18/12/2022,2:49,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 36 (ALICE AND PETER TAN)
155,18/07/2023,1:31,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK E)
156,08/07/2023,7:23,DAMAGED PROPERTY,FOS,NUHS TOWER BLOCK
157,15/09/2022,6:18,LOST AND FOUND,UTown,SRC CARPARK
158,20/03/2023,5:12,DAMAGED PROPERTY,UTown,YALE SPORTS HALL
159,24/07/2023,8:52,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 27)
160,27/09/2023,22:56,LOST AND FOUND,CDE,ENGINEERING BLOCK 4A
161,03/05/2022,7:32,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK A,103"
162,05/04/2023,1:11,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 24)
163,07/09/2023,20:50,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 5)
164,14/10/2023,18:46,LOST AND FOUND,PGP,2 PGP BUNGALOW
165,21/05/2023,13:34,LOST AND FOUND,PGP,18 PGP BUNGALOW
166,21/06/2023,22:27,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 33
167,07/07/2022,15:12,DAMAGED PROPERTY,FOS,BRENNER CTR FOR MOLECULAR MED
168,20/06/2022,2:35,LOST AND FOUND,UTown,ELECTRICAL SUB-STATION
169,29/08/2022,16:53,LOST AND FOUND,FASS,LECTURE THEATRE 13
170,06/05/2022,14:09,LOST AND FOUND,CDE,ENGINEERING WORKSHOP 1
171,07/04/2022,5:26,LOST AND FOUND,CDE,CANTEEN 1 (TECHNO EDGE)
172,17/04/2023,0:19,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 3
173,11/07/2023,16:34,EMERGENCY INCIDENTS,UCC,BOOSTER PUMP HSE(NEXT LKCNHM)
174,03/04/2022,10:03,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK C)
175,22/06/2023,21:00,LOST AND FOUND,CDE,ENGINEERING WORKSHOP 1A
176,19/07/2023,11:58,DAMAGED PROPERTY,YIH,RAFFLES HALL (COMMUNAL HALL)
177,23/04/2023,16:36,STOLEN ITEMS,PGP,PGP RESIDENCES (BLOCK 22)
178,29/01/2023,19:44,DAMAGED PROPERTY,HALL,SHEARES HALL (BLOCK B)
179,09/03/2023,11:33,SEXUAL INCIDENTS,SOC,LECTURE THEATRE 14
180,18/01/2023,10:37,LOST AND FOUND,FOS,LECTURE THEATRE 36 (ALICE AND PETER TAN)
181,02/10/2022,20:39,STOLEN ITEMS,PGP,PGP RESIDENCES (BLOCK 14)
182,13/09/2022,20:48,EMERGENCY INCIDENTS,YIH,RAFFLES HALL (BLOCK C)
183,29/09/2023,19:17,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK G, 115"
184,14/09/2022,10:51,DAMAGED PROPERTY,UTown,UTOWN RESIDENCE SOUTH-TOWER
185,04/11/2022,16:50,STOLEN ITEMS,BTC,BTC-LOUNGE
186,17/05/2023,16:44,SEXUAL INCIDENTS,PGP,PGP RESIDENCES MPH
187,24/08/2022,3:58,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 28
188,21/10/2022,22:19,DAMAGED PROPERTY,SOC,LECTURE THEATRE 17
189,24/03/2022,9:21,LOST AND FOUND,CDE,ENGINEERING BLOCK 2A (EDIC)
190,04/05/2023,3:58,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 8
191,05/11/2022,2:30,LOST AND FOUND,UTown,CREATE (ENTERPRISE)
192,11/01/2022,17:02,LOST AND FOUND,KR,11 KR BUNGALOW
193,03/11/2022,2:22,DAMAGED PROPERTY,HALL,SHEARES HALL (BLOCK E)
194,09/10/2023,7:25,LOST AND FOUND,KR,1 KR BUNGALOW
195,19/09/2022,2:41,EMERGENCY INCIDENTS,FASS,LECTURE THEATRE 8
196,27/09/2023,12:21,DAMAGED PROPERTY,KR,12 KR BUNGALOW
197,07/02/2022,21:47,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK C, 111"
198,21/03/2023,16:43,STOLEN ITEMS,UTown,CREATE CARPARK
199,04/08/2022,1:22,LOST AND FOUND,YIH,NUS STAFF CLUB
200,31/08/2022,15:03,EMERGENCY INCIDENTS,CDE,TEMASEK LAB
201,27/03/2022,18:42,EMERGENCY INCIDENTS,UTown,CINNAMON COLLEGE -MPH
202,16/06/2023,14:34,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 4)
203,05/10/2023,6:50,DAMAGED PROPERTY,PGP,CRISP (NEAR KEVII HALL)
204,22/09/2023,20:13,DAMAGED PROPERTY,UTown,UTOWN RESIDENCE-NORTH TOWER
205,15/09/2022,13:10,LOST AND FOUND,FOS,MEDICINE BLOCK 7
206,29/03/2022,1:08,LOST AND FOUND,FOS,MEDICINE BLOCK 10
207,12/03/2022,2:19,LOST AND FOUND,UTown,YALE SCIENCE BLOCK
208,20/05/2023,4:14,DAMAGED PROPERTY,CDE,LECTURE THEATRE 2
209,26/04/2022,15:28,EMERGENCY INCIDENTS,YIH,RIDGE VIEW RESIDENCE (BLOCK G)
210,03/07/2023,6:40,EMERGENCY INCIDENTS,FASS,TMSI-ST JOHN'S ISLAND
211,21/03/2023,21:49,SEXUAL INCIDENTS,SOC,DATA-CENTRE-NUS HIGH SCHOOL
212,31/08/2022,19:10,EMERGENCY INCIDENTS,UTown,YALE FITNESS CENTER
213,26/07/2023,2:52,LOST AND FOUND,CDE,ENGINEERING BLOCK 5
214,20/01/2022,13:21,LOST AND FOUND,HALL,SHEARES HALL (BLOCK C)
215,11/10/2023,6:43,LOST AND FOUND,KV,"KENT VALE APT GERANIUM BLK, 101"
216,21/02/2022,12:11,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK D)
217,07/03/2023,7:49,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK C)
218,14/03/2022,14:36,LOST AND FOUND,PGP,KE VII HALL (BLOCK B)
219,24/05/2023,2:44,LOST AND FOUND,FOS,SCIENCE BLOCK 5
220,27/12/2022,11:42,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK E)
221,10/10/2022,5:25,EMERGENCY INCIDENTS,UTown,DINNING HALL (C&T COLLEGE)
222,06/04/2023,21:31,EMERGENCY INCIDENTS,BIZ,NUS SOCIETY-GUILD HOUSE
223,04/07/2023,2:50,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 33
224,03/07/2022,10:30,STOLEN ITEMS,UTown,YALE SCIENCE BLOCK
225,03/01/2023,7:12,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK D)
226,01/05/2023,1:43,LOST AND FOUND,UTown,TEMBUSU COLLEGE- MAIN BLK
227,23/12/2022,12:21,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 1A
228,15/03/2023,9:41,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK H, 117"
229,20/09/2023,12:53,EMERGENCY INCIDENTS,PGP,14 PGP BUNGALOW
230,02/08/2022,19:39,EMERGENCY INCIDENTS,FOS,MD BLK 6 (CTR FOR TRANS  MED)
231,13/06/2023,23:00,LOST AND FOUND,UTown,YALE RESIDENTIAL COLLEGE 1
232,19/03/2022,18:56,SEXUAL INCIDENTS,PGP,7 PGP BUNGALOW
233,11/08/2023,22:31,LOST AND FOUND,YIH,RIDGE VIEW RESIDENCE (BLOCK B)
234,31/05/2022,23:20,DAMAGED PROPERTY,CDE,LECTURE THEATRE 7A
235,13/02/2022,0:48,LOST AND FOUND,FOS,NUHS-MAIN BUILDING
236,29/09/2023,9:04,LOST AND FOUND,FOS,SCIENCE BLOCK 16
237,13/08/2023,16:11,STOLEN ITEMS,PGP,PGP RESIDENCES RESTAURANT
238,22/02/2022,3:38,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK E)
239,20/04/2023,1:34,LOST AND FOUND,UTown,YALE ADMINISTRATION BLOCK
240,06/05/2023,10:29,STOLEN ITEMS,SOC,I3
241,13/01/2022,18:41,STOLEN ITEMS,CDE,ENGINEERING BLOCK 8
242,21/01/2023,7:30,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 1A (LEE WEE KENG)
243,09/09/2022,22:39,EMERGENCY INCIDENTS,BTC,BTC-MANASSEH MEYER
244,31/01/2023,20:33,DAMAGED PROPERTY,HALL,KENT VALE GUARDHOUSE
245,28/09/2023,19:20,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 12)
246,16/03/2023,20:57,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 7)
247,12/08/2023,9:07,SEXUAL INCIDENTS,KR,11 KR BUNGALOW
248,17/04/2022,14:12,DAMAGED PROPERTY,FOS,NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE
249,25/07/2023,15:02,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 21
250,24/04/2023,16:15,LOST AND FOUND,CDE,ENGINEERING BLOCK 5
251,04/04/2022,13:32,STOLEN ITEMS,SOC,LECTURE THEATRE 19
252,11/08/2022,0:19,LOST AND FOUND,CDE,ENGINEERING BLOCK 2A (EDIC)
253,07/09/2023,23:37,DAMAGED PROPERTY,PGP,TECH CTR FOR OFFSHORE & MARINE
254,16/03/2023,22:14,SEXUAL INCIDENTS,PGP,PGPR CARPARK
255,21/10/2023,15:36,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 2
256,28/06/2023,11:05,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 14)
257,07/09/2022,19:58,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 23)
258,12/03/2022,21:23,LOST AND FOUND,PGP,14A PGP BUNGALOW
259,14/02/2022,16:17,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 16)
260,20/07/2023,6:01,DAMAGED PROPERTY,CDE,EL SERVICE RESERVOIRS 1&2
261,29/06/2022,8:15,LOST AND FOUND,FOS,SCIENCE BLOCK 7
262,03/07/2022,21:34,LOST AND FOUND,KR,12 KR BUNGALOW
263,12/05/2022,20:10,LOST AND FOUND,HALL,KENT RIDGE (COMMUNAL HALL)
264,15/06/2023,11:55,DAMAGED PROPERTY,PGP,KE VII HALL (COMMUNAL HALL)
265,12/02/2022,14:49,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 25)
266,15/08/2023,9:58,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 5)
267,09/04/2023,5:25,DAMAGED PROPERTY,BTC,16 EVANS BUNGALOW
268,14/07/2023,1:23,LOST AND FOUND,CDE,LECTURE THEATRE 3
269,07/06/2023,9:21,DAMAGED PROPERTY,FOS,FOS-RICE SHED C-NEXT TO S3&S4
270,13/04/2022,13:30,DAMAGED PROPERTY,UTown,RESIDENT COLLEGE 4 -MPH
271,27/08/2022,19:27,DAMAGED PROPERTY,BTC,BTC-EU TONG SEN
272,18/02/2023,5:57,DAMAGED PROPERTY,UTown,STEPHEN RIADY CENTRE
273,19/10/2022,1:04,DAMAGED PROPERTY,KR,12 KR BUNGALOW
274,25/04/2023,23:15,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 15)
275,13/09/2023,15:35,EMERGENCY INCIDENTS,KR,9 KR BUNGALOW
276,06/04/2023,3:22,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK D, 113"
277,17/09/2022,8:13,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 4
278,16/01/2023,23:25,DAMAGED PROPERTY,UTown,RESIDENT COLLEGE 4
279,17/04/2023,16:11,LOST AND FOUND,PGP,5 PGP BUNGALOW
280,28/06/2022,13:53,DAMAGED PROPERTY,PGP,14 PGP BUNGALOW
281,20/08/2023,2:02,DAMAGED PROPERTY,CDE,DESIGN & ENVIRONMENT BLOCK 2
282,10/02/2022,18:49,EMERGENCY INCIDENTS,SOC,DATA-CENTRE-NUS HIGH SCHOOL
283,18/07/2022,7:11,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK D, 113"
284,14/11/2022,22:38,STOLEN ITEMS,PGP,PGP RESIDENCES RESTAURANT
285,18/12/2022,8:31,DAMAGED PROPERTY,HALL,HOUSE 5 ANNEX
286,26/02/2022,20:09,STOLEN ITEMS,CDE,ENGINEERING BLOCK 1
287,01/01/2022,23:48,STOLEN ITEMS,FOS,LECTURE THEATRE 32
288,22/05/2022,1:00,LOST AND FOUND,BTC,BTC-CAFE
289,06/06/2023,18:50,LOST AND FOUND,FASS,LECTURE THEATRE 13
290,15/07/2023,5:33,STOLEN ITEMS,UTown,CINNAMON COLLEGE -MAIN BLK
291,03/03/2022,15:16,EMERGENCY INCIDENTS,HALL,TEMASEK HALL (BLOCK E)
292,07/10/2023,4:08,DAMAGED PROPERTY,BTC,BTC-BLOCK B
293,30/05/2023,13:23,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 2
294,18/10/2023,8:54,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 8)
295,19/07/2022,1:13,STOLEN ITEMS,UTown,COLLEGE OF A&P TAN -MPH
296,22/04/2023,14:37,LOST AND FOUND,UTown,DINING HALL (RC4 & CAPT)
297,27/03/2023,5:42,EMERGENCY INCIDENTS,BTC,16 EVANS BUNGALOW
298,19/03/2023,1:21,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK B, 105"
299,01/03/2022,9:59,SEXUAL INCIDENTS,FOS,CELS CARPARK
