,Unnamed: 0,Classification,Disposition,datetime,time period,Year,DayOfYear,Month,DayOfWeek,time_period,Location,Building
40,40,Fraud,Open Investigation,2019-03-23 19:15:00,weekend,2019,82,3,5,weekend,YIH,CREATE (RESEARCH)
41,41,Shoplifting,Closed,2019-04-08 19:16:00,day_weekday,2019,98,4,0,day_weekday,KV,CANTEEN 4 (FRONTIER)
42,42,Trespassing,Unfounded,2019-09-03 01:23:00,day_weekday,2019,246,9,1,day_weekday,HALL,ENGINEERING BLOCK 3
43,43,Theft, Arrest,2019-05-23 07:33:00,day_weekday,2019,143,5,3,day_weekday,SOC,PGP RESIDENCES (BLOCK 20)
44,44,Theft,Open Investigation,2019-04-02 16:30:00,day_weekday,2019,92,4,1,day_weekday,HALL,NUS ENTERPRISE-JTC BLK71
45,45,Disorderly Conduct,Open Investigation,2019-10-21 07:09:00,day_weekday,2019,294,10,0,day_weekday,COM,CENTRAL STORAGE LIBRARY ANNEX
46,46,Trespassing,Open Investigation,2019-09-19 04:30:00,day_weekday,2019,262,9,3,day_weekday,CDE,PGP RESIDENCES (BLOCK 6)
47,47,Harassment: Fraud,Closed,2019-06-12 11:22:00,day_weekday,2019,163,6,2,day_weekday,PGP,INNOVATION 4.0
48,48,Trespass,Closed,2019-01-07 22:13:00,day_weekday,2019,7,1,0,day_weekday,UCC,KE VII HALL (BLOCK A)
49,49,Attempted Trespass 2,Open Investigation,2019-03-12 12:03:00,day_weekday,2019,71,3,1,day_weekday,UTown,UTOWN RESIDENCE SOUTH-TOWER
50,50,Theft,Open Investigation,2019-11-21 07:34:00,day_weekday,2019,325,11,3,day_weekday,PGP,CENTRAL LIBRARY
51,51,Theft, Open Investigation,2019-03-15 23:29:00,day_weekday,2019,74,3,4,day_weekday,PGP,RIDGE VIEW RESIDENCE (BLOCK B)
52,52,Trespassing,Arrest,2019-03-01 22:03:00,day_weekday,2019,60,3,4,day_weekday,PGP,ENGINEERING BLOCK 1
53,53,Theft,Open Investigation,2019-01-15 10:37:00,day_weekday,2019,15,1,1,day_weekday,KV,STORE 2 (NEAR KEVII HALL)
54,54,Fraud,Open Investigation,2019-07-12 19:55:00,day_weekday,2019,193,7,4,day_weekday,SOC,ENGINEERING WORKSHOP 1A
55,55,Harassment,Arrest,2019-01-24 01:57:00,day_weekday,2019,24,1,3,day_weekday,DNMS,KE VII HALL (BLOCK H)
56,56,Criminal Mischief,Arrest,2019-01-25 09:17:00,day_weekday,2019,25,1,4,day_weekday,KV,ARTS & SOCIAL SCIENCES BLOCK 6
57,57,False Public Alarm,Open Investigation,2018-09-29 16:30:00,weekend,2018,272,9,5,weekend,PGP,LECTURE THEATRE 4
58,58,Harassment: Bias Incident, Open Investigation,2019-04-04 17:32:00,day_weekday,2019,94,4,3,day_weekday,PGP,BTC-CJ KOH LIBRARY
59,59,Theft,Open Investigation,2019-12-01 09:34:00,weekend,2019,335,12,6,weekend,HALL,PGP RESIDENCES MPH
60,60,Assault,Unfounded,2019-11-11 12:54:00,day_weekday,2019,315,11,0,day_weekday,SOC,CINNAMON LEARN LOBE
61,61,Criminal Mischief,unfounded,2019-04-26 15:06:00,day_weekday,2019,116,4,4,day_weekday,CDE,PGP RESIDENCES (BLOCK 13)
62,62,Shoplifting,Open Investigation,2019-01-12 14:32:00,weekend,2019,12,1,5,weekend,FOS,RIDGE VIEW RESIDENCE (BLOCK D)
63,63,Assault: Domestic Violence,,2018-09-05 16:20:00,day_weekday,2018,248,9,2,day_weekday,UCC,RIDGE VIEW RESIDENCE (BLOCK E)
64,64,Trespassing,Open Investigation,2019-03-04 13:30:00,day_weekday,2019,63,3,0,day_weekday,FOS,LECTURE THEATRE 6
65,65,Attempted Fraud,Judicial Referral,2019-03-10 07:58:00,weekend,2019,69,3,6,weekend,KV,KE VII HALL (BLOCK A)
66,66,Domestic Violence: Harassment,Open Investigation,2019-11-11 17:09:00,day_weekday,2019,315,11,0,day_weekday,HALL,SCIENCE BLOCK 6
67,67,Bias Intimidation,Open Investigation,2019-04-19 05:05:00,day_weekday,2019,109,4,4,day_weekday,KV,RAFFLES HALL (COMMUNAL HALL)
68,68,Shoplifting, Closed,2019-06-19 13:37:00,day_weekday,2019,170,6,2,day_weekday,YIH,4 KR BUNGALOW
69,69,Extortion,Open Investigation,2019-04-06 17:05:00,weekend,2019,96,4,5,weekend,SOC,"KENT VALE APARTMENT BLK F, 107"
70,70,Fraud, Open Investigation,2018-10-14 03:48:00,weekend,2018,287,10,6,weekend,HALL,RESIDENT COLLEGE 4 -MPH
71,71,Trespassing,Unfounded,2019-06-15 03:16:00,weekend,2019,166,6,5,weekend,PGP,DESIGN & ENVIRONMENT BLOCK 2
72,72,Theft,Open Investigation,2018-12-27 09:41:00,day_weekday,2018,361,12,3,day_weekday,CDE,RIDGE VIEW RESIDENCE (BLOCK A)
73,73,Fraud,Open Investigation,2019-01-10 01:20:00,day_weekday,2019,10,1,3,day_weekday,UTown,KE VII HALL (COMMUNAL HALL)
74,74,Burglary,Open Investigation,2019-04-05 17:06:00,day_weekday,2019,95,4,4,day_weekday,UTown,20 EVANS BUNGALOW
75,75,Trespassing,Open Investigation,2019-10-15 20:34:00,day_weekday,2019,288,10,1,day_weekday,KR,ARTS & SOCIAL SCIENCES BLOCK 3
76,76,Theft: Bias Incident,Open Investigation,2018-10-07 09:10:00,weekend,2018,280,10,6,weekend,BTC,SHEARES HALL (COMMUNAL HALL)
77,77,Harassment,Open Investigation,2019-07-22 22:23:00,day_weekday,2019,203,7,0,day_weekday,BTC,YALE RESIDENTIAL COLLEGE 2
78,78,Harassment: Fraud,Unfounded,2018-12-17 16:09:00,day_weekday,2018,351,12,0,day_weekday,YIH,DISTRICT COOLING PLANT
79,79,Theft,Open Investigation,2019-01-01 21:34:00,day_weekday,2019,1,1,1,day_weekday,UTown,BOOSTER PUMP HSE(NEXT LKCNHM)
80,80,Trespass,Open Investigation,2018-12-29 19:00:00,weekend,2018,363,12,5,weekend,PGP,RAFFLES HALL (EXTENSION TO BLOCK B &D)
81,81,Trespass,Closed,2019-08-14 02:36:00,day_weekday,2019,226,8,2,day_weekday,FOS,PGP RESIDENCES (BLOCK 17)
82,82,Criminal Mischief,Unfounded,2019-05-05 02:53:00,weekend,2019,125,5,6,weekend,HALL,CREATE CARPARK
83,83,Defiant Trespass,Arrest,2019-04-06 20:38:00,weekend,2019,96,4,5,weekend,HALL,SHEARES HALL (BLOCK C)
84,84,Terroristic Threats,Open Investigation,2019-02-15 05:52:00,day_weekday,2019,46,2,4,day_weekday,UTown,SCIENCE BLOCK 8
85,85,Trespassing, Closed,2019-05-02 00:13:00,day_weekday,2019,122,5,3,day_weekday,PGP,COMPUTING BLOCK 2
86,86,Trespassing,Open Investigation,2018-12-20 14:22:00,day_weekday,2018,354,12,3,day_weekday,CDE,BTC-MOOT COURT
87,87,Theft,Open Investigation,2019-08-19 02:53:00,day_weekday,2019,231,8,0,day_weekday,PGP,5 KR BUNGALOW
88,88,Theft,Unfounded,2019-01-23 08:37:00,day_weekday,2019,23,1,2,day_weekday,FOS,BTC-CAFE
89,89,Theft: Criminal Mischief,Closed,2019-08-23 00:22:00,day_weekday,2019,235,8,4,day_weekday,FOS,ENGINEERING BLOCK 1
90,90,Shoplifting,Open Investigation,2019-09-15 15:19:00,weekend,2019,258,9,6,weekend,PGP,HOUSE 5
91,91,Criminal Mischief,Judicial Referral,2019-10-08 12:49:00,day_weekday,2019,281,10,1,day_weekday,KR,CANTEEN 4 (FRONTIER)
92,92,Criminal Mischief,Open Investigation,2019-02-14 06:14:00,day_weekday,2019,45,2,3,day_weekday,UCC,BTC-LI KA SHING BUILDING
93,93,Harassment: Bias Incident,Open Investigation,2019-07-08 10:49:00,day_weekday,2019,189,7,0,day_weekday,PGP,INFORMATION TECHNOLOGY
94,94,Theft,,2019-11-04 08:57:00,day_weekday,2019,308,11,0,day_weekday,UTown,"KENT VALE APARTMENT BLK D, 113"
95,95,Theft,Open Investigation,2019-03-22 06:43:00,day_weekday,2019,81,3,4,day_weekday,KR,LECTURE THEATRE 4
96,96,Harassment,Open Investigation,2019-10-10 07:50:00,day_weekday,2019,283,10,3,day_weekday,CDE,LECTURE THEATRE 26
97,97,Theft,Open Investigation,2019-08-11 10:56:00,weekend,2019,223,8,6,weekend,PGP,EUSOFF HALL (COMMUNAL HALL)
98,98,Fraud,Open Investigation,2019-03-19 06:32:00,day_weekday,2019,78,3,1,day_weekday,FOS,RAFFLES HALL (BLOCK B)
99,99,Trespassing,Open Investigation,2019-04-26 04:34:00,day_weekday,2019,116,4,4,day_weekday,CDE,PGP RESIDENCES (BLOCK 27)
100,100,Theft,Open Investigation,2019-08-31 06:58:00,weekend,2019,243,8,5,weekend,COM,LECTURE THEATRE 7A
101,101,Shoplifting,Open Investigation,2019-06-03 08:39:00,day_weekday,2019,154,6,0,day_weekday,CDE,LECTURE THEATRE 20
102,102,Burglary, Arrest,2019-06-16 14:50:00,weekend,2019,167,6,6,weekend,FASS,NUS ENTERPRISE-JTC BLK71
103,103,Trespass,Open Investigation,2019-10-03 02:12:00,day_weekday,2019,276,10,3,day_weekday,FOS,PGP RESIDENCES (BLOCK 1)
104,104,Theft: Criminal Mischief,Open Investigation,2019-09-04 18:58:00,day_weekday,2019,247,9,2,day_weekday,FOS,"KENT VALE APARTMENT BLK F, 107"
105,105,Trespassing, Closed,2019-04-01 16:31:00,day_weekday,2019,91,4,0,day_weekday,CDE,EDUCATION RESOURCE CENTRE
106,106,Shoplifting,Open Investigation,2018-12-01 19:05:00,weekend,2018,335,12,5,weekend,YIH,LECTURE THEATRE 3
107,107,Trespass,Closed,2019-06-03 08:19:00,day_weekday,2019,154,6,0,day_weekday,YIH,"KENT VALE APARTMENT BLK G, 115"
108,108,Defiant Trespass: Aggravated Assault,Arrest,2019-09-19 08:53:00,day_weekday,2019,262,9,3,day_weekday,FOS,NUS ENTERPRISE-JTC BLK71
109,109,Shoplifting ,Judicial Referral,2019-08-23 02:28:00,day_weekday,2019,235,8,4,day_weekday,KR,PGP RESIDENCES (BLOCK 23)
110,110,Trespass, Closed,2019-07-02 20:35:00,day_weekday,2019,183,7,1,day_weekday,PGP,SPORE POWER GRID-CON SWITCH RM
111,111,Shoplifting,Arrest,2019-04-28 22:28:00,weekend,2019,118,4,6,weekend,FOS,17 PGP BUNGALOW
112,112,Terroristic Threats,Open Investigation,2019-10-08 17:41:00,day_weekday,2019,281,10,1,day_weekday,UTown,"KENT VALE APARTMENT BLK G, 115"
113,113,Shoplifting,Open Investigation,2019-06-15 02:51:00,weekend,2019,166,6,5,weekend,KV,T-LAB CARPARK
114,114,Theft,Open Investigation,2018-11-29 13:42:00,day_weekday,2018,333,11,3,day_weekday,PGP,CREATE (RESEARCH)
115,115,Theft,Open Investigation,2018-12-12 17:50:00,day_weekday,2018,346,12,2,day_weekday,PGP,BOOSTER PUMP HSE(NEXT LKCNHM)
116,116,Harassment,Open Investigation,2018-09-27 10:57:00,day_weekday,2018,270,9,3,day_weekday,CDE,YUSOF ISHAK HOUSE
117,117,Shoplifting,Open Investigation,2019-04-18 21:15:00,day_weekday,2019,108,4,3,day_weekday,SOC,4 PGP BUNGALOW
118,118,Attempted Extortion, Open Investigation,2018-09-07 18:06:00,day_weekday,2018,250,9,4,day_weekday,FOS,PGP RESIDENCES (BLOCK 10)
119,119,Harassment,Open Investigation,2018-11-26 08:09:00,day_weekday,2018,330,11,0,day_weekday,PGP,ENGINEERING BLOCK 2A (EDIC)
120,120,Theft,Open Investigation,2019-01-21 11:30:00,day_weekday,2019,21,1,0,day_weekday,FOS,YALE FITNESS CENTER
121,121,Theft,Open Investigation,2019-03-27 12:19:00,day_weekday,2019,86,3,2,day_weekday,BTC,MEDICINE BLOCK 4
122,122,Trespassing,Open Investigation,2019-09-03 04:28:00,day_weekday,2019,246,9,1,day_weekday,CDE,LECTURE THEATRE 4
123,123,Criminal Mischief,Open Investigation,2019-01-17 13:30:00,day_weekday,2019,17,1,3,day_weekday,UCC,SUB-STATION 3 (NEAR S13)
124,124,Theft,Open Investigation,2019-05-30 19:56:00,day_weekday,2019,150,5,3,day_weekday,PGP,SEA-TO-SPACE (18KR BUNGALOW)
125,125,Rape,Arrest,2018-11-09 10:08:00,day_weekday,2018,313,11,4,day_weekday,PGP,LECTURE THEATRE 36 (ALICE AND PETER TAN)
126,126,Theft,Open Investigation,2019-03-15 01:18:00,day_weekday,2019,74,3,4,day_weekday,YIH,DECOM SUB-STATION 1 (NEAR LKCNHM)
127,127,Trespassing,Arrest,2019-10-18 01:30:00,day_weekday,2019,291,10,4,day_weekday,FOS,PGP RESIDENCES (BLOCK 7)
128,128,Theft,Open Investigation,2019-10-30 16:38:00,day_weekday,2019,303,10,2,day_weekday,PGP,8 PGP BUNGALOW
129,129,Harassment: Domestic Violence,Open Investigation,2018-11-03 05:45:00,weekend,2018,307,11,5,weekend,KV,KUOK FOUNDATION HOUSE
130,130,Harassment,Arrest,2018-11-09 11:38:00,day_weekday,2018,313,11,4,day_weekday,FOS,INSTITUTE OF SYSTEMS SCIENCE
131,131,Theft,Open Investigation,2018-11-23 16:36:00,day_weekday,2018,327,11,4,day_weekday,YIH,SEA-TO-SPACE (18KR BUNGALOW)
132,132,Theft, Closed,2018-12-07 23:53:00,day_weekday,2018,341,12,4,day_weekday,KV,FOS-RICE SHED C-NEXT TO S3&S4
133,133,Shoplifting,Arrest,2019-09-12 17:38:00,day_weekday,2019,255,9,3,day_weekday,CDE,EUSOFF HALL (BLOCK E)
134,134,Trespass,Open Investigation,2019-02-22 22:38:00,day_weekday,2019,53,2,4,day_weekday,HALL,ARTS & SOCIAL SCIENCES BLOCK 8
135,135,Criminal Mischief,Arrest,2019-06-08 11:59:00,weekend,2019,159,6,5,weekend,YIH,KE VII HALL (COMMUNAL HALL)
136,136,False Public Alarm,Closed,2018-12-11 03:55:00,day_weekday,2018,345,12,1,day_weekday,YIH,BIZ1 CARPARK
137,137,Criminal Mischief,Arrest,2019-08-14 18:56:00,day_weekday,2019,226,8,2,day_weekday,FOS,"KENT VALE APARTMENT BLK F, 107"
138,138,Theft,Open Investigation,2018-11-23 08:05:00,day_weekday,2018,327,11,4,day_weekday,UCC,PGPR CARPARK
139,139,Trespassing,Closed,2019-03-10 01:45:00,weekend,2019,69,3,6,weekend,BTC,1 KR BUNGALOW
140,140,Harassment,Arrest,2018-10-13 06:49:00,weekend,2018,286,10,5,weekend,KR,ENGINEERING BLOCK 3
141,141,Lewdness,unfounded,2019-05-30 21:41:00,day_weekday,2019,150,5,3,day_weekday,SOC,LECTURE THEATRE 32
142,142,Theft,Closed,2019-03-18 22:21:00,day_weekday,2019,77,3,0,day_weekday,FASS,ENGINEERING WORKSHOP 1
143,143,Harassment,Open Investigation,2018-10-10 17:13:00,day_weekday,2018,283,10,2,day_weekday,CDE,PGP RESIDENCES (BLOCK 25)
144,144,Theft,Arrest,2019-04-22 04:43:00,day_weekday,2019,112,4,0,day_weekday,UTown,LECTURE THEATRE 28
145,145,Burglary, Closed,2019-04-29 00:05:00,day_weekday,2019,119,4,0,day_weekday,FASS,MEDICINE BLOCK 3
146,146,Shoplifting,Open Investigation,2019-05-16 11:12:00,day_weekday,2019,136,5,3,day_weekday,YIH,2 PGP BUNGALOW
147,147,Trespassing,Arrest,2019-01-28 17:19:00,day_weekday,2019,28,1,0,day_weekday,FOS,SCIENCE BLOCK 6
148,148,Theft,Arrest,2019-10-25 04:16:00,day_weekday,2019,298,10,4,day_weekday,CDE,CREATE (INNOVATION)
149,149,Theft,Open Investigation,2019-05-02 01:22:00,day_weekday,2019,122,5,3,day_weekday,KV,SHEARS HALL/KENT RIDGE HALL SHARED SPACE
150,150,Trespass,Closed,2019-07-22 00:21:00,day_weekday,2019,203,7,0,day_weekday,UTown,PGP RESIDENCES (BLOCK 27)
151,151,Trespassing,Closed,2019-02-24 21:11:00,weekend,2019,55,2,6,weekend,PGP,PGP RESIDENCES (BLOCK 26)
152,152,Extortion,Open Investigation,2019-02-08 09:48:00,day_weekday,2019,39,2,4,day_weekday,BTC,"KENT VALE APARTMENT BLK D, 113"
153,153,Criminal Mischief,Open Investigation,2019-04-16 07:14:00,day_weekday,2019,106,4,1,day_weekday,PGP,PGP RESIDENCES (BLOCK 5)
154,154,Harassment: Bias Incident,Open Investigation,2019-02-04 05:04:00,day_weekday,2019,35,2,0,day_weekday,FOS,SEA-TO-SPACE (18KR BUNGALOW)
155,155,Shoplifting,Arrest,2019-02-01 04:37:00,day_weekday,2019,32,2,4,day_weekday,YIH,PGP RESIDENCES (BLOCK 11)
156,156,Harassment: Bias Incident,Closed,2018-12-20 07:38:00,day_weekday,2018,354,12,3,day_weekday,CDE,DINNING HALL (C&T COLLEGE)
157,157,Shoplifting,Arrest,2018-10-02 21:14:00,day_weekday,2018,275,10,1,day_weekday,FOS,KE VII HALL (BLOCK E)
158,158,Trespass,Judicial Referral,2019-04-11 10:58:00,day_weekday,2019,101,4,3,day_weekday,PGP,SCIENCE BLOCK 13
159,159,Attempted Fraud,Closed,2019-06-30 13:24:00,weekend,2019,181,6,6,weekend,PGP,PGP RESIDENCES LECTURE THEATRE
160,160,Trespassing,Unfounded,2018-08-25 00:54:00,weekend,2018,237,8,5,weekend,FOS,TEMASEK HALL (BLOCK B)
161,161,Liquor Law Violation,Open Investigation,2019-04-07 06:47:00,weekend,2019,97,4,6,weekend,PGP,"KENT VALE APARTMENT BLK E, 109"
162,162,Fraud,Open Investigation,2018-12-07 13:10:00,day_weekday,2018,341,12,4,day_weekday,CDE,"KENT VALE APARTMENT BLK H, 117"
163,163,Rape,Arrest,2019-07-23 17:41:00,day_weekday,2019,204,7,1,day_weekday,PGP,PGP RESIDENCES (BLOCK 19)
164,164,Trespassing,Open Investigation,2019-05-10 19:42:00,day_weekday,2019,130,5,4,day_weekday,CDE,CREATE (RESEARCH)
165,165,Theft,Open Investigation,2018-12-30 10:38:00,weekend,2018,364,12,6,weekend,PGP,KENT RIDGE HALL (BLOCK C)
166,166,Trespassing,Arrest,2019-04-17 19:42:00,day_weekday,2019,107,4,2,day_weekday,UTown,PGP RESIDENCES (BLOCK 22)
167,167,Identity Theft,Open Investigation,2019-08-22 16:53:00,day_weekday,2019,234,8,3,day_weekday,FOS,PGP RESIDENCES (BLOCK 27)
168,168,Theft,Arrest,2019-03-14 14:06:00,day_weekday,2019,73,3,3,day_weekday,YIH,LECTURE THEATRE 18
169,169,Trespassing,Arrest,2018-12-16 08:12:00,weekend,2018,350,12,6,weekend,PGP,RESIDENT COLLEGE 4
170,170,Criminal Mischief,Open Investigation,2019-12-10 19:53:00,day_weekday,2019,344,12,1,day_weekday,YIH,RAFFLES HALL (EXTENSION TO BLOCK B &D)
171,171,Theft,Open Investigation,2019-07-10 10:06:00,day_weekday,2019,191,7,2,day_weekday,PGP,SCIENCE BLOCK 6
172,172,Trespassing,Arrest,2019-09-09 02:54:00,day_weekday,2019,252,9,0,day_weekday,YIH,INNOVATION 4.0
173,173,Theft,Open Investigation,2019-08-22 18:11:00,day_weekday,2019,234,8,3,day_weekday,UTown,YALE SCIENCE BLOCK
174,174,Possession of Burglary Tools 2,Open Investigation,2018-08-07 04:58:00,day_weekday,2018,219,8,1,day_weekday,CDE,INNOVATION 4.0
175,175,Burglary,,2018-11-23 10:09:00,day_weekday,2018,327,11,4,day_weekday,UTown,SCIENCE BLOCK 17
176,176,Theft: Criminal Mischief,Open Investigation,2019-01-15 09:24:00,day_weekday,2019,15,1,1,day_weekday,PGP,PGP RESIDENCES (BLOCK 28)
177,177,Trespass,Open Investigation,2019-03-15 14:32:00,day_weekday,2019,74,3,4,day_weekday,FOS,KENT RIDGE HALL (BLOCK A)
178,178,Theft, Closed,2019-09-16 09:03:00,day_weekday,2019,259,9,0,day_weekday,FOS,BTC- MULTIPURPOSE AUDITORIUM
179,179,Theft,Open Investigation,2018-11-23 20:38:00,day_weekday,2018,327,11,4,day_weekday,SOC,"KENT VALE APARTMENT BLK C, 111"
180,180,False Public Alarm,Open Investigation,2019-10-07 00:22:00,day_weekday,2019,280,10,0,day_weekday,CDE,PGP RESIDENCES (BLOCK 15)
181,181,False Public Alarm,Open Investigation,2019-07-26 05:07:00,day_weekday,2019,207,7,4,day_weekday,FOS,CREATE (INNOVATION)
182,182,False Public Alarm,Open Investigation,2019-02-22 01:45:00,day_weekday,2019,53,2,4,day_weekday,PGP,BTC-CJ KOH LIBRARY
183,183,Theft,Open Investigation,2018-09-20 17:24:00,day_weekday,2018,263,9,3,day_weekday,HALL,BTC-LI KA SHING BUILDING
184,184,Attempted Extortion,Arrest,2019-01-11 23:28:00,day_weekday,2019,11,1,4,day_weekday,KR,DECOM SUB-STATION 1 (NEAR LKCNHM)
185,185,Harassment: Fraud,Arrest,2019-08-20 15:50:00,day_weekday,2019,232,8,1,day_weekday,UTown,BUSINESS BLOCK 2
186,186,Trespass,Closed,2019-09-17 00:09:00,day_weekday,2019,260,9,1,day_weekday,UTown,ENGINEERING BLOCK 4
187,187,Trespassing,Arrest,2019-09-07 10:04:00,weekend,2019,250,9,5,weekend,PGP,YALE RESIDENTIAL COLLEGE 2
188,188,Identity Theft,Closed,2019-06-10 10:40:00,day_weekday,2019,161,6,0,day_weekday,YIH,KE VII HALL (BLOCK E)
189,189,Shoplifting,Open Investigation,2019-09-15 21:39:00,weekend,2019,258,9,6,weekend,YIH,BTC- MULTIPURPOSE AUDITORIUM
190,190,Fraud,Open Investigation,2019-10-27 14:13:00,weekend,2019,300,10,6,weekend,YIH,TEMASEK HALL (BLOCK C)
191,191,Harassment: Fraud,Open Investigation,2019-09-13 07:36:00,day_weekday,2019,256,9,4,day_weekday,UCC,HON SUI SEN MEMORIAL LIBRARY
192,192,Harassment, Open Investigation,2018-12-09 22:05:00,weekend,2018,343,12,6,weekend,OTH,RAFFLES HALL (BLOCK E)
