,Classification,Disposition,datetime
52,Theft: Bias Incident,Open Investigation,03/17/2023 09:58
53,Fraud,Open Investigation,04/16/2023 19:49
54,Fraud, Arrest,12/19/2022 07:43
55,False Public Alarm,Open Investigation,02/02/2023 14:06
56,Harassment,Open Investigation,10/27/2022 17:11
57,Shoplifting,Arrest,02/12/2023 06:49
58,Attempted Theft,Open Investigation,01/11/2023 20:56
59,Theft,Open Investigation,11/27/2022 18:22
60,Attempted Trespass 2,Open Investigation,02/09/2023 01:07
61,Trespassing,Open Investigation,11/03/2023 06:27
62,Trespassing,Unfounded,09/15/2022 04:17
63,Theft,Open Investigation,03/28/2023 20:03
64,Stalking,Open Investigation,12/10/2022 07:15
65,Shoplifting ,Open Investigation,04/28/2023 16:28
66,Shoplifting,Arrest,02/07/2023 19:14
67,Harassment,,11/23/2022 09:12
68,Theft,Open Investigation,09/16/2023 20:56
69,Trespassing,Unfounded,07/26/2023 04:27
70,Criminal Mischief,Open Investigation,05/15/2023 22:52
71,Defiant Trespass,Judicial Referral,04/22/2023 15:08
72,Hindering Possession of Burglary Tools, Open Investigation,03/05/2023 00:44
73,Trespass,Open Investigation,05/25/2023 03:03
74,Theft,Open Investigation,01/20/2023 21:13
75,Assault,Arrest,06/07/2023 04:03
76,Trespassing,Arrest,12/13/2022 16:45
77,Disorderly Conduct,Open Investigation,01/14/2023 16:53
78,Trespassing,Unfounded,12/12/2022 21:43
79,Theft,Judicial Referral,06/15/2023 07:10
80,Theft,Open Investigation,03/03/2023 09:38
81,Lewdness,Unfounded,01/22/2023 17:01
82,Trespassing,Open Investigation,06/07/2023 16:43
83,Hindering Possession of Burglary Tools,Open Investigation,10/25/2023 01:43
84,Trespassing,Closed,10/06/2023 03:46
85,Theft,Open Investigation,09/18/2023 22:33
86,Criminal Mischief,Open Investigation,10/17/2023 10:01
87,Shoplifting,Arrest,10/25/2022 10:58
88,Theft,Open Investigation,03/24/2023 07:01
89,Harassment: Trespassing,Open Investigation,10/20/2022 13:31
90,Shoplifting,Open Investigation,05/31/2023 12:53
91,Burglary,Unfounded,07/11/2023 05:02
92,Harassment: Bias Incident,Open Investigation,09/14/2023 11:23
93,Theft: Criminal Mischief,Arrest,05/22/2023 11:33
94,Assault,Unfounded,02/25/2023 19:27
95,Attempted Extortion,unfounded,06/17/2023 21:05
96,Trespassing,unfounded,11/23/2023 15:17
97,Bias Intimidation,Open Investigation,07/09/2023 03:13
98,Theft,Open Investigation,03/08/2023 23:54
99,Assault,Open Investigation,07/05/2023 06:34
100,Service of Warrant,Open Investigation,02/09/2023 06:04
101,Theft,Closed,11/03/2023 16:39
102,Theft,Open Investigation,04/05/2023 10:45
103,Harassment: Domestic Violence,Open Investigation,12/26/2022 15:53
104,Harassment,Closed,12/25/2022 03:25
105,Trespass,Open Investigation,09/22/2022 23:48
106,Theft: Bias Incident,Open Investigation,09/12/2023 23:12
107,Harassment: Bias Incident,Closed,07/19/2023 09:37
108,Shoplifting, Open Investigation,02/04/2023 12:32
109,Shoplifting,Open Investigation,06/16/2023 04:22
110,Shoplifting,Closed,12/07/2022 09:28
111,Trespass,Open Investigation,10/06/2022 21:29
112,Shoplifting,Unfounded,09/26/2022 15:06
113,Harassment,Open Investigation,02/22/2023 20:02
114,Burglary,Judicial Referral,11/18/2022 07:51
115,Theft,Arrest,11/16/2022 14:26
116,Criminal Mischief,Unfounded,07/25/2023 02:36
117,Harassment,Open Investigation,01/15/2023 08:46
118,Criminal Mischief,Open Investigation,07/09/2023 20:06
119,Fraud,Open Investigation,03/25/2023 06:30
120,Attempted Trespass 2,Judicial Referral,02/24/2023 04:17
121,False Public Alarm,Open Investigation,10/20/2022 00:25
122,Extortion,Unfounded,05/01/2023 05:03
123,Criminal Mischief,Open Investigation,11/15/2023 17:51
124,False Public Alarm,Arrest,10/12/2022 23:02
125,Trespass,Arrest,11/11/2022 10:35
126,Criminal Mischief,Open Investigation,08/27/2022 00:50
127,Trespassing,Arrest,10/30/2022 08:33
128,Harassment: Domestic Violence,Open Investigation,08/29/2023 12:13
129,Theft,Open Investigation,10/24/2022 00:41
130,Theft,Unfounded,06/11/2023 13:54
131,Trespass,Open Investigation,03/16/2023 04:41
132,Lewdness,Arrest,12/09/2023 13:51
133,Rape,Open Investigation,10/29/2023 22:48
134,Theft,Open Investigation,02/16/2023 10:50
135,Harassment,Judicial Referral,10/31/2022 09:49
136,Theft,Open Investigation,05/08/2023 13:04
137,Trespass,Open Investigation,12/21/2022 12:41
138,Fraud,Open Investigation,09/23/2023 10:37
139,Shoplifting,Open Investigation,09/17/2023 15:34
140,Assault,Open Investigation,12/20/2022 19:53
141,Attempted Extortion,Arrest,02/04/2023 03:51
142,Trespassing,Open Investigation,12/31/2022 15:50
143,Attempted Extortion,Open Investigation,02/23/2023 19:16
144,Shoplifting,Arrest,06/22/2023 11:53
145,Theft,Open Investigation,04/21/2023 01:47
146,Assault,Unfounded,01/30/2023 23:29
147,Theft,Open Investigation,09/12/2022 10:34
148,Defiant Trespass,Judicial Referral,05/22/2023 00:14
149,Shoplifting,Arrest,09/05/2023 21:23
150,Defiant Trespass,Closed,04/22/2023 05:24
151,Rape,Closed,05/13/2023 06:50
152,Defiant Trespass,Open Investigation,03/15/2023 15:26
153,Assault,Unfounded,11/01/2022 08:05
154,False Public Alarm,unfounded,08/18/2023 05:27
155,Theft,Open Investigation,01/24/2023 15:16
156,Theft,Open Investigation,12/08/2022 05:05
157,Trespassing, Open Investigation,02/10/2023 21:24
158,Possession of Burglary Tools 2,Closed,02/19/2023 12:45
159,Theft,Open Investigation,06/29/2023 08:55
160,Attempted Trespass 2,Open Investigation,11/26/2022 05:18
161,Trespassing,Arrest,03/18/2023 11:47
162,Trespassing,,03/06/2023 09:04
163,Defiant Trespass,Closed,01/06/2023 11:48
164,Harassment: Stalking,Closed,08/12/2023 08:47
165,Theft,Arrest,09/12/2023 09:08
166,Harassment,Open Investigation,10/15/2023 10:03
167,Theft,Unfounded,01/16/2023 13:52
168,Theft,Open Investigation,02/04/2023 09:44
169,Service of Warrant,Unfounded,01/27/2023 05:51
170,Criminal Mischief,Open Investigation,07/26/2023 01:41
171,Theft,Open Investigation,11/16/2022 22:27
172,Criminal Mischief,Arrest,12/01/2023 17:32
173,Trespassing,,11/12/2023 10:14
174,Trespassing,Open Investigation,05/23/2023 14:57
175,Hindering Possession of Burglary Tools,Open Investigation,09/19/2023 07:09
176,Theft,Open Investigation,11/01/2022 05:58
177,Harassment: Domestic Violence,Closed,10/21/2023 04:09
178,Trespass,Closed,05/25/2023 13:03
179,Burglary,Closed,02/04/2023 20:48
180,Theft,Open Investigation,10/12/2023 22:32
181,Rape,Open Investigation,01/07/2023 04:03
182,Fraud,Arrest,08/30/2023 09:33
183,Theft: Criminal Mischief,Arrest,12/04/2023 22:37
184,Trespass,Unfounded,01/11/2023 23:57
185,False Public Alarm,Open Investigation,01/31/2023 11:01
186,Rape,Open Investigation,08/27/2023 08:17
187,Theft,Open Investigation,08/01/2023 18:26
188,Theft,Open Investigation,04/19/2023 11:13
189,Possession of Burglary Tools 2,Open Investigation,08/09/2023 15:14
190,False Public Alarm,Open Investigation,12/15/2022 04:13
191,Theft, Arrest,07/12/2023 14:05
192,Theft,Open Investigation,03/31/2023 17:10
193,Harassment,Arrest,08/22/2023 04:06
194,Harassment: Domestic Violence,Arrest,10/11/2023 16:54
195,Assault,Closed,08/12/2023 16:52
196,Harassment,Open Investigation,02/09/2023 10:53
197,Criminal Mischief,Open Investigation,01/20/2023 22:45
198,Shoplifting ,Open Investigation,05/23/2023 03:37
199,Harassment,Open Investigation,08/30/2023 10:32
200,Theft,Open Investigation,04/08/2023 14:58
201,Fraud,Arrest,04/01/2023 10:37
202,Criminal Mischief,Open Investigation,12/20/2022 08:27
203,Criminal Mischief,Open Investigation,09/27/2023 05:39
204,Theft,Open Investigation,01/26/2023 04:22
205,Assault,Open Investigation,09/27/2022 10:00
206,Defiant Trespass: Aggravated Assault,Arrest,09/19/2023 20:52
207,Shoplifting,Arrest,10/06/2022 13:33
208,Harassment: Bias Incident,Unfounded,01/04/2023 07:08
209,Harassment: Domestic Violence,Open Investigation,06/11/2023 10:21
210,Criminal Mischief,Unfounded,03/13/2023 14:19
211,Trespassing,Open Investigation,08/30/2023 09:53
212,Rape,Closed,10/28/2023 04:01
213,Shoplifting,Open Investigation,09/27/2023 05:37
214,Terroristic Threats,Open Investigation,05/21/2023 12:12
215,Trespassing, Arrest,10/14/2023 09:09
216,Stalking,Open Investigation,04/21/2023 11:57
217,Terroristic Threats,Open Investigation,05/06/2023 16:16
218,Trespassing,Open Investigation,01/28/2023 21:41
219,Shoplifting,Open Investigation,08/25/2023 22:40
220,Trespassing,Arrest,10/07/2022 18:37
221,Burglary,Open Investigation,10/19/2023 03:57
222,Trespassing,Closed,08/02/2023 21:21
223,Trespassing,Open Investigation,10/13/2023 15:13
224,Shoplifting, Arrest,10/08/2022 22:34
225,Obstruction of Justice, Arrest,08/01/2023 07:52
226,Criminal Mischief,Open Investigation,12/15/2022 00:10
227,Defiant Trespass,Open Investigation,01/25/2023 05:17
228,Theft,Unfounded,07/17/2023 17:45
229,Theft,Arrest,04/08/2023 09:41
230,Attempted Theft,Open Investigation,11/21/2022 19:06
231,Theft,Open Investigation,10/27/2023 00:55
232,Shoplifting,Closed,09/13/2023 06:20
233,Theft,Open Investigation,06/25/2023 21:20
234,Shoplifting ,Unfounded,09/13/2023 13:28
235,Trespassing,Open Investigation,11/01/2022 00:00
236,Rape,Open Investigation,08/15/2023 15:37
237,Harassment,Open Investigation,03/03/2023 03:33
238,Theft,Closed,06/09/2023 22:00
239,Shoplifting,Open Investigation,06/22/2023 10:05
240,Shoplifting,Open Investigation,01/21/2023 11:57
241,Theft, Arrest,02/26/2023 16:21
242,Bias Intimidation,Closed,08/31/2023 12:49
243,Terroristic Threats,Closed,07/15/2023 01:27
244,Harassment: Domestic Violence,Unfounded,12/07/2022 17:38
245,Theft,Open Investigation,11/17/2022 02:59
246,Theft,Open Investigation,04/18/2023 06:18
247,Fraud,Unfounded,12/22/2022 06:45
248,Shoplifting,Open Investigation,08/25/2023 14:21
249,Harassment,Open Investigation,02/10/2023 01:30
250,Criminal Mischief, Open Investigation,01/09/2023 10:25
251,Theft, Open Investigation,01/22/2023 05:17
252,Aggravated Assault,,05/04/2023 16:10
253,Harassment: Stalking, Arrest,01/12/2023 12:41
254,Harassment,Arrest,09/25/2022 09:44
255,Theft,Open Investigation,07/11/2023 09:11
256,Harassment,Open Investigation,06/17/2023 15:20
257,Trespassing,Open Investigation,11/12/2022 08:41
258,Theft,Open Investigation,11/21/2022 21:41
259,Theft,Open Investigation,09/25/2023 22:12
260,Theft,Judicial Referral,10/22/2022 01:35
261,Burglary,Open Investigation,05/01/2023 18:50
262,Harassment: Stalking,Open Investigation,04/19/2023 11:10
263,Theft,Open Investigation,06/01/2023 12:18
264,Shoplifting,Closed,10/05/2023 08:18
265,Harassment,Open Investigation,08/14/2023 04:54
266,False Public Alarm,Open Investigation,11/08/2023 19:45
267,Theft,Open Investigation,10/15/2023 08:32
268,Fraud,Judicial Referral,06/18/2023 03:50
269,Trespassing,Arrest,08/02/2023 08:54
270,Theft,Open Investigation,06/14/2023 19:21
271,Theft,Open Investigation,07/14/2023 14:55
272,Attempted Fraud,Open Investigation,01/02/2023 17:20
273,Stalking,Arrest,10/13/2022 17:24
274,Extortion,Judicial Referral,01/19/2023 05:41
275,Harassment,Arrest,01/18/2023 02:00
276,Harassment,Open Investigation,02/24/2023 05:29
277,Shoplifting,Closed,03/13/2023 12:26
278,Theft,Arrest,03/20/2023 13:55
279,Shoplifting,unfounded,06/27/2023 01:07
280,Theft,Open Investigation,01/20/2023 21:50
281,Trespass,unfounded,03/01/2023 16:07
282,Theft,Arrest,03/15/2023 08:25
283,Theft,Open Investigation,10/27/2023 16:05
284,Harassment, Closed,05/17/2023 20:25
285,Theft,Open Investigation,09/23/2022 23:37
286,Theft,Open Investigation,12/24/2022 23:58
287,Criminal Mischief,Closed,06/24/2023 05:08
288,False Public Alarm,Open Investigation,07/13/2023 00:17
289,Extortion,Unfounded,10/08/2023 03:22
290,Shoplifting,Open Investigation,03/21/2023 16:28
291,Theft,Open Investigation,03/16/2023 16:18
292,False Public Alarm,Arrest,10/18/2023 02:36
293,Terroristic Threats,Open Investigation,02/18/2023 06:45
294,Trespassing,,07/14/2023 08:39
295,Trespassing,Unfounded,01/09/2023 14:40
296,Theft, Arrest,10/17/2023 04:01
297,Theft,Open Investigation,06/09/2023 07:37
298,Theft,Open Investigation,12/23/2022 13:03
299,Harassment,Open Investigation,10/25/2022 06:02
300,Defiant Trespass: Aggravated Assault,Open Investigation,01/07/2023 01:51
301,Theft,Unfounded,11/04/2023 13:52
302,Harassment: Bias Incident,Open Investigation,06/18/2023 20:02
303,Shoplifting,unfounded,08/27/2023 21:12
304,Domestic Violence: Harassment,Arrest,03/15/2023 03:13
305,Criminal Mischief,Arrest,08/28/2023 13:05
306,Lewdness,Unfounded,09/04/2023 07:58
307,Fraud,Open Investigation,02/05/2023 03:49
308,Trespass,Unfounded,02/07/2023 14:02
309,Trespassing,Open Investigation,08/10/2023 22:01
310,Assault: Domestic Violence,Arrest,12/24/2022 10:46
311,Shoplifting ,Open Investigation,09/07/2022 08:12
312,False Public Alarm,Arrest,03/27/2023 03:33
313,Trespassing,Open Investigation,01/21/2023 06:17
314,Harassment: Bias Incident,Arrest,04/07/2023 08:26
315,Theft,Unfounded,07/22/2023 09:01
316,Harassment: Bias Incident,Open Investigation,01/25/2023 04:23
317,Harassment: Fraud,Judicial Referral,03/08/2023 04:03
318,Rape,Open Investigation,07/29/2023 06:28
319,Trespassing,Unfounded,07/04/2023 18:19
320,Theft: Criminal Mischief,Open Investigation,12/20/2022 06:33
321,Fraud,Judicial Referral,09/20/2023 14:57
322,Rape,,11/29/2022 19:31
323,Theft,Open Investigation,11/21/2023 11:50
324,Criminal Mischief,Open Investigation,07/10/2023 06:43
325,Trespassing, Arrest,01/14/2023 00:56
326,Theft,Arrest,01/29/2023 23:48
327,Theft,Open Investigation,12/27/2022 11:23
328,Defiant Trespass,Open Investigation,06/01/2023 02:59
329,Trespassing,Arrest,10/02/2023 00:39
330,Fraud,Unfounded,02/20/2023 17:28
331,Criminal Mischief,Open Investigation,03/25/2023 23:58
332,Theft,Open Investigation,09/20/2023 15:50
333,Theft,Unfounded,06/24/2023 02:48
334,Liquor Law Violation,,10/15/2023 21:08
335,Trespass,unfounded,09/08/2023 11:47
336,Theft,Open Investigation,08/10/2023 05:13
337,Assault,Open Investigation,10/08/2023 19:35
338,False Public Alarm,Open Investigation,09/10/2023 20:49
339,Assault,unfounded,03/30/2023 22:52
340,Fraud,Arrest,09/02/2023 06:37
341,Service of Warrant,Open Investigation,03/04/2023 05:37
342,Harassment,Arrest,04/28/2023 05:58
343,Theft,Open Investigation,09/20/2023 13:01
344,Theft,Open Investigation,06/23/2023 20:10
345,Theft,Arrest,10/30/2023 00:56
346,Extortion,Arrest,05/07/2023 06:32
347,Criminal Mischief,Open Investigation,11/09/2022 18:20
348,Theft: Criminal Mischief,Arrest,04/25/2023 21:33
349,Theft,Arrest,07/06/2023 09:43
350,Fraud,Open Investigation,11/28/2022 14:12
351,Defiant Trespass,Closed,08/03/2023 09:59
352,Harassment: Trespassing,Closed,03/04/2023 23:42
353,Service of Warrant,unfounded,07/19/2023 11:27
354,Criminal Mischief,Unfounded,11/27/2022 19:18
355,Criminal Mischief,Arrest,11/06/2023 10:58
356,Trespass,Open Investigation,09/25/2023 19:35
357,Extortion,Arrest,12/10/2022 01:05
358,Intimidation,Open Investigation,12/30/2022 12:34
359,Theft,Open Investigation,02/08/2023 10:03
360,Trespassing,Arrest,07/02/2023 23:25
361,Harassment,Open Investigation,09/30/2023 00:02
362,Shoplifting,Closed,07/28/2023 01:31
363,Theft,Open Investigation,07/05/2023 03:51
364,Theft,Open Investigation,04/08/2023 21:36
365,Trespass,Closed,12/21/2022 10:54
366,Harassment,Arrest,03/28/2023 12:34
367,Disorderly Conduct,,11/18/2022 00:17
368,Theft,Open Investigation,11/18/2022 11:45
369,Trespass,Open Investigation,02/15/2023 17:09
370,Theft: Criminal Mischief,unfounded,01/28/2023 11:25
371,Harassment: Stalking,Open Investigation,10/05/2023 09:23
372,Rape,Closed,05/10/2023 04:47
373,Theft,Open Investigation,12/29/2022 14:22
374,Harassment,Open Investigation,07/02/2023 02:53
375,Obstruction of Justice,Closed,04/19/2023 16:50
376,Shoplifting,Unfounded,01/06/2023 17:14
377,Harassment: Bias Incident,Open Investigation,02/23/2023 16:09
378,Domestic Violence: Harassment,Arrest,12/08/2022 05:11
379,Theft,Closed,09/27/2023 11:05
380,Trespass,Arrest,05/07/2023 17:44
381,Harassment,Open Investigation,03/13/2023 18:20
382,Shoplifting,Closed,01/26/2023 06:09
383,Theft,Open Investigation,02/13/2023 15:11
384,Criminal Mischief,Open Investigation,01/04/2023 11:34
385,Extortion,Arrest,06/26/2023 12:05
386,Theft,Closed,10/17/2022 13:31
387,Fraud,Unfounded,03/19/2023 09:26
388,Trespassing,Arrest,09/07/2023 21:51
389,Trespassing,Unfounded,09/30/2022 20:47
390,Trespassing,Open Investigation,02/06/2023 22:07
391,Possession of Burglary Tools 2,Open Investigation,11/07/2022 13:14
392,Fraud,Open Investigation,10/22/2022 13:33
393,Domestic Violence: Harassment,Open Investigation,08/03/2023 14:46
394,Harassment,Open Investigation,05/08/2023 10:15
395,Fraud,Arrest,08/27/2023 07:13
396,Trespassing,Open Investigation,12/24/2022 09:23
397,Trespassing,Closed,05/25/2023 22:12
398,Theft,Open Investigation,11/30/2022 00:29
399,Harassment: Trespassing,Open Investigation,10/06/2023 06:15
400,Criminal Mischief,Open Investigation,02/03/2023 02:20
401,Theft,Open Investigation,02/17/2023 23:16
402,Trespassing,Closed,10/10/2023 15:02
403,Shoplifting ,Arrest,05/09/2023 10:40
404,Harassment: Domestic Violence,Arrest,11/29/2022 21:27
405,Theft,Open Investigation,09/19/2023 04:00
406,Service of Warrant,Open Investigation,06/04/2023 11:50
407,Extortion,Open Investigation,07/03/2023 16:33
408,Harassment: Stalking,Open Investigation,05/19/2023 13:55
409,Terroristic Threats,Arrest,05/02/2023 09:02
410,Theft,Closed,09/06/2023 10:49
411,Lewdness,Judicial Referral,04/13/2023 05:03
412,Bias Intimidation,unfounded,12/04/2023 05:17
413,Extortion,,11/03/2022 06:22
414,Trespassing,Closed,09/15/2023 20:14
415,Trespass,Closed,12/01/2022 07:43
416,Harassment: Bias Incident,Open Investigation,02/09/2023 02:46
417,Service of Warrant,Unfounded,12/19/2022 01:35
418,Disorderly Conduct,unfounded,09/05/2023 22:12
419,False Public Alarm, Open Investigation,03/04/2023 20:57
420,Trespass,Open Investigation,05/08/2023 13:02
421,Theft,Open Investigation,03/25/2023 23:10
422,Defiant Trespass,Arrest,01/06/2023 22:50
423,Trespassing,Arrest,08/03/2023 22:19
424,Trespassing,Open Investigation,04/01/2023 09:19
425,Theft,Arrest,04/15/2023 09:53
426,Fraud,Open Investigation,01/01/2023 02:31
427,Aggravated Assault,Open Investigation,08/17/2023 09:04
428,Theft,unfounded,10/09/2022 00:49
429,Theft,Arrest,12/14/2022 10:59
430,Rape,Open Investigation,09/11/2022 19:45
431,Fraud,Arrest,02/25/2023 04:11
432,Lewdness,Open Investigation,09/29/2023 21:47
433,Shoplifting , Arrest,11/04/2023 06:48
434,Trespass,Open Investigation,01/24/2023 01:36
435,Criminal Mischief,Open Investigation,01/22/2023 15:02
436,Attempted Theft,Closed,08/08/2023 13:13
437,Trespassing,Judicial Referral,01/01/2023 14:15
438,Harassment,Open Investigation,09/02/2023 04:22
439,Assault,Open Investigation,08/28/2023 02:28
440,Criminal Mischief,Closed,02/12/2023 21:34
441,Assault,Unfounded,04/19/2023 05:30
442,Theft,Arrest,03/14/2023 17:53
443,Theft,Open Investigation,11/30/2022 20:55
444,Trespass,Closed,02/15/2023 23:51
445,Defiant Trespass: Aggravated Assault,Closed,04/07/2023 12:06
446,Trespassing, Arrest,02/03/2023 07:26
447,Extortion,Open Investigation,08/29/2023 17:55
448,Criminal Mischief,Open Investigation,09/04/2022 23:41
449,Defiant Trespass, Arrest,05/17/2023 08:09
450,Shoplifting,,11/13/2023 15:21
451,Shoplifting,Closed,08/29/2023 21:54
452,Criminal Mischief,Open Investigation,02/11/2023 02:39
453,Shoplifting,Arrest,01/12/2023 13:37
454,Harassment,Open Investigation,01/09/2023 15:40
455,Lewdness,Open Investigation,08/31/2022 13:05
456,Criminal Mischief,Open Investigation,03/21/2023 00:39
457,Terroristic Threats,Arrest,03/11/2023 17:59
458,Theft,Arrest,03/18/2023 09:19
459,Extortion,Arrest,09/22/2023 11:21
460,Theft,Open Investigation,11/04/2022 21:29
461,Trespassing, Closed,09/28/2023 13:29
462,False Public Alarm,Arrest,03/05/2023 08:42
463,Lewdness,Closed,06/19/2023 14:07
464,Criminal Mischief,Closed,09/07/2023 19:12
465,Trespassing,Arrest,02/07/2023 04:32
466,Theft,Open Investigation,08/04/2023 08:37
467,Harassment, Closed,11/24/2023 06:17
468,Trespass,Open Investigation,11/24/2022 02:49
469,Trespassing,Open Investigation,08/22/2023 13:43
470,Shoplifting,Arrest,07/07/2023 17:05
471,Attempted Extortion,Closed,11/26/2022 17:08
472,Terroristic Threats,Arrest,07/20/2023 03:24
473,Trespassing,Unfounded,10/27/2023 02:59
474,Criminal Mischief,Open Investigation,02/03/2023 06:46
475,Trespassing,Closed,10/11/2023 12:16
476,Terroristic Threats,Open Investigation,03/29/2023 09:01
477,Criminal Mischief,Open Investigation,10/18/2022 10:22
478,Theft,Arrest,06/15/2023 13:13
479,Intimidation,Closed,12/21/2022 06:02
480,Trespassing,Open Investigation,11/12/2022 19:10
481,Identity Theft,Open Investigation,09/07/2023 11:46
482,Harassment: Bias Incident,Open Investigation,08/03/2023 18:46
483,Harassment,Unfounded,10/28/2022 09:07
484,Theft, Closed,09/27/2023 07:19
485,Shoplifting,Arrest,12/20/2022 09:17
486,Trespass, Open Investigation,01/05/2023 15:15
487,Fraud,Open Investigation,02/11/2023 20:24
488,Trespassing,Open Investigation,09/29/2023 14:05
489,Criminal Mischief,Unfounded,03/23/2023 00:34
490,Theft,Open Investigation,07/04/2023 00:38
491,Theft,Unfounded,12/30/2022 06:47
492,Criminal Mischief,Open Investigation,08/06/2023 03:04
493,Theft,Open Investigation,05/17/2023 11:33
494,Possession of Burglary Tools 2,Arrest,09/10/2023 10:41
495,Theft,Open Investigation,08/08/2023 04:41
496,Harassment: Stalking,Open Investigation,01/19/2023 15:59
497,Harassment,Closed,03/06/2023 18:46
498,Harassment,Open Investigation,12/13/2022 13:48
499,Theft,Open Investigation,09/18/2023 19:58
500,Shoplifting , Open Investigation,01/20/2023 09:40
501,Theft,Open Investigation,07/02/2023 11:23
502,Harassment,Open Investigation,02/28/2023 16:21
503,False Public Alarm,Unfounded,07/22/2023 02:43
504,Shoplifting,Open Investigation,09/08/2023 15:59
505,Trespassing,Arrest,11/26/2023 03:38
506,Theft,Open Investigation,01/17/2023 15:51
507,Rape,Unfounded,05/10/2023 07:53
508,Assault,Open Investigation,09/20/2022 09:25
509,Criminal Mischief,Open Investigation,05/14/2023 08:02
510,Criminal Mischief,Unfounded,12/06/2022 06:50
511,Defiant Trespass: Aggravated Assault,Open Investigation,06/20/2023 20:15
512,Fraud,Open Investigation,12/16/2022 13:21
513,Fraud,Open Investigation,09/30/2022 21:31
514,Terroristic Threats,Unfounded,11/15/2022 11:28
515,Shoplifting,Open Investigation,06/16/2023 22:18
516,Criminal Mischief,Open Investigation,12/29/2022 07:11
517,Shoplifting,Open Investigation,01/12/2023 18:40
518,Trespass,unfounded,12/16/2022 16:15
519,Theft: Bias Incident,Arrest,09/18/2023 20:54
520,Harassment,Open Investigation,01/18/2023 10:53
521,Shoplifting,Arrest,04/26/2023 08:36
522,Trespassing,Closed,09/09/2023 10:05
523,Theft,Arrest,11/25/2023 22:48
524,Theft,Open Investigation,02/21/2023 12:08
525,Trespass,Closed,01/26/2023 14:18
526,Attempted Theft,Arrest,08/16/2023 16:06
527,Service of Warrant, Arrest,07/06/2023 13:11
528,Theft,Arrest,02/01/2023 00:52
529,Theft,Open Investigation,09/20/2023 11:50
530,False Public Alarm,Open Investigation,06/22/2023 07:12
531,Harassment,Open Investigation,08/25/2023 01:06
532,Shoplifting,Arrest,11/24/2022 17:48
533,Harassment: Fraud,Arrest,06/07/2023 20:34
534,Theft,Open Investigation,03/13/2023 10:56
535,Theft,Unfounded,03/13/2023 06:34
536,Theft,Open Investigation,03/12/2023 21:19
537,Bias Intimidation,Open Investigation,07/19/2023 04:45
538,Harassment,Arrest,04/01/2023 04:38
539,Theft,Unfounded,11/15/2023 18:34
540,Harassment,Open Investigation,05/23/2023 02:02
541,Harassment,Arrest,12/11/2022 17:50
542,Fraud,Unfounded,11/16/2022 03:03
543,Fraud,Open Investigation,10/11/2023 04:13
